PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,"FT
FREQ%","TOV
FREQ%","SF
FREQ%","AND ONE
FREQ%","SCORE
FREQ%",PERCENTILE,YEAR,PLAYTYPE,SEASON TYPE
Anthony Davis,NOP,61,5.8,24.7,1.06,6.1,2.4,4.9,50.3,52.2,13.4,4.5,13.1,2,52,63,15-16,P&R Roll Man,Reg Season
Karl-Anthony Towns,MIN,82,4.4,24.8,0.95,4.2,1.8,3.7,47.7,48.5,9.8,8.7,9.2,3.4,46.6,37,15-16,P&R Roll Man,Reg Season
Al Horford,ATL,82,3.7,24.7,1.13,4.1,1.8,3.4,54.2,57.1,6.3,4,6,1.7,53.8,78.5,15-16,P&R Roll Man,Reg Season
Brook Lopez,BKN,73,4.4,21.2,0.99,4.3,1.9,3.8,49.1,49.1,10.7,6.3,10.7,3.8,48.9,46.6,15-16,P&R Roll Man,Reg Season
Marcin Gortat,WAS,75,3,23.1,1.21,3.7,1.6,2.6,61.5,61.5,12.8,5.3,12.4,4.4,60.2,86.3,15-16,P&R Roll Man,Reg Season
DeMarcus Cousins,SAC,65,4.3,14.8,0.98,4.2,1.6,3.3,46.5,48.6,16.9,8.3,16.5,3.2,48.9,45.2,15-16,P&R Roll Man,Reg Season
Pau Gasol,CHI,72,3.8,21.2,0.99,3.8,1.6,3.2,49.4,49.8,10.6,6.2,8.1,1.5,50.9,47.5,15-16,P&R Roll Man,Reg Season
Hassan Whiteside,MIA,73,2.7,20.8,1.34,3.7,1.5,2.2,70,70,17.6,6.5,16.6,5,67.3,94.1,15-16,P&R Roll Man,Reg Season
Serge Ibaka,OKC,78,3.6,26.9,0.96,3.4,1.6,3.1,49.4,49.4,5.8,6.9,5.4,1.1,48,39.7,15-16,P&R Roll Man,Reg Season
Chris Bosh,MIA,53,4.4,24.4,1.11,4.9,1.7,3.7,46.7,54.1,15.3,5.1,14.9,3.4,50.6,73.1,15-16,P&R Roll Man,Reg Season
DeAndre Jordan,LAC,77,2.4,20.3,1.4,3.3,1.4,1.7,82.1,82.1,26,6.1,24.9,6.1,74.6,97.3,15-16,P&R Roll Man,Reg Season
Dirk Nowitzki,DAL,75,3.3,18.6,1.03,3.4,1.3,2.9,43.4,52,5.3,4.9,4.9,0.8,43.9,56.4,15-16,P&R Roll Man,Reg Season
Paul Millsap,ATL,81,3.2,18,0.97,3.1,1.1,2.6,43.1,50.2,12.4,9.3,10.5,2.7,43.8,43.8,15-16,P&R Roll Man,Reg Season
Derrick Favors,UTA,62,3.6,22.1,1.11,4,1.6,3,54.9,54.9,16.4,6.6,14.2,4.4,55.3,72.6,15-16,P&R Roll Man,Reg Season
Jason Smith,ORL,76,3.1,40.4,1,3.1,1.5,2.9,51.1,51.1,2.9,4.2,2.9,0,50.4,53.4,15-16,P&R Roll Man,Reg Season
LaMarcus Aldridge,SAS,74,3.5,20.2,0.9,3.1,1.4,3,45.2,45.2,8.9,6.6,9.3,1.6,45.7,28.3,15-16,P&R Roll Man,Reg Season
Marc Gasol,MEM,52,4,22.1,1.09,4.3,1.8,3.4,53.7,53.7,11.6,6.8,9.2,2.9,53.6,68.9,15-16,P&R Roll Man,Reg Season
Thaddeus Young,BKN,73,2.9,18.1,1.04,3,1.4,2.5,55.9,56.2,4.7,8.5,4.7,0.9,51.9,61.2,15-16,P&R Roll Man,Reg Season
Andre Drummond,DET,81,2.4,13.2,1.1,2.6,1.2,1.9,62.3,62.3,17,6.2,17,3.6,57.7,71.7,15-16,P&R Roll Man,Reg Season
Cody Zeller,CHA,73,2.4,28.8,1.22,2.9,1.1,1.8,59,59,21.1,6.3,19.4,4,62.3,88.1,15-16,P&R Roll Man,Reg Season
Nikola Vucevic,ORL,65,3.5,18.4,0.93,3.2,1.5,3.1,49.5,49.5,4.4,9.3,4.4,2.2,46,33.3,15-16,P&R Roll Man,Reg Season
Enes Freedom,OKC,82,2.3,20.2,1.09,2.5,1.1,1.9,55.8,55.8,12.1,8.9,12.1,3.2,54.2,70.3,15-16,P&R Roll Man,Reg Season
Kevin Love,CLE,77,2.5,15.3,0.95,2.4,0.8,2.1,39.6,47.8,11.4,6.2,11.4,0,43.5,37.4,15-16,P&R Roll Man,Reg Season
Ryan Anderson,NOP,66,2.5,15.1,1.06,2.7,0.9,2.1,42.1,51.4,13.1,6,12.5,2.4,45.8,63.5,15-16,P&R Roll Man,Reg Season
Gorgui Dieng,MIN,82,2.3,22.3,0.95,2.1,0.8,1.7,47.8,47.8,16.2,13.5,15.1,3.2,47.6,35.2,15-16,P&R Roll Man,Reg Season
Mason Plumlee,POR,82,2.1,20.8,0.98,2,0.7,1.3,53.7,53.7,24.6,17.5,21.1,5.3,52,45.7,15-16,P&R Roll Man,Reg Season
Steven Adams,OKC,80,1.9,24.7,1.12,2.1,0.9,1.5,63,63,11.5,10.1,12.2,2.7,57.4,76.7,15-16,P&R Roll Man,Reg Season
Kristaps Porzingis,NYK,72,2.1,13.7,1.07,2.3,0.9,1.8,50.4,58.7,7.2,9.2,7.2,0.7,47.7,64.4,15-16,P&R Roll Man,Reg Season
Cole Aldrich,LAC,60,2.4,43.3,1.15,2.7,1.2,1.9,62.5,62.5,13.4,11.3,13.4,3.5,57.7,81.3,15-16,P&R Roll Man,Reg Season
Jon Leuer,PHX,67,2,23.5,1.18,2.4,1,1.8,55.1,62.3,7.3,8,5.8,1.5,52.6,85.4,15-16,P&R Roll Man,Reg Season
