date,rank,stage_url,stage_name,nationality,class,distance,pcs_points,uci_points,vertical meters,profile score,won how
2017-04-08,106.0,race/itzulia-basque-country/2017/stage-6,Vuelta al País Vasco | Stage 6 (ITT),ES,2.UWT,27.7,0,0.0,522,61,Time Trial
2017-04-07,57.0,race/itzulia-basque-country/2017/stage-5,Vuelta al País Vasco | Stage 5,ES,2.UWT,139.8,0,0.0,2769,264,Sprint of small group
2017-04-06,41.0,race/itzulia-basque-country/2017/stage-4,Vuelta al País Vasco | Stage 4,ES,2.UWT,174.1,0,0.0,2668,151,2.8 km solo
2017-04-05,47.0,race/itzulia-basque-country/2017/stage-3,Vuelta al País Vasco | Stage 3,ES,2.UWT,160.5,0,0.0,2540,158,15 km solo
2017-04-04,70.0,race/itzulia-basque-country/2017/stage-2,Vuelta al País Vasco | Stage 2,ES,2.UWT,173.4,0,0.0,2496,86,Sprint of large group
2017-04-03,63.0,race/itzulia-basque-country/2017/stage-1,Vuelta al País Vasco | Stage 1,ES,2.UWT,153.3,0,0.0,1822,66,Sprint of large group
2018-09-16,119.0,race/vuelta-a-espana/2018/stage-21,La Vuelta ciclista a España | Stage 21,ES,2.UWT,112.3,0,0.0,603,1,Sprint of large group
2018-09-15,105.0,race/vuelta-a-espana/2018/stage-20,La Vuelta ciclista a España | Stage 20,ES,2.UWT,97.3,0,0.0,3429,341,Sprint à deux
2018-09-14,133.0,race/vuelta-a-espana/2018/stage-19,La Vuelta ciclista a España | Stage 19,ES,2.UWT,154.4,0,0.0,3183,239,0.2 km solo
2018-09-13,117.0,race/vuelta-a-espana/2018/stage-18,La Vuelta ciclista a España | Stage 18,ES,2.UWT,186.1,0,0.0,1040,12,Sprint à deux
2018-09-12,67.0,race/vuelta-a-espana/2018/stage-17,La Vuelta ciclista a España | Stage 17,ES,2.UWT,157.0,0,0.0,3574,298,0.5 km solo
2018-09-11,154.0,race/vuelta-a-espana/2018/stage-16,La Vuelta ciclista a España | Stage 16 (ITT),ES,2.UWT,32.0,0,0.0,501,29,Time Trial
2018-09-09,142.0,race/vuelta-a-espana/2018/stage-15,La Vuelta ciclista a España | Stage 15,ES,2.UWT,178.2,0,0.0,4586,390,6 km solo
2018-09-08,121.0,race/vuelta-a-espana/2018/stage-14,La Vuelta ciclista a España | Stage 14,ES,2.UWT,171.0,0,0.0,3314,286,0.6 km solo
2018-09-07,17.0,race/vuelta-a-espana/2018/stage-13,La Vuelta ciclista a España | Stage 13,ES,2.UWT,174.8,0,0.0,3334,194,1 km solo
2018-09-06,157.0,race/vuelta-a-espana/2018/stage-12,La Vuelta ciclista a España | Stage 12,ES,2.UWT,181.1,0,0.0,3021,126,Sprint of 71 riders
2018-09-05,122.0,race/vuelta-a-espana/2018/stage-11,La Vuelta ciclista a España | Stage 11,ES,2.UWT,207.8,0,0.0,3755,174,4.3 km solo
2018-09-04,147.0,race/vuelta-a-espana/2018/stage-10,La Vuelta ciclista a España | Stage 10,ES,2.UWT,177.0,0,0.0,1306,27,Sprint of large group
2018-09-02,104.0,race/vuelta-a-espana/2018/stage-9,La Vuelta ciclista a España | Stage 9,ES,2.UWT,200.8,0,0.0,4399,276,18 km solo
2018-09-01,54.0,race/vuelta-a-espana/2018/stage-8,La Vuelta ciclista a España | Stage 8,ES,2.UWT,195.1,0,0.0,2112,48,Sprint of large group
2018-08-31,114.0,race/vuelta-a-espana/2018/stage-7,La Vuelta ciclista a España | Stage 7,ES,2.UWT,185.7,0,0.0,2535,117,2.2 km solo
2018-08-30,140.0,race/vuelta-a-espana/2018/stage-6,La Vuelta ciclista a España | Stage 6,ES,2.UWT,155.7,0,0.0,1399,41,Sprint of large group
2018-08-29,96.0,race/vuelta-a-espana/2018/stage-5,La Vuelta ciclista a España | Stage 5,ES,2.UWT,188.7,0,0.0,3178,116,Sprint of 94 riders
2018-08-28,154.0,race/vuelta-a-espana/2018/stage-4,La Vuelta ciclista a España | Stage 4,ES,2.UWT,161.4,0,0.0,3300,193,Sprint à deux
2018-08-27,162.0,race/vuelta-a-espana/2018/stage-3,La Vuelta ciclista a España | Stage 3,ES,2.UWT,178.2,0,0.0,3160,114,Sprint of large group
2018-08-26,98.0,race/vuelta-a-espana/2018/stage-2,La Vuelta ciclista a España | Stage 2,ES,2.UWT,163.5,0,0.0,2826,115,Sprint à deux
