date,rank,stage_url,stage_name,nationality,class,distance,pcs_points,uci_points,vertical meters,profile score,won how
2010-10-03,69.0,race/world-championship/2010/result,World Championships ME - Road Race,AU,WC,262.7,15,0.0,2492,118,Sprint of large group
2010-08-15,4.0,race/cyclassics-hamburg/2010/result,Vattenfall Cyclassics,DE,PT,216.0,90,40.0,Filler,Filler,Filler
2010-08-07,6.0,race/tour-de-pologne/2010/stage-7,Tour de Pologne | Stage 7,PL,PT,163.9,7,0.0,Filler,Filler,Filler
2010-08-06,123.0,race/tour-de-pologne/2010/stage-6,Tour de Pologne | Stage 6,PL,PT,228.5,0,0.0,Filler,Filler,Filler
2010-08-05,153.0,race/tour-de-pologne/2010/stage-5,Tour de Pologne | Stage 5,PL,PT,149.0,0,0.0,Filler,Filler,Filler
2010-08-04,64.0,race/tour-de-pologne/2010/stage-4,Tour de Pologne | Stage 4,PL,PT,177.9,0,0.0,Filler,Filler,Filler
2010-08-03,10.0,race/tour-de-pologne/2010/stage-3,Tour de Pologne | Stage 3,PL,PT,122.1,1,0.0,Filler,Filler,Filler
2010-08-02,8.0,race/tour-de-pologne/2010/stage-2,Tour de Pologne | Stage 2,PL,PT,240.0,3,0.0,Filler,Filler,Filler
2010-08-01,7.0,race/tour-de-pologne/2010/stage-1,Tour de Pologne | Stage 1,PL,PT,175.1,4,0.0,Filler,Filler,Filler
2010-04-18,,race/amstel-gold-race/2010/result,Amstel Gold Race,NL,1.HC,257.0,0,0.0,Filler,Filler,Filler
2010-04-11,,race/paris-roubaix/2010/result,Paris - Roubaix,FR,1.HC,259.0,0,0.0,Filler,Filler,Filler
2010-03-28,,race/gent-wevelgem/2010/result,Gent - Wevelgem,BE,PT,219.0,0,0.0,Filler,Filler,Filler
2011-10-09,9.0,race/tour-of-beijing/2011/stage-5,Tour of Beijing | Stage 5,CN,WT,118.0,2,0.0,Filler,Filler,Filler
2011-10-08,6.0,race/tour-of-beijing/2011/stage-4,Tour of Beijing | Stage 4,CN,WT,189.5,7,0.0,Filler,Filler,Filler
2011-10-07,131.0,race/tour-of-beijing/2011/stage-3,Tour of Beijing | Stage 3,CN,WT,162.0,0,0.0,Filler,Filler,Filler
2011-10-06,5.0,race/tour-of-beijing/2011/stage-2,Tour of Beijing | Stage 2,CN,WT,133.5,10,1.0,Filler,Filler,Filler
2011-10-05,54.0,race/tour-of-beijing/2011/stage-1,Tour of Beijing | Stage 1 (ITT),CN,WT,11.3,0,0.0,Filler,Filler,Filler
2011-08-21,14.0,race/cyclassics-hamburg/2011/result,Vattenfall Cyclassics,DE,WT,216.5,26,0.0,Filler,Filler,Filler
2011-08-06,16.0,race/tour-de-pologne/2011/stage-7,Tour de Pologne | Stage 7,PL,WT,128.0,0,0.0,Filler,Filler,Filler
2011-08-05,130.0,race/tour-de-pologne/2011/stage-6,Tour de Pologne | Stage 6,PL,WT,207.7,0,0.0,Filler,Filler,Filler
2011-08-04,111.0,race/tour-de-pologne/2011/stage-5,Tour de Pologne | Stage 5,PL,WT,201.5,0,0.0,Filler,Filler,Filler
2011-08-03,120.0,race/tour-de-pologne/2011/stage-4,Tour de Pologne | Stage 4,PL,WT,176.9,0,0.0,Filler,Filler,Filler
2011-08-02,6.0,race/tour-de-pologne/2011/stage-3,Tour de Pologne | Stage 3,PL,WT,135.7,7,0.0,Filler,Filler,Filler
2011-08-01,162.0,race/tour-de-pologne/2011/stage-2,Tour de Pologne | Stage 2,PL,WT,159.6,0,0.0,Filler,Filler,Filler
2011-07-31,2.0,race/tour-de-pologne/2011/stage-1,Tour de Pologne | Stage 1,PL,WT,101.5,30,4.0,Filler,Filler,Filler
2011-05-29,147.0,race/giro-d-italia/2011/stage-21,Giro d'Italia | Stage 21 (ITT),IT,WT,26.0,0,0.0,37,0,Time Trial
