date,rank,stage_url,stage_name,nationality,class,distance,pcs_points,uci_points,vertical meters,profile score,won how
2020-11-08,13.0,race/vuelta-a-espana/2020/stage-18,La Vuelta ciclista a España | Stage 18,ES,2.UWT,139.6,3,0.0,1492,30,Sprint of large group
2020-11-07,67.0,race/vuelta-a-espana/2020/stage-17,La Vuelta ciclista a España | Stage 17,ES,2.UWT,178.2,0,0.0,4365,316,4 km solo
2020-11-06,107.0,race/vuelta-a-espana/2020/stage-16,La Vuelta ciclista a España | Stage 16,ES,2.UWT,162.0,0,0.0,2762,122,Sprint of large group
2020-11-05,4.0,race/vuelta-a-espana/2020/stage-15,La Vuelta ciclista a España | Stage 15,ES,2.UWT,230.8,25,12.0,4448,158,Sprint of large group
2020-11-04,101.0,race/vuelta-a-espana/2020/stage-14,La Vuelta ciclista a España | Stage 14,ES,2.UWT,204.7,0,0.0,3057,100,0.3 km solo
2020-11-03,51.0,race/vuelta-a-espana/2020/stage-13,La Vuelta ciclista a España | Stage 13 (ITT),ES,2.UWT,33.7,0,0.0,536,65,Time Trial
2020-11-01,78.0,race/vuelta-a-espana/2020/stage-12,La Vuelta ciclista a España | Stage 12,ES,2.UWT,109.4,0,0.0,3125,452,1 km solo
2020-10-31,98.0,race/vuelta-a-espana/2020/stage-11,La Vuelta ciclista a España | Stage 11,ES,2.UWT,170.0,0,0.0,5098,435,0.5 km solo
2020-10-30,67.0,race/vuelta-a-espana/2020/stage-10,La Vuelta ciclista a España | Stage 10,ES,2.UWT,185.0,0,0.0,2302,84,Sprint of small group
2020-10-29,33.0,race/vuelta-a-espana/2020/stage-9,La Vuelta ciclista a España | Stage 9,ES,2.UWT,157.7,0,0.0,1163,18,Sprint of large group
2020-10-28,92.0,race/vuelta-a-espana/2020/stage-8,La Vuelta ciclista a España | Stage 8,ES,2.UWT,164.0,0,0.0,3021,249,0.8 km solo
2020-10-27,124.0,race/vuelta-a-espana/2020/stage-7,La Vuelta ciclista a España | Stage 7,ES,2.UWT,159.7,0,0.0,2657,142,1 km solo
2020-10-25,79.0,race/vuelta-a-espana/2020/stage-6,La Vuelta ciclista a España | Stage 6,ES,2.UWT,146.4,0,0.0,3020,185,3 km solo
2020-10-24,140.0,race/vuelta-a-espana/2020/stage-5,La Vuelta ciclista a España | Stage 5,ES,2.UWT,184.4,0,0.0,3407,185,Sprint à deux
2020-10-23,23.0,race/vuelta-a-espana/2020/stage-4,La Vuelta ciclista a España | Stage 4,ES,2.UWT,191.7,0,0.0,1160,15,Sprint of large group
