date,rank,stage_url,stage_name,nationality,class,distance,pcs_points,uci_points,vertical meters,profile score,won how
2012-09-16,30.0,race/world-championship-ttt/2012/result,UCI TTT World Championships Men,NL,WC,53.2,0,0.0,Filler,Filler,Filler
2013-09-15,,race/gp-montreal/2013/result,Grand Prix Cycliste de Montréal,CA,WT,205.7,0,0.0,Filler,Filler,Filler
2013-09-13,,race/gp-quebec/2013/result,Grand Prix Cycliste de Québec,CA,WT,201.6,0,0.0,Filler,Filler,Filler
2013-09-01,,race/bretagne-classic/2013/result,GP Ouest France - Plouay,FR,WT,248.3,0,0.0,Filler,Filler,Filler
2013-08-25,,race/cyclassics-hamburg/2013/result,Vattenfall Cyclassics,DE,WT,245.9,0,0.0,Filler,Filler,Filler
2013-08-18,48.0,race/renewi-tour/2013/stage-7,Eneco Tour | Stage 7,NL,2.UWT,208.0,0,0.0,1762,55,Sprint à deux
2013-08-17,52.0,race/renewi-tour/2013/stage-6,Eneco Tour | Stage 6,NL,2.UWT,150.0,0,0.0,2474,183,0.5 km solo
2013-08-16,97.0,race/renewi-tour/2013/stage-5,Eneco Tour | Stage 5 (ITT),NL,2.UWT,13.2,0,0.0,147,4,Time Trial
2013-08-15,149.0,race/renewi-tour/2013/stage-4,Eneco Tour | Stage 4,NL,2.UWT,169.6,0,0.0,265,0,Sprint of large group
2013-08-14,55.0,race/renewi-tour/2013/stage-3,Eneco Tour | Stage 3,NL,2.UWT,187.3,0,0.0,217,0,Sprint of 101 riders
2013-08-13,50.0,race/renewi-tour/2013/stage-2,Eneco Tour | Stage 2,NL,2.UWT,176.9,0,0.0,1510,40,Sprint of large group
2013-08-12,21.0,race/renewi-tour/2013/stage-1,Eneco Tour | Stage 1,NL,2.UWT,175.3,0,0.0,533,3,1.2 km solo
2013-07-16,,race/tour-de-france/2013/stage-16,Tour de France | Stage 16,FR,WT,168.0,0,0.0,3073,123,19 km solo
2013-07-14,105.0,race/tour-de-france/2013/stage-15,Tour de France | Stage 15,FR,WT,242.5,0,0.0,4146,342,1.4 km solo
2013-07-13,108.0,race/tour-de-france/2013/stage-14,Tour de France | Stage 14,FR,WT,191.0,0,0.0,2158,60,Sprint of 127 riders
2013-07-12,127.0,race/tour-de-france/2013/stage-13,Tour de France | Stage 13,FR,WT,173.0,0,0.0,1036,7,Sprint of 44 riders
2013-07-11,168.0,race/tour-de-france/2013/stage-12,Tour de France | Stage 12,FR,WT,218.0,0,0.0,1425,10,Sprint of large group
2013-07-10,89.0,race/tour-de-france/2013/stage-11,Tour de France | Stage 11 (ITT),FR,WT,33.0,0,0.0,283,6,Time Trial
2013-07-09,9.0,race/tour-de-france/2013/stage-10,Tour de France | Stage 10,FR,WT,197.0,14,0.0,1762,25,Sprint of large group
2013-07-07,142.0,race/tour-de-france/2013/stage-9,Tour de France | Stage 9,FR,WT,168.5,0,0.0,4411,252,Sprint à deux
2013-07-06,155.0,race/tour-de-france/2013/stage-8,Tour de France | Stage 8,FR,WT,195.0,0,0.0,3839,345,5 km solo
2013-07-05,127.0,race/tour-de-france/2013/stage-7,Tour de France | Stage 7,FR,WT,205.5,0,0.0,2675,66,Sprint of large group
2013-07-04,8.0,race/tour-de-france/2013/stage-6,Tour de France | Stage 6,FR,WT,176.5,18,0.0,837,8,Sprint of large group
2013-07-03,14.0,race/tour-de-france/2013/stage-5,Tour de France | Stage 5,FR,WT,228.5,2,0.0,2775,68,Sprint of large group
2013-07-02,12.0,race/tour-de-france/2013/stage-4,Tour de France | Stage 4 (TTT),FR,WT,25.0,0,0.0,48,0,Time Trial
2013-07-01,169.0,race/tour-de-france/2013/stage-3,Tour de France | Stage 3,FR,WT,145.5,0,0.0,2426,109,Sprint of large group
2013-06-30,174.0,race/tour-de-france/2013/stage-2,Tour de France | Stage 2,FR,WT,156.0,0,0.0,2373,95,1.7 km solo
2013-06-29,3.0,race/tour-de-france/2013/stage-1,Tour de France | Stage 1,FR,WT,213.0,50,6.0,1529,13,Sprint of large group
2014-10-14,21.0,race/tour-of-beijing/2014/stage-5,Tour of Beijing | Stage 5,CN,2.UWT,117.0,0,0.0,Filler,Filler,Filler
2014-10-13,88.0,race/tour-of-beijing/2014/stage-4,Tour of Beijing | Stage 4,CN,2.UWT,157.0,0,0.0,Filler,Filler,Filler
2014-10-12,7.0,race/tour-of-beijing/2014/stage-3,Tour of Beijing | Stage 3,CN,2.UWT,176.0,4,0.0,Filler,Filler,Filler
2014-10-11,109.0,race/tour-of-beijing/2014/stage-2,Tour of Beijing | Stage 2,CN,2.UWT,111.0,0,0.0,Filler,Filler,Filler
2014-10-10,104.0,race/tour-of-beijing/2014/stage-1,Tour of Beijing | Stage 1,CN,2.UWT,167.0,0,0.0,Filler,Filler,Filler
2014-08-31,141.0,race/bretagne-classic/2014/result,GP Ouest France - Plouay,FR,1.UWT,229.1,5,0.0,Filler,Filler,Filler
2014-08-24,121.0,race/cyclassics-hamburg/2014/result,Vattenfall Cyclassics,DE,1.UWT,245.9,5,0.0,Filler,Filler,Filler
2014-08-17,58.0,race/renewi-tour/2014/stage-7,Eneco Tour | Stage 7,NL,2.UWT,183.4,0,0.0,2143,70,35 km solo
2014-08-16,35.0,race/renewi-tour/2014/stage-6,Eneco Tour | Stage 6,NL,2.UWT,173.3,0,0.0,2855,185,10.3 km solo
2014-08-15,66.0,race/renewi-tour/2014/stage-5,Eneco Tour | Stage 5,NL,2.UWT,160.3,0,0.0,1830,73,0.4 km solo
2014-08-14,119.0,race/renewi-tour/2014/stage-4,Eneco Tour | Stage 4,NL,2.UWT,183.3,0,0.0,417,1,Sprint of large group
2014-08-13,57.0,race/renewi-tour/2014/stage-3,Eneco Tour | Stage 3 (ITT),NL,2.UWT,9.6,0,0.0,31,0,Time Trial
2014-08-12,108.0,race/renewi-tour/2014/stage-2,Eneco Tour | Stage 2,NL,2.UWT,177.4,0,0.0,231,0,Sprint of large group
2014-08-11,142.0,race/renewi-tour/2014/stage-1,Eneco Tour | Stage 1,NL,2.UWT,181.9,0,0.0,139,0,Sprint of large group
2014-07-11,,race/tour-de-france/2014/stage-7,Tour de France | Stage 7,FR,2.UWT,234.5,0,0.0,2076,55,Sprint of large group
2014-07-10,133.0,race/tour-de-france/2014/stage-6,Tour de France | Stage 6,FR,2.UWT,194.0,0,0.0,1422,23,Sprint of large group
