date,rank,stage_url,stage_name,nationality,class,distance,pcs_points,uci_points,vertical meters,profile score,won how
2015-10-04,70.0,race/il-lombardia/2015/result,Il Lombardia,IT,1.UWT,245.0,5,0.0,3946,244,17.4 km solo
2015-08-30,85.0,race/bretagne-classic/2015/result,GP Ouest France - Plouay,FR,1.UWT,229.1,5,0.0,Filler,Filler,Filler
2015-08-23,42.0,race/cyclassics-hamburg/2015/result,Vattenfall Cyclassics,DE,1.UWT,221.3,5,8.0,1307,32,Sprint of large group
2015-08-07,,race/tour-de-pologne/2015/stage-6,Tour de Pologne | Stage 6,PL,2.UWT,174.0,0,0.0,3860,213,2.8 km solo
2015-08-06,48.0,race/tour-de-pologne/2015/stage-5,Tour de Pologne | Stage 5,PL,2.UWT,223.0,0,0.0,4186,199,4.8 km solo
2015-08-05,44.0,race/tour-de-pologne/2015/stage-4,Tour de Pologne | Stage 4,PL,2.UWT,220.0,0,0.0,2516,60,Sprint of 94 riders
2015-08-04,88.0,race/tour-de-pologne/2015/stage-3,Tour de Pologne | Stage 3,PL,2.UWT,166.0,0,0.0,944,8,Sprint of large group
2015-08-03,103.0,race/tour-de-pologne/2015/stage-2,Tour de Pologne | Stage 2,PL,2.UWT,146.0,0,0.0,776,3,Sprint of large group
2015-08-02,104.0,race/tour-de-pologne/2015/stage-1,Tour de Pologne | Stage 1,PL,2.UWT,122.0,0,0.0,988,27,Sprint of 29 riders
2015-06-14,66.0,race/dauphine/2015/stage-8,Critérium du Dauphiné | Stage 8,FR,2.UWT,156.5,0,0.0,2979,216,2.4 km solo
2015-06-13,101.0,race/dauphine/2015/stage-7,Critérium du Dauphiné | Stage 7,FR,2.UWT,155.0,0,0.0,4282,323,1.7 km solo
2015-06-12,46.0,race/dauphine/2015/stage-6,Critérium du Dauphiné | Stage 6,FR,2.UWT,183.0,0,0.0,3562,183,Sprint à deux
2015-06-11,118.0,race/dauphine/2015/stage-5,Critérium du Dauphiné | Stage 5,FR,2.UWT,161.0,0,0.0,4225,255,22.3 km solo
2015-06-10,89.0,race/dauphine/2015/stage-4,Critérium du Dauphiné | Stage 4,FR,2.UWT,228.0,0,0.0,2369,56,Sprint of large group
2015-06-09,1.0,race/dauphine/2015/stage-3,Critérium du Dauphiné | Stage 3 (TTT),FR,2.UWT,24.5,20,0.0,373,16,Time Trial
2015-06-08,141.0,race/dauphine/2015/stage-2,Critérium du Dauphiné | Stage 2,FR,2.UWT,173.0,0,0.0,2226,53,Sprint of large group
2015-06-07,145.0,race/dauphine/2015/stage-1,Critérium du Dauphiné | Stage 1,FR,2.UWT,132.0,0,0.0,1519,68,2.3 km solo
2015-04-26,31.0,race/liege-bastogne-liege/2015/result,Liège - Bastogne - Liège,BE,1.UWT,253.0,9,0.0,4106,181,Sprint of small group
2015-04-22,13.0,race/la-fleche-wallone/2015/result,La Flèche Wallonne,BE,1.UWT,205.5,30,0.0,3030,158,Sprint of small group
2015-04-19,64.0,race/amstel-gold-race/2015/result,Amstel Gold Race,NL,1.UWT,258.0,5,0.0,3558,121,Sprint of 18 riders
2015-03-29,33.0,race/volta-a-catalunya/2015/stage-7,Volta Ciclista a Catalunya | Stage 7,ES,2.UWT,126.6,0,0.0,1629,100,Sprint of 32 riders
2015-03-28,41.0,race/volta-a-catalunya/2015/stage-6,Volta Ciclista a Catalunya | Stage 6,ES,2.UWT,194.1,0,0.0,2463,62,Sprint of 63 riders
2015-03-27,12.0,race/volta-a-catalunya/2015/stage-5,Volta Ciclista a Catalunya | Stage 5,ES,2.UWT,195.4,0,0.0,2020,68,4 km solo
2015-03-26,55.0,race/volta-a-catalunya/2015/stage-4,Volta Ciclista a Catalunya | Stage 4,ES,2.UWT,188.4,0,0.0,3867,203,4.1 km solo
2015-03-25,168.0,race/volta-a-catalunya/2015/stage-3,Volta Ciclista a Catalunya | Stage 3,ES,2.UWT,156.6,0,0.0,2219,98,2 km solo
2015-03-24,44.0,race/volta-a-catalunya/2015/stage-2,Volta Ciclista a Catalunya | Stage 2,ES,2.UWT,191.8,0,0.0,2364,82,Sprint of large group
2015-03-23,31.0,race/volta-a-catalunya/2015/stage-1,Volta Ciclista a Catalunya | Stage 1,ES,2.UWT,185.2,0,0.0,2557,71,Sprint of 120 riders
2016-09-11,90.0,race/vuelta-a-espana/2016/stage-21,Vuelta a España | Stage 21,ES,2.UWT,104.1,0,0.0,847,10,Sprint of large group
2016-09-10,82.0,race/vuelta-a-espana/2016/stage-20,Vuelta a España | Stage 20,ES,2.UWT,193.2,0,0.0,5036,349,Sprint à deux
