date,rank,stage_url,stage_name,nationality,class,distance,pcs_points,uci_points,vertical meters,profile score,won how
2014-09-28,,race/world-championship/2014/result,World Championships ME - Road Race,ES,WC,254.8,0,0.0,4520,127,6 km solo
2014-09-21,10.0,race/world-championship-ttt/2014/result,World Championships - TTT,ES,WC,57.12,0,0.0,Filler,Filler,Filler
2014-08-31,93.0,race/bretagne-classic/2014/result,GP Ouest France - Plouay,FR,1.UWT,229.1,5,0.0,Filler,Filler,Filler
2014-08-24,81.0,race/cyclassics-hamburg/2014/result,Vattenfall Cyclassics,DE,1.UWT,245.9,5,0.0,Filler,Filler,Filler
2014-08-17,10.0,race/renewi-tour/2014/stage-7,Eneco Tour | Stage 7,NL,2.UWT,183.4,1,0.0,2143,70,35 km solo
2014-08-16,71.0,race/renewi-tour/2014/stage-6,Eneco Tour | Stage 6,NL,2.UWT,173.3,0,0.0,2855,185,10.3 km solo
2014-08-15,38.0,race/renewi-tour/2014/stage-5,Eneco Tour | Stage 5,NL,2.UWT,160.3,0,0.0,1830,73,0.4 km solo
2014-08-14,77.0,race/renewi-tour/2014/stage-4,Eneco Tour | Stage 4,NL,2.UWT,183.3,0,0.0,417,1,Sprint of large group
2014-08-13,19.0,race/renewi-tour/2014/stage-3,Eneco Tour | Stage 3 (ITT),NL,2.UWT,9.6,0,0.0,31,0,Time Trial
2014-08-12,67.0,race/renewi-tour/2014/stage-2,Eneco Tour | Stage 2,NL,2.UWT,177.4,0,0.0,231,0,Sprint of large group
2014-08-11,80.0,race/renewi-tour/2014/stage-1,Eneco Tour | Stage 1,NL,2.UWT,181.9,0,0.0,139,0,Sprint of large group
2014-08-02,70.0,race/san-sebastian/2014/result,Clasica Ciclista San Sebastian,ES,1.UWT,219.2,5,0.0,3796,169,4 km solo
2014-05-25,,race/giro-d-italia/2014/stage-15,Giro d'Italia | Stage 15,IT,2.UWT,225.0,0,0.0,2344,267,2.2 km solo
2014-05-24,120.0,race/giro-d-italia/2014/stage-14,Giro d'Italia | Stage 14,IT,2.UWT,164.0,0,0.0,3691,284,Sprint of small group
2014-05-23,118.0,race/giro-d-italia/2014/stage-13,Giro d'Italia | Stage 13,IT,2.UWT,157.0,0,0.0,780,15,Sprint of 96 riders
2014-05-22,34.0,race/giro-d-italia/2014/stage-12,Giro d'Italia | Stage 12 (ITT),IT,2.UWT,42.2,0,0.0,654,50,Time Trial
2014-05-21,120.0,race/giro-d-italia/2014/stage-11,Giro d'Italia | Stage 11,IT,2.UWT,249.0,0,0.0,3435,128,21.4 km solo
