date,rank,stage_url,stage_name,nationality,class,distance,pcs_points,uci_points,vertical meters,profile score,won how
2007-10-14,48.0,race/paris-tours/2007/result,Paris - Tours,FR,PT,256.0,5,0.0,Filler,Filler,Filler
2007-09-30,63.0,race/world-championship/2007/result,World Championships ME - Road Race,DE,WC,267.0,15,0.0,4576,155,Sprint of 37 riders
2007-08-29,44.0,race/renewi-tour/2007/stage-7,Eneco Tour | Stage 7 (ITT),NL,2.UWT,29.6,0,0.0,Filler,Filler,Filler
2007-08-28,17.0,race/renewi-tour/2007/stage-6,Eneco Tour | Stage 6,NL,2.UWT,177.4,0,0.0,Filler,Filler,Filler
2007-08-27,54.0,race/renewi-tour/2007/stage-5,Eneco Tour | Stage 5,NL,2.UWT,179.9,0,0.0,Filler,Filler,Filler
2007-08-26,44.0,race/renewi-tour/2007/stage-4,Eneco Tour | Stage 4,NL,2.UWT,182.7,0,0.0,Filler,Filler,Filler
2007-08-25,14.0,race/renewi-tour/2007/stage-3,Eneco Tour | Stage 3,NL,2.UWT,170.8,0,0.0,Filler,Filler,Filler
2007-08-24,29.0,race/renewi-tour/2007/stage-2,Eneco Tour | Stage 2,NL,2.UWT,199.1,0,0.0,Filler,Filler,Filler
2007-08-23,11.0,race/renewi-tour/2007/stage-1,Eneco Tour | Stage 1,NL,2.UWT,189.5,0,0.0,Filler,Filler,Filler
2007-08-22,91.0,race/renewi-tour/2007/prologue,Eneco Tour | Prologue,NL,2.UWT,5.2,0,0.0,Filler,Filler,Filler
2007-08-19,8.0,race/cyclassics-hamburg/2007/result,Vattenfall Cyclassics,DE,WT,229.1,50,0.0,Filler,Filler,Filler
2007-04-15,29.0,race/paris-roubaix/2007/result,Paris - Roubaix,FR,1.PT,259.5,11,0.0,Filler,Filler,Filler
2007-04-08,,race/ronde-van-vlaanderen/2007/result,Ronde van Vlaanderen / Tour des Flandres ME,BE,PT,259.0,0,0.0,Filler,Filler,Filler
2008-10-12,132.0,race/paris-tours/2008/result,Paris - Tours,FR,1.HC,252.0,0,0.0,Filler,Filler,Filler
2008-09-28,17.0,race/world-championship/2008/result,World Championships ME - Road Race,IT,WC,260.0,38,0.0,4755,170,3 km solo
2008-09-21,5.0,race/vuelta-a-espana/2008/stage-21,Vuelta a España | Stage 21,ES,2.HC,102.2,18,0.0,609,3,Sprint of large group
2008-09-20,108.0,race/vuelta-a-espana/2008/stage-20,Vuelta a España | Stage 20 (ITT),ES,2.HC,17.1,0,0.0,724,102,Time Trial
2008-09-19,5.0,race/vuelta-a-espana/2008/stage-19,Vuelta a España | Stage 19,ES,2.HC,145.5,18,0.0,2446,91,Sprint à deux
2008-09-18,6.0,race/vuelta-a-espana/2008/stage-18,Vuelta a España | Stage 18,ES,2.HC,167.4,15,0.0,1448,41,Sprint of 68 riders
2008-09-17,6.0,race/vuelta-a-espana/2008/stage-17,Vuelta a España | Stage 17,ES,2.HC,148.2,15,0.0,915,21,Sprint of large group
2008-09-16,18.0,race/vuelta-a-espana/2008/stage-16,Vuelta a España | Stage 16,ES,2.HC,186.4,0,0.0,1481,35,Sprint of large group
2008-09-15,102.0,race/vuelta-a-espana/2008/stage-15,Vuelta a España | Stage 15,ES,2.HC,202.0,0,0.0,3130,126,3 km solo
2008-09-14,131.0,race/vuelta-a-espana/2008/stage-14,Vuelta a España | Stage 14,ES,2.HC,158.4,0,0.0,3589,228,1 km solo
2008-09-13,121.0,race/vuelta-a-espana/2008/stage-13,Vuelta a España | Stage 13,ES,2.HC,209.5,0,0.0,4413,445,3.5 km solo
2008-09-11,64.0,race/vuelta-a-espana/2008/stage-12,Vuelta a España | Stage 12,ES,2.HC,186.4,0,0.0,2900,134,Sprint of small group
2008-09-10,8.0,race/vuelta-a-espana/2008/stage-11,Vuelta a España | Stage 11,ES,2.HC,178.0,10,0.0,2019,41,Sprint of large group
