date,rank,stage_url,stage_name,nationality,class,distance,pcs_points,uci_points,vertical meters,profile score,won how
2011-06-11,,race/dauphine/2011/stage-6,Critérium du Dauphiné | Stage 6,FR,WT,192.5,0,0.0,4407,341,? km solo
2011-06-10,143.0,race/dauphine/2011/stage-5,Critérium du Dauphiné | Stage 5,FR,WT,210.0,0,0.0,3282,145,3 km solo
2011-06-09,78.0,race/dauphine/2011/stage-4,Critérium du Dauphiné | Stage 4,FR,WT,173.5,0,0.0,1647,33,Sprint of large group
2011-06-08,149.0,race/dauphine/2011/stage-3,Critérium du Dauphiné | Stage 3 (ITT),FR,WT,42.5,0,0.0,732,61,Time Trial
2011-06-07,136.0,race/dauphine/2011/stage-2,Critérium du Dauphiné | Stage 2,FR,WT,179.0,0,0.0,1479,33,Sprint of large group
2011-06-06,119.0,race/dauphine/2011/stage-1,Critérium du Dauphiné | Stage 1,FR,WT,144.0,0,0.0,2189,157,2.5 km solo
2011-06-05,102.0,race/dauphine/2011/prologue,Critérium du Dauphiné | Prologue,FR,WT,5.4,0,0.0,58,6,Time Trial
2011-05-01,113.0,race/tour-de-romandie/2011/stage-5,Tour de Romandie | Stage 5,CH,WT,164.6,0,0.0,2168,58,Sprint of large group
2011-04-30,109.0,race/tour-de-romandie/2011/stage-4,Tour de Romandie | Stage 4 (ITT),CH,WT,20.1,0,0.0,406,38,Time Trial
2011-04-29,139.0,race/tour-de-romandie/2011/stage-3,Tour de Romandie | Stage 3,CH,WT,166.5,0,0.0,1569,86,Sprint of large group
2011-04-28,139.0,race/tour-de-romandie/2011/stage-2,Tour de Romandie | Stage 2,CH,WT,168.3,0,0.0,2648,133,Sprint of large group
2011-04-27,145.0,race/tour-de-romandie/2011/stage-1,Tour de Romandie | Stage 1,CH,WT,171.5,0,0.0,2365,135,5 km solo
2011-04-26,115.0,race/tour-de-romandie/2011/prologue,Tour de Romandie | Prologue,CH,WT,3.5,0,0.0,14,0,Time Trial
2011-03-25,,race/volta-a-catalunya/2011/stage-5,Volta Ciclista a Catalunya | Stage 5,ES,WT,213.5,0,0.0,Filler,Filler,Filler
