date,rank,stage_url,stage_name,nationality,class,distance,pcs_points,uci_points,vertical meters,profile score,won how
2011-09-25,111.0,race/world-championship/2011/result,World Championships ME - Road Race,DK,WC,266.0,15,0.0,1925,22,Sprint of large group
2011-09-11,4.0,race/vuelta-a-espana/2011/stage-21,Vuelta a España | Stage 21,ES,WT,94.0,25,0.0,828,9,Sprint of large group
2011-09-10,132.0,race/vuelta-a-espana/2011/stage-20,Vuelta a España | Stage 20,ES,WT,187.0,0,0.0,3206,124,Sprint of large group
2011-09-09,121.0,race/vuelta-a-espana/2011/stage-19,Vuelta a España | Stage 19,ES,WT,157.9,0,0.0,2708,168,21 km solo
2011-09-08,95.0,race/vuelta-a-espana/2011/stage-18,Vuelta a España | Stage 18,ES,WT,169.7,0,0.0,3618,158,Sprint à deux
2011-09-07,166.0,race/vuelta-a-espana/2011/stage-17,Vuelta a España | Stage 17,ES,WT,212.5,0,0.0,3207,203,Sprint à deux
2011-09-06,104.0,race/vuelta-a-espana/2011/stage-16,Vuelta a España | Stage 16,ES,WT,180.0,0,0.0,1044,9,Sprint of large group
2011-09-04,170.0,race/vuelta-a-espana/2011/stage-15,Vuelta a España | Stage 15,ES,WT,144.0,0,0.0,3765,438,6 km solo
2011-09-03,136.0,race/vuelta-a-espana/2011/stage-14,Vuelta a España | Stage 14,ES,WT,173.2,0,0.0,3631,360,2 km solo
2011-09-02,167.0,race/vuelta-a-espana/2011/stage-13,Vuelta a España | Stage 13,ES,WT,150.0,0,0.0,3923,189,Sprint of 19 riders
2011-09-01,2.0,race/vuelta-a-espana/2011/stage-12,Vuelta a España | Stage 12,ES,WT,160.0,50,0.0,2433,61,Sprint of large group
2011-08-31,148.0,race/vuelta-a-espana/2011/stage-11,Vuelta a España | Stage 11,ES,WT,171.0,0,0.0,4166,295,6 km solo
2011-08-29,135.0,race/vuelta-a-espana/2011/stage-10,Vuelta a España | Stage 10 (ITT),ES,WT,47.0,0,0.0,414,6,Time Trial
2011-08-28,179.0,race/vuelta-a-espana/2011/stage-9,Vuelta a España | Stage 9,ES,WT,179.5,0,0.0,2741,227,Sprint of small group
2011-08-27,164.0,race/vuelta-a-espana/2011/stage-8,Vuelta a España | Stage 8,ES,WT,183.0,0,0.0,3835,218,0.6 km solo
