date,rank,stage_url,stage_name,nationality,class,distance,pcs_points,uci_points,vertical meters,profile score,won how
2016-08-21,123.0,race/cyclassics-hamburg/2016/result,Cyclassics Hamburg,DE,1.UWT,217.7,5,0.0,1252,33,Sprint of large group
2016-04-20,,race/la-fleche-wallone/2016/result,La Flèche Wallonne,BE,1.UWT,196.0,0,0.0,3042,160,Sprint à deux
2017-09-24,,race/world-championship/2017/result,World Championships ME - Road Race,NO,WC,267.5,0,0.0,Filler,Filler,Filler
2017-08-27,,race/bretagne-classic/2017/result,Bretagne Classic - Ouest-France,FR,1.UWT,239.7,0,0.0,3176,98,Sprint of large group
2017-08-20,126.0,race/cyclassics-hamburg/2017/result,Cyclassics Hamburg,DE,1.UWT,220.9,5,0.0,1236,31,Sprint of large group
2017-08-13,45.0,race/renewi-tour/2017/stage-7,BinckBank Tour | Stage 7,BE,2.UWT,193.5,0,0.0,1064,43,3 km solo
2017-08-12,110.0,race/renewi-tour/2017/stage-6,BinckBank Tour | Stage 6,BE,2.UWT,196.9,0,0.0,3027,91,Sprint à deux
2017-08-11,76.0,race/renewi-tour/2017/stage-5,BinckBank Tour | Stage 5,BE,2.UWT,164.9,0,0.0,1371,30,1.5 km solo
2017-08-10,73.0,race/renewi-tour/2017/stage-4,BinckBank Tour | Stage 4,BE,2.UWT,160.7,0,0.0,831,5,Sprint of large group
2017-08-09,117.0,race/renewi-tour/2017/stage-3,BinckBank Tour | Stage 3,BE,2.UWT,186.0,0,0.0,342,0,Sprint of large group
2017-08-08,22.0,race/renewi-tour/2017/stage-2,BinckBank Tour | Stage 2 (ITT),BE,2.UWT,9.0,0,0.0,5,0,Time Trial
2017-08-07,156.0,race/renewi-tour/2017/stage-1,BinckBank Tour | Stage 1,BE,2.UWT,179.7,0,0.0,280,0,Sprint of large group
2017-07-30,,race/ride-london-classic/2017/result,Prudential RideLondon-Surrey Classic,GB,1.UWT,185.9,0,0.0,1648,35,Sprint of large group
2017-05-28,12.0,race/giro-d-italia/2017/stage-21,Giro d'Italia | Stage 21 (ITT),IT,2.UWT,29.3,4,0.0,25,0,Time Trial
