date,rank,stage_url,stage_name,nationality,class,distance,pcs_points,uci_points,vertical meters,profile score,won how
2014-09-24,56.0,race/world-championship-itt/2014/result,World Championships ME - ITT,ES,WC,47.1,10,0.0,460,28,Time Trial
2014-09-14,62.0,race/gp-montreal/2014/result,Grand Prix Cycliste de Montréal,CA,1.UWT,205.7,5,0.0,Filler,Filler,Filler
2014-09-12,78.0,race/gp-quebec/2014/result,Grand Prix Cycliste de Québec,CA,1.UWT,199.1,5,0.0,Filler,Filler,Filler
2014-05-01,,race/tour-de-romandie/2014/stage-2,Tour de Romandie | Stage 2,CH,2.UWT,166.5,0,0.0,1834,75,Sprint of large group
2014-04-30,103.0,race/tour-de-romandie/2014/stage-1,Tour de Romandie | Stage 1,CH,2.UWT,88.6,0,0.0,1012,72,Sprint of large group
2014-04-29,89.0,race/tour-de-romandie/2014/prologue,Tour de Romandie | Prologue,CH,2.UWT,5.57,0,0.0,6,0,Time Trial
2014-04-27,127.0,race/liege-bastogne-liege/2014/result,Liège - Bastogne - Liège,BE,1.UWT,262.9,5,0.0,4039,163,Sprint of small group
2014-04-23,137.0,race/la-fleche-wallone/2014/result,La Flèche Wallonne,BE,1.UWT,199.0,5,0.0,2645,142,0.1 km solo
2014-04-20,112.0,race/amstel-gold-race/2014/result,Amstel Gold Race,NL,1.UWT,251.4,5,0.0,3495,123,3 km solo
2014-01-26,119.0,race/tour-down-under/2014/stage-6,Tour Down Under | Stage 6,AU,2.UWT,95.0,0,0.0,1037,25,Sprint of large group
2014-01-25,64.0,race/tour-down-under/2014/stage-5,Tour Down Under | Stage 5,AU,2.UWT,151.5,0,0.0,1516,89,1.1 km solo
2014-01-24,76.0,race/tour-down-under/2014/stage-4,Tour Down Under | Stage 4,AU,2.UWT,148.5,0,0.0,1524,39,Sprint of large group
2014-01-23,81.0,race/tour-down-under/2014/stage-3,Tour Down Under | Stage 3,AU,2.UWT,145.0,0,0.0,1855,82,1.6 km solo
2014-01-22,59.0,race/tour-down-under/2014/stage-2,Tour Down Under | Stage 2,AU,2.UWT,150.0,0,0.0,2291,92,Sprint of large group
2014-01-21,72.0,race/tour-down-under/2014/stage-1,Tour Down Under | Stage 1,AU,2.UWT,135.0,0,0.0,1328,52,Sprint of large group
2015-08-27,,race/vuelta-a-espana/2015/stage-6,Vuelta a España | Stage 6,ES,2.UWT,200.3,0,0.0,2908,112,2 km solo
2015-08-26,148.0,race/vuelta-a-espana/2015/stage-5,Vuelta a España | Stage 5,ES,2.UWT,167.3,0,0.0,816,9,Sprint of large group
2015-08-25,161.0,race/vuelta-a-espana/2015/stage-4,Vuelta a España | Stage 4,ES,2.UWT,209.6,0,0.0,2141,83,Sprint of 26 riders
2015-08-24,132.0,race/vuelta-a-espana/2015/stage-3,Vuelta a España | Stage 3,ES,2.UWT,158.4,0,0.0,2613,104,Sprint of large group
2015-08-23,169.0,race/vuelta-a-espana/2015/stage-2,Vuelta a España | Stage 2,ES,2.UWT,158.7,0,0.0,2597,147,Sprint à deux
2015-08-22,21.0,race/vuelta-a-espana/2015/stage-1,Vuelta a España | Stage 1 (TTT),ES,2.UWT,7.4,0,0.0,17,0,Time Trial
2015-08-08,95.0,race/tour-de-pologne/2015/stage-7,Tour de Pologne | Stage 7 (ITT),PL,2.UWT,25.0,0,0.0,168,1,Time Trial
2015-08-07,76.0,race/tour-de-pologne/2015/stage-6,Tour de Pologne | Stage 6,PL,2.UWT,174.0,0,0.0,3860,213,2.8 km solo
2015-08-06,73.0,race/tour-de-pologne/2015/stage-5,Tour de Pologne | Stage 5,PL,2.UWT,223.0,0,0.0,4186,199,4.8 km solo
2015-08-05,58.0,race/tour-de-pologne/2015/stage-4,Tour de Pologne | Stage 4,PL,2.UWT,220.0,0,0.0,2516,60,Sprint of 94 riders
2015-08-04,94.0,race/tour-de-pologne/2015/stage-3,Tour de Pologne | Stage 3,PL,2.UWT,166.0,0,0.0,944,8,Sprint of large group
2015-08-03,106.0,race/tour-de-pologne/2015/stage-2,Tour de Pologne | Stage 2,PL,2.UWT,146.0,0,0.0,776,3,Sprint of large group
2015-08-02,55.0,race/tour-de-pologne/2015/stage-1,Tour de Pologne | Stage 1,PL,2.UWT,122.0,0,0.0,988,27,Sprint of 29 riders
2015-06-21,80.0,race/tour-de-suisse/2015/stage-9,Tour de Suisse | Stage 9 (ITT),CH,2.UWT,38.4,0,0.0,529,41,Time Trial
2015-06-20,88.0,race/tour-de-suisse/2015/stage-8,Tour de Suisse | Stage 8,CH,2.UWT,152.5,0,0.0,2138,92,Sprint à deux
