date,rank,stage_url,stage_name,nationality,class,distance,pcs_points,uci_points,vertical meters,profile score,won how
2019-09-29,43.0,race/world-championship/2019/result,World Championships ME - Road Race,GB,WC,260.7,15,10.0,3220,82,Sprint of small group
2019-04-21,1.0,race/amstel-gold-race/2019/result,Amstel Gold Race,NL,1.UWT,265.7,225,500.0,3536,108,Sprint of 18 riders
2019-04-07,4.0,race/ronde-van-vlaanderen/2019/result,Ronde van Vlaanderen - Tour des Flandres ME,BE,1.UWT,267.0,120,275.0,2164,72,17 km solo
2019-04-03,1.0,race/dwars-door-vlaanderen/2019/result,Dwars door Vlaanderen - A travers la Flandre ME,BE,1.UWT,182.6,225,300.0,1213,47,Sprint of 21 riders
2019-03-31,4.0,race/gent-wevelgem/2019/result,Gent-Wevelgem in Flanders Fields ME,BE,1.UWT,249.5,90,275.0,1511,37,Sprint of large group
2020-10-21,,race/oxyclean-classic-brugge-de-panne/2020/result,AG Driedaagse Brugge-De Panne ME,BE,1.UWT,188.6,0,0.0,249,0,4 km solo
2020-10-18,1.0,race/ronde-van-vlaanderen/2020/result,Ronde van Vlaanderen - Tour des Flandres ME,BE,1.UWT,243.3,275,500.0,2014,79,Sprint à deux
2020-10-11,9.0,race/gent-wevelgem/2020/result,Gent-Wevelgem in Flanders Fields ME,BE,1.UWT,232.5,46,100.0,1360,33,Sprint of small group
2020-10-04,6.0,race/liege-bastogne-liege/2020/result,Liège-Bastogne-Liège,BE,1.UWT,257.0,90,175.0,4353,182,Sprint of small group
2020-10-03,1.0,race/renewi-tour/2020/stage-5,BinckBank Tour | Stage 5,BE,2.UWT,183.6,50,50.0,2104,80,50 km solo
2020-10-02,5.0,race/renewi-tour/2020/stage-4,BinckBank Tour | Stage 4 (ITT),BE,2.UWT,8.14,10,0.0,178,11,Time Trial
2020-10-01,11.0,race/renewi-tour/2020/stage-3,BinckBank Tour | Stage 3,BE,2.UWT,157.0,0,0.0,276,0,Sprint of large group
2020-09-29,9.0,race/renewi-tour/2020/stage-1,BinckBank Tour | Stage 1,BE,2.UWT,132.1,2,0.0,286,0,Sprint of large group
2020-09-14,14.0,race/tirreno-adriatico/2020/stage-8,Tirreno-Adriatico | Stage 8 (ITT),IT,2.UWT,10.1,0,0.0,12,0,Time Trial
2020-09-13,1.0,race/tirreno-adriatico/2020/stage-7,Tirreno-Adriatico | Stage 7,IT,2.UWT,181.0,50,60.0,2736,175,0.5 km solo
2020-09-12,29.0,race/tirreno-adriatico/2020/stage-6,Tirreno-Adriatico | Stage 6,IT,2.UWT,171.0,0,0.0,1480,30,Sprint of large group
2020-09-11,82.0,race/tirreno-adriatico/2020/stage-5,Tirreno-Adriatico | Stage 5,IT,2.UWT,202.0,0,0.0,4429,315,4.4 km solo
2020-09-10,47.0,race/tirreno-adriatico/2020/stage-4,Tirreno-Adriatico | Stage 4,IT,2.UWT,194.0,0,0.0,3285,175,Sprint à deux
2020-09-09,12.0,race/tirreno-adriatico/2020/stage-3,Tirreno-Adriatico | Stage 3,IT,2.UWT,217.0,0,0.0,3108,142,Sprint à deux
2020-09-08,69.0,race/tirreno-adriatico/2020/stage-2,Tirreno-Adriatico | Stage 2,IT,2.UWT,201.0,0,0.0,1492,25,Sprint of large group
2020-09-07,26.0,race/tirreno-adriatico/2020/stage-1,Tirreno-Adriatico | Stage 1,IT,2.UWT,133.0,0,0.0,948,21,Sprint of large group
2020-08-15,10.0,race/il-lombardia/2020/result,Il Lombardia,IT,1.UWT,231.0,50,85.0,3975,260,6.3 km solo
2020-08-08,13.0,race/milano-sanremo/2020/result,Milano-Sanremo,IT,1.UWT,305.0,38,50.0,2803,68,Sprint à deux
2020-08-01,15.0,race/strade-bianche/2020/result,Strade Bianche,IT,1.UWT,184.0,22,20.0,3073,159,12.5 km solo
2021-10-03,3.0,race/paris-roubaix/2021/result,Paris-Roubaix,FR,1.UWT,257.7,150,325.0,1360,5,Sprint of small group
2021-09-26,8.0,race/world-championship/2021/result,World Championships ME - Road Race,BE,WC,268.3,90,150.0,2250,54,17.4 km solo
2021-07-04,,race/tour-de-france/2021/stage-9,Tour de France | Stage 9,FR,2.UWT,144.9,0,0.0,4628,381,17.3 km solo
2021-07-03,44.0,race/tour-de-france/2021/stage-8,Tour de France | Stage 8,FR,2.UWT,150.8,0,0.0,3557,310,15.4 km solo
2021-07-02,4.0,race/tour-de-france/2021/stage-7,Tour de France | Stage 7,FR,2.UWT,249.1,40,15.0,3120,146,18 km solo
2021-07-01,34.0,race/tour-de-france/2021/stage-6,Tour de France | Stage 6,FR,2.UWT,160.4,0,0.0,977,5,Sprint of large group
2021-06-30,5.0,race/tour-de-france/2021/stage-5,Tour de France | Stage 5 (ITT),FR,2.UWT,27.2,32,5.0,356,17,Time Trial
2021-06-29,12.0,race/tour-de-france/2021/stage-4,Tour de France | Stage 4,FR,2.UWT,150.4,6,0.0,1404,24,Sprint of large group
2021-06-28,7.0,race/tour-de-france/2021/stage-3,Tour de France | Stage 3,FR,2.UWT,182.9,22,0.0,1534,34,Sprint of large group
2021-06-27,1.0,race/tour-de-france/2021/stage-2,Tour de France | Stage 2,FR,2.UWT,183.5,100,120.0,2210,102,0.75 km solo
2021-06-26,20.0,race/tour-de-france/2021/stage-1,Tour de France | Stage 1,FR,2.UWT,197.8,0,0.0,2843,109,2.2 km solo
2021-06-11,,race/tour-de-suisse/2021/stage-6,Tour de Suisse | Stage 6,CH,2.UWT,130.1,0,0.0,2719,176,Sprint of small group
2021-06-10,102.0,race/tour-de-suisse/2021/stage-5,Tour de Suisse | Stage 5,CH,2.UWT,175.2,0,0.0,2501,212,Sprint à deux
2021-06-09,74.0,race/tour-de-suisse/2021/stage-4,Tour de Suisse | Stage 4,CH,2.UWT,171.0,0,0.0,1940,61,Sprint of small group
2021-06-08,1.0,race/tour-de-suisse/2021/stage-3,Tour de Suisse | Stage 3,CH,2.UWT,182.1,50,60.0,2492,100,Sprint of large group
2021-06-07,1.0,race/tour-de-suisse/2021/stage-2,Tour de Suisse | Stage 2,CH,2.UWT,178.0,50,60.0,2392,129,Sprint of small group
2021-06-06,25.0,race/tour-de-suisse/2021/stage-1,Tour de Suisse | Stage 1 (ITT),CH,2.UWT,10.9,0,0.0,36,0,Time Trial
2021-04-04,2.0,race/ronde-van-vlaanderen/2021/result,Ronde van Vlaanderen - Tour des Flandres ME,BE,1.UWT,254.3,200,400.0,2198,81,Sprint à deux
2021-03-31,58.0,race/dwars-door-vlaanderen/2021/result,Dwars door Vlaanderen - A travers la Flandre ME,BE,1.UWT,184.1,5,1.0,1446,55,58 km solo
2021-03-26,3.0,race/e3-harelbeke/2021/result,E3 Saxo Bank Classic,BE,1.UWT,203.9,110,260.0,2000,59,5 km solo
2021-03-20,5.0,race/milano-sanremo/2021/result,Milano-Sanremo,IT,1.UWT,299.0,100,225.0,2020,59,Sprint à deux
2021-03-16,67.0,race/tirreno-adriatico/2021/stage-7,Tirreno-Adriatico | Stage 7 (ITT),IT,2.UWT,10.1,0,0.0,11,0,Time Trial
2021-03-15,93.0,race/tirreno-adriatico/2021/stage-6,Tirreno-Adriatico | Stage 6,IT,2.UWT,169.0,0,0.0,1628,57,Sprint of small group
2021-03-14,1.0,race/tirreno-adriatico/2021/stage-5,Tirreno-Adriatico | Stage 5,IT,2.UWT,205.0,50,60.0,2639,181,52 km solo
