date,rank,stage_url,stage_name,nationality,class,distance,pcs_points,uci_points,vertical meters,profile score,won how
2010-01-24,56.0,race/tour-down-under/2010/stage-6,Tour Down Under | Stage 6,AU,PT,90.0,0,0.0,Filler,Filler,Filler
2010-01-23,116.0,race/tour-down-under/2010/stage-5,Tour Down Under | Stage 5,AU,PT,148.0,0,0.0,Filler,Filler,Filler
2010-01-22,47.0,race/tour-down-under/2010/stage-4,Tour Down Under | Stage 4,AU,PT,149.5,0,0.0,Filler,Filler,Filler
2010-01-21,85.0,race/tour-down-under/2010/stage-3,Tour Down Under | Stage 3,AU,PT,132.5,0,0.0,Filler,Filler,Filler
2010-01-20,90.0,race/tour-down-under/2010/stage-2,Tour Down Under | Stage 2,AU,PT,133.0,0,0.0,Filler,Filler,Filler
2010-01-19,28.0,race/tour-down-under/2010/stage-1,Tour Down Under | Stage 1,AU,PT,141.0,0,0.0,Filler,Filler,Filler
2011-08-28,134.0,race/bretagne-classic/2011/result,GP Ouest France - Plouay,FR,WT,248.3,5,0.0,Filler,Filler,Filler
2011-08-21,43.0,race/cyclassics-hamburg/2011/result,Vattenfall Cyclassics,DE,WT,216.5,5,0.0,Filler,Filler,Filler
2011-08-06,23.0,race/tour-de-pologne/2011/stage-7,Tour de Pologne | Stage 7,PL,WT,128.0,0,0.0,Filler,Filler,Filler
2011-08-05,140.0,race/tour-de-pologne/2011/stage-6,Tour de Pologne | Stage 6,PL,WT,207.7,0,0.0,Filler,Filler,Filler
2011-08-04,2.0,race/tour-de-pologne/2011/stage-5,Tour de Pologne | Stage 5,PL,WT,201.5,30,4.0,Filler,Filler,Filler
2011-08-03,107.0,race/tour-de-pologne/2011/stage-4,Tour de Pologne | Stage 4,PL,WT,176.9,0,0.0,Filler,Filler,Filler
2011-08-02,10.0,race/tour-de-pologne/2011/stage-3,Tour de Pologne | Stage 3,PL,WT,135.7,1,0.0,Filler,Filler,Filler
2011-07-31,14.0,race/tour-de-pologne/2011/stage-1,Tour de Pologne | Stage 1,PL,WT,101.5,0,0.0,Filler,Filler,Filler
2011-03-27,69.0,race/gent-wevelgem/2011/result,Gent - Wevelgem,BE,WT,204.5,5,0.0,Filler,Filler,Filler
2011-03-19,107.0,race/milano-sanremo/2011/result,Milano-Sanremo,IT,WT,298.0,5,0.0,2380,70,Sprint of small group
2011-01-23,11.0,race/tour-down-under/2011/stage-6,Tour Down Under | Stage 6,AU,WT,90.0,0,0.0,Filler,Filler,Filler
2011-01-22,2.0,race/tour-down-under/2011/stage-5,Tour Down Under | Stage 5,AU,WT,131.0,30,4.0,Filler,Filler,Filler
2011-01-21,26.0,race/tour-down-under/2011/stage-4,Tour Down Under | Stage 4,AU,WT,124.0,0,0.0,Filler,Filler,Filler
2011-01-20,1.0,race/tour-down-under/2011/stage-3,Tour Down Under | Stage 3,AU,WT,129.0,50,6.0,Filler,Filler,Filler
2011-01-19,7.0,race/tour-down-under/2011/stage-2,Tour Down Under | Stage 2,AU,WT,146.0,4,0.0,Filler,Filler,Filler
2011-01-18,34.0,race/tour-down-under/2011/stage-1,Tour Down Under | Stage 1,AU,WT,138.0,0,0.0,Filler,Filler,Filler
2012-09-23,,race/world-championship/2012/result,World Championships ME - Road Race,NL,WC,267.4,0,0.0,2436,43,2.5 km solo
2012-09-09,71.0,race/gp-montreal/2012/result,Grand Prix Cycliste de Montréal,CA,WT,205.7,5,0.0,Filler,Filler,Filler
2012-09-07,,race/gp-quebec/2012/result,Grand Prix Cycliste de Quebec,CA,WT,201.6,0,0.0,Filler,Filler,Filler
2012-08-26,48.0,race/bretagne-classic/2012/result,GP Ouest France - Plouay,FR,WT,248.3,5,0.0,Filler,Filler,Filler
2012-08-19,,race/cyclassics-hamburg/2012/result,Vattenfall Cyclassics,DE,WT,245.9,0,0.0,Filler,Filler,Filler
2012-07-15,,race/tour-de-pologne/2012/stage-6,Tour de Pologne | Stage 6,PL,WT,191.8,0,0.0,Filler,Filler,Filler
2012-07-14,5.0,race/tour-de-pologne/2012/stage-5,Tour de Pologne | Stage 5,PL,WT,163.1,10,1.0,Filler,Filler,Filler
2012-07-13,71.0,race/tour-de-pologne/2012/stage-4,Tour de Pologne | Stage 4,PL,WT,124.7,0,0.0,Filler,Filler,Filler
2012-07-12,73.0,race/tour-de-pologne/2012/stage-3,Tour de Pologne | Stage 3,PL,WT,201.7,0,0.0,Filler,Filler,Filler
2012-07-11,166.0,race/tour-de-pologne/2012/stage-2,Tour de Pologne | Stage 2,PL,WT,239.4,0,0.0,Filler,Filler,Filler
2012-07-10,111.0,race/tour-de-pologne/2012/stage-1,Tour de Pologne | Stage 1,PL,WT,179.5,0,0.0,Filler,Filler,Filler
2012-06-10,127.0,race/dauphine/2012/stage-7,Critérium du Dauphiné | Stage 7,FR,WT,124.5,0,0.0,2375,170,Sprint of small group
2012-06-09,145.0,race/dauphine/2012/stage-6,Critérium du Dauphiné | Stage 6,FR,WT,167.5,0,0.0,4158,300,14 km solo
2012-06-08,136.0,race/dauphine/2012/stage-5,Critérium du Dauphiné | Stage 5,FR,WT,186.5,0,0.0,3216,121,6 km solo
2012-06-07,49.0,race/dauphine/2012/stage-4,Critérium du Dauphiné | Stage 4 (ITT),FR,WT,53.5,0,0.0,399,10,Time Trial
2012-06-06,8.0,race/dauphine/2012/stage-3,Critérium du Dauphiné | Stage 3,FR,WT,167.0,3,0.0,2683,65,Sprint of large group
2012-06-05,166.0,race/dauphine/2012/stage-2,Critérium du Dauphiné | Stage 2,FR,WT,160.0,0,0.0,3002,124,Sprint of large group
2012-06-04,93.0,race/dauphine/2012/stage-1,Critérium du Dauphiné | Stage 1,FR,WT,187.0,0,0.0,2048,85,Sprint of 87 riders
2012-06-03,43.0,race/dauphine/2012/prologue,Critérium du Dauphiné | Prologue,FR,WT,5.7,0,0.0,11,0,Time Trial
2012-04-29,77.0,race/tour-de-romandie/2012/stage-5,Tour de Romandie | Stage 5 (ITT),CH,WT,16.5,0,0.0,586,94,Time Trial
2012-04-28,132.0,race/tour-de-romandie/2012/stage-4,Tour de Romandie | Stage 4,CH,WT,184.0,0,0.0,2875,164,Sprint of large group
2012-04-27,137.0,race/tour-de-romandie/2012/stage-3,Tour de Romandie | Stage 3,CH,WT,157.6,0,0.0,2352,101,Sprint of large group
2012-04-26,99.0,race/tour-de-romandie/2012/stage-2,Tour de Romandie | Stage 2,CH,WT,149.1,0,0.0,2459,107,Sprint of large group
2012-04-25,100.0,race/tour-de-romandie/2012/stage-1,Tour de Romandie | Stage 1,CH,WT,184.5,0,0.0,2950,137,Sprint of large group
2012-04-24,12.0,race/tour-de-romandie/2012/prologue,Tour de Romandie | Prologue,CH,WT,3.34,0,0.0,11,0,Time Trial
2012-04-06,,race/itzulia-basque-country/2012/stage-5,Vuelta Ciclista al País Vasco | Stage 5,ES,2.UWT,183.0,0,0.0,2997,128,Sprint à deux
2012-04-05,119.0,race/itzulia-basque-country/2012/stage-4,Vuelta Ciclista al País Vasco | Stage 4,ES,2.UWT,151.0,0,0.0,3043,215,0.15 km solo
2012-04-04,125.0,race/itzulia-basque-country/2012/stage-3,Vuelta Ciclista al País Vasco | Stage 3,ES,2.UWT,152.0,0,0.0,3049,228,Sprint of 18 riders
2012-04-03,5.0,race/itzulia-basque-country/2012/stage-2,Vuelta Ciclista al País Vasco | Stage 2,ES,2.UWT,165.7,10,1.0,2631,81,0.8 km solo
2012-04-02,18.0,race/itzulia-basque-country/2012/stage-1,Vuelta Ciclista al País Vasco | Stage 1,ES,2.UWT,154.0,0,0.0,2703,108,Sprint of large group
2012-03-09,,race/tirreno-adriatico/2012/stage-3,Tirreno-Adriatico | Stage 3,IT,WT,178.0,0,0.0,1550,58,Sprint of large group
2012-03-08,176.0,race/tirreno-adriatico/2012/stage-2,Tirreno-Adriatico | Stage 2,IT,WT,230.0,0,0.0,3084,89,Sprint of large group
2012-03-07,16.0,race/tirreno-adriatico/2012/stage-1,Tirreno-Adriatico | Stage 1 (TTT),IT,WT,16.9,0,0.0,90,0,Time Trial
2012-01-22,28.0,race/tour-down-under/2012/stage-6,Santos Tour Down Under | Stage 6,AU,WT,90.0,0,0.0,Filler,Filler,Filler
2012-01-21,11.0,race/tour-down-under/2012/stage-5,Santos Tour Down Under | Stage 5,AU,WT,151.5,0,0.0,Filler,Filler,Filler
2012-01-20,5.0,race/tour-down-under/2012/stage-4,Santos Tour Down Under | Stage 4,AU,WT,130.0,10,1.0,Filler,Filler,Filler
2012-01-19,12.0,race/tour-down-under/2012/stage-3,Santos Tour Down Under | Stage 3,AU,WT,134.5,0,0.0,Filler,Filler,Filler
2012-01-18,2.0,race/tour-down-under/2012/stage-2,Santos Tour Down Under | Stage 2,AU,WT,148.0,30,4.0,Filler,Filler,Filler
2012-01-17,12.0,race/tour-down-under/2012/stage-1,Santos Tour Down Under | Stage 1,AU,WT,149.0,0,0.0,Filler,Filler,Filler
2013-10-14,,race/tour-of-beijing/2013/stage-4,Tour of Beijing | Stage 4,CN,WT,150.5,0,0.0,Filler,Filler,Filler
2013-10-13,2.0,race/tour-of-beijing/2013/stage-3,Tour of Beijing | Stage 3,CN,WT,176.0,30,4.0,1800,34,Sprint of large group
2013-10-12,15.0,race/tour-of-beijing/2013/stage-2,Tour of Beijing | Stage 2,CN,WT,201.5,0,0.0,Filler,Filler,Filler
2013-10-11,5.0,race/tour-of-beijing/2013/stage-1,Tour of Beijing | Stage 1,CN,WT,190.5,10,1.0,Filler,Filler,Filler
2013-10-06,,race/il-lombardia/2013/result,Il Lombardia,IT,WT,242.0,0,0.0,4112,194,9.9 km solo
2013-09-29,,race/world-championship/2013/result,World Championships ME - Road Race,IT,WC,272.2,0,0.0,3923,157,Sprint à deux
2013-09-15,1.0,race/vuelta-a-espana/2013/stage-21,Vuelta a España | Stage 21,ES,WT,109.6,80,16.0,741,7,Sprint of large group
2013-09-14,85.0,race/vuelta-a-espana/2013/stage-20,Vuelta a España | Stage 20,ES,WT,142.2,0,0.0,3728,439,6 km solo
2013-09-13,133.0,race/vuelta-a-espana/2013/stage-19,Vuelta a España | Stage 19,ES,WT,181.0,0,0.0,3052,190,1 km solo
2013-09-12,94.0,race/vuelta-a-espana/2013/stage-18,Vuelta a España | Stage 18,ES,WT,186.5,0,0.0,3879,326,43 km solo
2013-09-11,51.0,race/vuelta-a-espana/2013/stage-17,Vuelta a España | Stage 17,ES,WT,189.0,0,0.0,2080,50,0.8 km solo
2013-09-09,144.0,race/vuelta-a-espana/2013/stage-16,Vuelta a España | Stage 16,ES,WT,146.8,0,0.0,3220,211,Sprint à deux
2013-09-08,139.0,race/vuelta-a-espana/2013/stage-15,Vuelta a España | Stage 15,ES,WT,224.9,0,0.0,5278,407,24 km solo
2013-09-07,117.0,race/vuelta-a-espana/2013/stage-14,Vuelta a España | Stage 14,ES,WT,155.7,0,0.0,3340,273,47 km solo
2013-09-06,168.0,race/vuelta-a-espana/2013/stage-13,Vuelta a España | Stage 13,ES,WT,169.0,0,0.0,2392,106,1.5 km solo
2013-09-05,170.0,race/vuelta-a-espana/2013/stage-12,Vuelta a España | Stage 12,ES,WT,164.2,0,0.0,1765,31,Sprint of large group
2013-09-04,114.0,race/vuelta-a-espana/2013/stage-11,Vuelta a España | Stage 11 (ITT),ES,WT,38.8,0,0.0,687,47,Time Trial
2013-09-02,153.0,race/vuelta-a-espana/2013/stage-10,Vuelta a España | Stage 10,ES,WT,178.0,0,0.0,3755,357,4.6 km solo
2013-09-01,182.0,race/vuelta-a-espana/2013/stage-9,Vuelta a España | Stage 9,ES,WT,163.7,0,0.0,2677,123,0.8 km solo
2013-08-31,180.0,race/vuelta-a-espana/2013/stage-8,Vuelta a España | Stage 8,ES,WT,166.6,0,0.0,2680,213,0.6 km solo
2013-08-30,14.0,race/vuelta-a-espana/2013/stage-7,Vuelta a España | Stage 7,ES,WT,205.9,2,0.0,1779,28,Sprint à deux
2013-08-29,6.0,race/vuelta-a-espana/2013/stage-6,Vuelta a España | Stage 6,ES,WT,175.0,15,0.0,1620,37,Sprint of large group
2013-08-28,1.0,race/vuelta-a-espana/2013/stage-5,Vuelta a España | Stage 5,ES,WT,174.3,80,16.0,3200,113,Sprint of large group
2013-08-27,3.0,race/vuelta-a-espana/2013/stage-4,Vuelta a España | Stage 4,ES,WT,189.0,35,4.0,2799,107,Sprint of 22 riders
2013-08-26,50.0,race/vuelta-a-espana/2013/stage-3,Vuelta a España | Stage 3,ES,WT,184.8,0,0.0,1878,70,1 km solo
2013-08-25,162.0,race/vuelta-a-espana/2013/stage-2,Vuelta a España | Stage 2,ES,WT,177.7,0,0.0,2317,132,Sprint of 17 riders
2013-08-24,9.0,race/vuelta-a-espana/2013/stage-1,Vuelta a España | Stage 1 (TTT),ES,WT,27.4,0,0.0,291,11,Time Trial
2013-07-27,,race/san-sebastian/2013/result,Clasica Ciclista San Sebastian,ES,WT,232.0,0,0.0,3514,146,16.2 km solo
2013-06-09,40.0,race/dauphine/2013/stage-8,Critérium du Dauphiné | Stage 8,FR,WT,152.0,0,0.0,3449,254,? km solo
2013-06-08,106.0,race/dauphine/2013/stage-7,Critérium du Dauphiné | Stage 7,FR,WT,184.0,0,0.0,4693,268,Sprint à deux
