date,rank,stage_url,stage_name,nationality,class,distance,pcs_points,uci_points,vertical meters,profile score,won how
2013-09-22,19.0,race/world-championship-ttt/2013/result,World Championships - TTT,IT,WC,57.2,0,0.0,Filler,Filler,Filler
2015-09-13,119.0,race/vuelta-a-espana/2015/stage-21,Vuelta a España | Stage 21,ES,2.UWT,98.8,0,0.0,726,6,Sprint of large group
2015-09-12,82.0,race/vuelta-a-espana/2015/stage-20,Vuelta a España | Stage 20,ES,2.UWT,175.8,0,0.0,3812,187,114 km solo
2015-09-11,132.0,race/vuelta-a-espana/2015/stage-19,Vuelta a España | Stage 19,ES,2.UWT,185.8,0,0.0,2331,85,26 km solo
2015-09-10,96.0,race/vuelta-a-espana/2015/stage-18,Vuelta a España | Stage 18,ES,2.UWT,204.0,0,0.0,3218,142,Sprint à deux
2015-09-09,68.0,race/vuelta-a-espana/2015/stage-17,Vuelta a España | Stage 17 (ITT),ES,2.UWT,38.7,0,0.0,328,17,Time Trial
2015-09-07,134.0,race/vuelta-a-espana/2015/stage-16,Vuelta a España | Stage 16,ES,2.UWT,185.0,0,0.0,5207,484,3 km solo
2015-09-06,133.0,race/vuelta-a-espana/2015/stage-15,Vuelta a España | Stage 15,ES,2.UWT,175.8,0,0.0,3740,309,0.9 km solo
2015-09-05,155.0,race/vuelta-a-espana/2015/stage-14,Vuelta a España | Stage 14,ES,2.UWT,215.0,0,0.0,3941,243,0.9 km solo
2015-09-04,48.0,race/vuelta-a-espana/2015/stage-13,Vuelta a España | Stage 13,ES,2.UWT,178.0,0,0.0,2673,78,29 km solo
2015-09-03,25.0,race/vuelta-a-espana/2015/stage-12,Vuelta a España | Stage 12,ES,2.UWT,173.0,0,0.0,2174,62,Sprint of large group
2015-09-02,125.0,race/vuelta-a-espana/2015/stage-11,Vuelta a España | Stage 11,ES,2.UWT,138.0,0,0.0,5421,515,8.8 km solo
2015-08-31,89.0,race/vuelta-a-espana/2015/stage-10,Vuelta a España | Stage 10,ES,2.UWT,146.6,0,0.0,1520,63,Sprint of 59 riders
2015-08-30,81.0,race/vuelta-a-espana/2015/stage-9,Vuelta a España | Stage 9,ES,2.UWT,168.3,0,0.0,2044,139,Sprint à deux
2015-08-29,76.0,race/vuelta-a-espana/2015/stage-8,Vuelta a España | Stage 8,ES,2.UWT,182.5,0,0.0,1386,83,Sprint of 49 riders
2015-08-28,132.0,race/vuelta-a-espana/2015/stage-7,Vuelta a España | Stage 7,ES,2.UWT,191.1,0,0.0,3318,204,Sprint à deux
2015-08-27,155.0,race/vuelta-a-espana/2015/stage-6,Vuelta a España | Stage 6,ES,2.UWT,200.3,0,0.0,2908,112,2 km solo
2015-08-26,73.0,race/vuelta-a-espana/2015/stage-5,Vuelta a España | Stage 5,ES,2.UWT,167.3,0,0.0,816,9,Sprint of large group
2015-08-25,77.0,race/vuelta-a-espana/2015/stage-4,Vuelta a España | Stage 4,ES,2.UWT,209.6,0,0.0,2141,83,Sprint of 26 riders
2015-08-24,16.0,race/vuelta-a-espana/2015/stage-3,Vuelta a España | Stage 3,ES,2.UWT,158.4,0,0.0,2613,104,Sprint of large group
2015-08-23,72.0,race/vuelta-a-espana/2015/stage-2,Vuelta a España | Stage 2,ES,2.UWT,158.7,0,0.0,2597,147,Sprint à deux
2015-08-22,4.0,race/vuelta-a-espana/2015/stage-1,Vuelta a España | Stage 1 (TTT),ES,2.UWT,7.4,16,0.0,17,0,Time Trial
2015-06-21,85.0,race/tour-de-suisse/2015/stage-9,Tour de Suisse | Stage 9 (ITT),CH,2.UWT,38.4,0,0.0,529,41,Time Trial
2015-06-20,111.0,race/tour-de-suisse/2015/stage-8,Tour de Suisse | Stage 8,CH,2.UWT,152.5,0,0.0,2138,92,Sprint à deux
2015-06-19,44.0,race/tour-de-suisse/2015/stage-7,Tour de Suisse | Stage 7,CH,2.UWT,164.6,0,0.0,1604,40,Sprint of large group
2015-06-18,21.0,race/tour-de-suisse/2015/stage-6,Tour de Suisse | Stage 6,CH,2.UWT,193.1,0,0.0,1296,21,Sprint of 62 riders
2015-06-17,96.0,race/tour-de-suisse/2015/stage-5,Tour de Suisse | Stage 5,CH,2.UWT,237.3,0,0.0,4458,405,1.5 km solo
2015-06-16,143.0,race/tour-de-suisse/2015/stage-4,Tour de Suisse | Stage 4,CH,2.UWT,193.2,0,0.0,2323,109,Sprint of large group
2015-06-15,134.0,race/tour-de-suisse/2015/stage-3,Tour de Suisse | Stage 3,CH,2.UWT,117.3,0,0.0,2213,145,Sprint of 32 riders
2015-06-14,112.0,race/tour-de-suisse/2015/stage-2,Tour de Suisse | Stage 2,CH,2.UWT,161.1,0,0.0,2023,127,0.7 km solo
2015-06-13,40.0,race/tour-de-suisse/2015/prologue,Tour de Suisse | Prologue,CH,2.UWT,5.1,0,0.0,24,0,Time Trial
2015-04-26,,race/liege-bastogne-liege/2015/result,Liège - Bastogne - Liège,BE,1.UWT,253.0,0,0.0,4106,181,Sprint of small group
2015-04-22,132.0,race/la-fleche-wallone/2015/result,La Flèche Wallonne,BE,1.UWT,205.5,5,0.0,3030,158,Sprint of small group
2015-04-06,,race/itzulia-basque-country/2015/stage-1,Vuelta Ciclista al País Vasco | Stage 1,ES,2.UWT,162.7,0,0.0,2638,122,Sprint of large group
2016-09-11,,race/gp-montreal/2016/result,Grand Prix Cycliste de Montréal,CA,1.UWT,205.7,0,0.0,3779,177,Sprint of large group
2016-09-09,28.0,race/gp-quebec/2016/result,Grand Prix Cycliste de Quebec,CA,1.UWT,201.6,7,20.0,2824,81,Sprint of 19 riders
2016-08-21,56.0,race/cyclassics-hamburg/2016/result,Cyclassics Hamburg,DE,1.UWT,217.7,5,2.0,1252,33,Sprint of large group
2016-06-12,131.0,race/dauphine/2016/stage-7,Criterium du Dauphiné | Stage 7,FR,2.UWT,151.0,0,0.0,3794,264,50 km solo
2016-06-11,76.0,race/dauphine/2016/stage-6,Criterium du Dauphiné | Stage 6,FR,2.UWT,141.0,0,0.0,4528,344,Sprint à deux
2016-06-10,156.0,race/dauphine/2016/stage-5,Criterium du Dauphiné | Stage 5,FR,2.UWT,140.0,0,0.0,3369,228,Sprint à deux
2016-06-09,123.0,race/dauphine/2016/stage-4,Criterium du Dauphiné | Stage 4,FR,2.UWT,176.0,0,0.0,1479,31,Sprint of large group
2016-06-08,108.0,race/dauphine/2016/stage-3,Criterium du Dauphiné | Stage 3,FR,2.UWT,187.5,0,0.0,2386,84,14.8 km solo
2016-06-07,128.0,race/dauphine/2016/stage-2,Criterium du Dauphiné | Stage 2,FR,2.UWT,168.0,0,0.0,2890,129,Sprint of large group
2016-06-06,46.0,race/dauphine/2016/stage-1,Criterium du Dauphiné | Stage 1,FR,2.UWT,186.0,0,0.0,1878,40,Sprint of large group
2016-06-05,132.0,race/dauphine/2016/prologue,Criterium du Dauphiné | Prologue,FR,2.UWT,4.0,0,0.0,348,79,Time Trial
2016-04-17,,race/amstel-gold-race/2016/result,Amstel Gold Race,NL,1.UWT,248.7,0,0.0,3320,94,Sprint à deux
2016-04-10,45.0,race/paris-roubaix/2016/result,Paris - Roubaix,FR,1.UWT,257.5,5,10.0,1296,3,Sprint of small group
2016-04-03,56.0,race/ronde-van-vlaanderen/2016/result,Ronde van Vlaanderen / Tour des Flandres ME,BE,1.UWT,255.0,5,3.0,2220,75,13.3 km solo
2016-03-27,68.0,race/gent-wevelgem/2016/result,Gent - Wevelgem in Flanders Fields ME,BE,1.UWT,242.0,5,0.0,1342,31,Sprint of 16 riders
2016-03-15,87.0,race/tirreno-adriatico/2016/stage-7,Tirreno-Adriatico | Stage 7 (ITT),IT,2.UWT,10.05,0,0.0,16,0,Time Trial
2016-03-14,79.0,race/tirreno-adriatico/2016/stage-6,Tirreno-Adriatico | Stage 6,IT,2.UWT,210.0,0,0.0,1277,38,Sprint of 64 riders
2016-03-12,101.0,race/tirreno-adriatico/2016/stage-4,Tirreno-Adriatico | Stage 4,IT,2.UWT,222.0,0,0.0,2716,115,3.5 km solo
2016-03-11,53.0,race/tirreno-adriatico/2016/stage-3,Tirreno-Adriatico | Stage 3,IT,2.UWT,176.0,0,0.0,1946,68,Sprint of large group
2016-03-10,97.0,race/tirreno-adriatico/2016/stage-2,Tirreno-Adriatico | Stage 2,IT,2.UWT,207.0,0,0.0,1953,92,3 km solo
2016-03-09,11.0,race/tirreno-adriatico/2016/stage-1,Tirreno-Adriatico | Stage 1 (TTT),IT,2.UWT,22.7,0,0.0,6,0,Time Trial
2017-10-24,44.0,race/tour-of-guangxi/2017/stage-6,Gree - Tour of Guangxi | Stage 6,CN,2.UWT,168.1,0,0.0,969,23,Sprint of large group
2017-10-23,4.0,race/tour-of-guangxi/2017/stage-5,Gree - Tour of Guangxi | Stage 5,CN,2.UWT,212.2,13,0.0,1509,54,Sprint of large group
2017-10-22,22.0,race/tour-of-guangxi/2017/stage-4,Gree - Tour of Guangxi | Stage 4,CN,2.UWT,151.0,0,0.0,1178,56,0.4 km solo
2017-10-21,80.0,race/tour-of-guangxi/2017/stage-3,Gree - Tour of Guangxi | Stage 3,CN,2.UWT,125.4,0,0.0,798,11,Sprint of large group
2017-10-20,71.0,race/tour-of-guangxi/2017/stage-2,Gree - Tour of Guangxi | Stage 2,CN,2.UWT,156.7,0,0.0,833,14,Sprint of large group
2017-10-19,47.0,race/tour-of-guangxi/2017/stage-1,Gree - Tour of Guangxi | Stage 1,CN,2.UWT,107.4,0,0.0,339,14,Sprint of large group
2017-09-10,99.0,race/gp-montreal/2017/result,Grand Prix Cycliste de Montréal,CA,1.UWT,205.7,5,0.0,3779,177,Sprint of 18 riders
2017-09-08,48.0,race/gp-quebec/2017/result,Grand Prix Cycliste de Québec,CA,1.UWT,201.6,5,10.0,2824,81,Sprint of large group
2017-08-27,81.0,race/bretagne-classic/2017/result,Bretagne Classic - Ouest-France,FR,1.UWT,239.7,5,0.0,3176,98,Sprint of large group
2017-08-13,22.0,race/renewi-tour/2017/stage-7,BinckBank Tour | Stage 7,BE,2.UWT,193.5,0,0.0,1064,43,3 km solo
2017-08-12,50.0,race/renewi-tour/2017/stage-6,BinckBank Tour | Stage 6,BE,2.UWT,196.9,0,0.0,3027,91,Sprint à deux
2017-08-11,19.0,race/renewi-tour/2017/stage-5,BinckBank Tour | Stage 5,BE,2.UWT,164.9,0,0.0,1371,30,1.5 km solo
2017-08-10,11.0,race/renewi-tour/2017/stage-4,BinckBank Tour | Stage 4,BE,2.UWT,160.7,0,0.0,831,5,Sprint of large group
2017-08-09,49.0,race/renewi-tour/2017/stage-3,BinckBank Tour | Stage 3,BE,2.UWT,186.0,0,0.0,342,0,Sprint of large group
2017-08-08,30.0,race/renewi-tour/2017/stage-2,BinckBank Tour | Stage 2 (ITT),BE,2.UWT,9.0,0,0.0,5,0,Time Trial
2017-08-07,92.0,race/renewi-tour/2017/stage-1,BinckBank Tour | Stage 1,BE,2.UWT,179.7,0,0.0,280,0,Sprint of large group
2017-07-30,63.0,race/ride-london-classic/2017/result,Prudential RideLondon-Surrey Classic,GB,1.UWT,185.9,5,0.0,1648,35,Sprint of large group
2017-07-23,121.0,race/tour-de-france/2017/stage-21,Tour de France | Stage 21,FR,2.UWT,105.0,0,0.0,519,4,Sprint of large group
2017-07-22,82.0,race/tour-de-france/2017/stage-20,Tour de France | Stage 20 (ITT),FR,2.UWT,22.5,0,0.0,160,22,Time Trial
2017-07-21,75.0,race/tour-de-france/2017/stage-19,Tour de France | Stage 19,FR,2.UWT,222.5,0,0.0,2613,59,2.6 km solo
2017-07-20,151.0,race/tour-de-france/2017/stage-18,Tour de France | Stage 18,FR,2.UWT,179.5,0,0.0,4059,338,1 km solo
2017-07-19,75.0,race/tour-de-france/2017/stage-17,Tour de France | Stage 17,FR,2.UWT,183.0,0,0.0,5064,300,34.4 km solo
2017-07-18,106.0,race/tour-de-france/2017/stage-16,Tour de France | Stage 16,FR,2.UWT,165.0,0,0.0,2033,47,Sprint of large group
2017-07-16,162.0,race/tour-de-france/2017/stage-15,Tour de France | Stage 15,FR,2.UWT,189.5,0,0.0,3164,154,30 km solo
2017-07-15,117.0,race/tour-de-france/2017/stage-14,Tour de France | Stage 14,FR,2.UWT,181.5,0,0.0,1786,85,Sprint of large group
2017-07-14,72.0,race/tour-de-france/2017/stage-13,Tour de France | Stage 13,FR,2.UWT,101.0,0,0.0,2856,243,Sprint of 10 riders
2017-07-13,141.0,race/tour-de-france/2017/stage-12,Tour de France | Stage 12,FR,2.UWT,214.5,0,0.0,4903,375,Sprint of small group
2017-07-12,172.0,race/tour-de-france/2017/stage-11,Tour de France | Stage 11,FR,2.UWT,203.5,0,0.0,1163,15,Sprint of large group
2017-07-11,67.0,race/tour-de-france/2017/stage-10,Tour de France | Stage 10,FR,2.UWT,178.0,0,0.0,1407,25,Sprint of large group
2017-07-09,170.0,race/tour-de-france/2017/stage-9,Tour de France | Stage 9,FR,2.UWT,181.5,0,0.0,4696,275,Sprint of small group
2017-07-08,121.0,race/tour-de-france/2017/stage-8,Tour de France | Stage 8,FR,2.UWT,187.5,0,0.0,3591,229,17.9 km solo
2017-07-07,148.0,race/tour-de-france/2017/stage-7,Tour de France | Stage 7,FR,2.UWT,213.5,0,0.0,1578,20,Sprint of large group
2017-07-06,158.0,race/tour-de-france/2017/stage-6,Tour de France | Stage 6,FR,2.UWT,216.0,0,0.0,1735,29,Sprint of large group
2017-07-05,110.0,race/tour-de-france/2017/stage-5,Tour de France | Stage 5,FR,2.UWT,160.5,0,0.0,2348,151,2.4 km solo
2017-07-04,15.0,race/tour-de-france/2017/stage-4,Tour de France | Stage 4,FR,2.UWT,207.5,1,0.0,1404,24,Sprint of large group
2017-07-03,111.0,race/tour-de-france/2017/stage-3,Tour de France | Stage 3,FR,2.UWT,212.5,0,0.0,2706,77,Sprint of large group
