date,rank,stage_url,stage_name,nationality,class,distance,pcs_points,uci_points,vertical meters,profile score,won how
2015-09-23,19.0,race/world-championship-itt/2015/result,World Championships ME - ITT,US,WC,53.5,10,0.0,384,6,Time Trial
2015-09-20,1.0,race/world-championship-ttt/2015/result,World Championships - TTT,US,WC,38.6,100,0.0,Filler,Filler,Filler
2015-08-30,,race/bretagne-classic/2015/result,GP Ouest France - Plouay,FR,1.UWT,229.1,0,0.0,Filler,Filler,Filler
2015-08-23,40.0,race/cyclassics-hamburg/2015/result,Vattenfall Cyclassics,DE,1.UWT,221.3,5,8.0,1307,32,Sprint of large group
2015-05-21,,race/giro-d-italia/2015/stage-12,Giro d'Italia | Stage 12,IT,2.UWT,190.0,0,0.0,1288,111,Sprint of large group
2015-05-20,57.0,race/giro-d-italia/2015/stage-11,Giro d'Italia | Stage 11,IT,2.UWT,153.0,0,0.0,2949,136,25 km solo
2015-05-19,25.0,race/giro-d-italia/2015/stage-10,Giro d'Italia | Stage 10,IT,2.UWT,200.0,0,0.0,841,10,Sprint of 55 riders
2015-05-17,78.0,race/giro-d-italia/2015/stage-9,Giro d'Italia | Stage 9,IT,2.UWT,224.0,0,0.0,4264,170,4 km solo
2015-05-16,72.0,race/giro-d-italia/2015/stage-8,Giro d'Italia | Stage 8,IT,2.UWT,186.0,0,0.0,3842,253,3.4 km solo
2015-05-15,73.0,race/giro-d-italia/2015/stage-7,Giro d'Italia | Stage 7,IT,2.UWT,264.0,0,0.0,2873,112,Sprint of large group
2015-05-14,32.0,race/giro-d-italia/2015/stage-6,Giro d'Italia | Stage 6,IT,2.UWT,183.0,0,0.0,1625,41,Sprint of large group
2015-05-13,85.0,race/giro-d-italia/2015/stage-5,Giro d'Italia | Stage 5,IT,2.UWT,152.0,0,0.0,3066,202,10.7 km solo
2015-05-12,85.0,race/giro-d-italia/2015/stage-4,Giro d'Italia | Stage 4,IT,2.UWT,150.0,0,0.0,3050,163,14.1 km solo
2015-05-11,85.0,race/giro-d-italia/2015/stage-3,Giro d'Italia | Stage 3,IT,2.UWT,136.0,0,0.0,2797,117,Sprint of large group
2015-05-10,176.0,race/giro-d-italia/2015/stage-2,Giro d'Italia | Stage 2,IT,2.UWT,177.0,0,0.0,1868,58,Sprint of large group
2015-05-09,7.0,race/giro-d-italia/2015/stage-1,Giro d'Italia | Stage 1 (TTT),IT,2.UWT,17.6,0,0.0,83,2,Time Trial
2015-05-03,15.0,race/tour-de-romandie/2015/stage-6,Tour de Romandie | Stage 6 (ITT),CH,2.UWT,17.3,0,0.0,214,17,Time Trial
2015-05-02,107.0,race/tour-de-romandie/2015/stage-5,Tour de Romandie | Stage 5,CH,2.UWT,166.1,0,0.0,3688,361,4.9 km solo
2015-05-01,1.0,race/tour-de-romandie/2015/stage-4,Tour de Romandie | Stage 4,CH,2.UWT,169.8,50,6.0,2216,92,25.9 km solo
2015-04-30,31.0,race/tour-de-romandie/2015/stage-3,Tour de Romandie | Stage 3,CH,2.UWT,173.2,0,0.0,2337,104,Sprint of large group
2015-04-29,83.0,race/tour-de-romandie/2015/stage-2,Tour de Romandie | Stage 2,CH,2.UWT,166.1,0,0.0,2603,154,Sprint of large group
2015-04-28,6.0,race/tour-de-romandie/2015/stage-1,Tour de Romandie | Stage 1 (TTT),CH,2.UWT,19.2,0,0.0,117,5,Time Trial
2015-04-12,63.0,race/paris-roubaix/2015/result,Paris - Roubaix,FR,1.UWT,253.5,5,0.0,1033,2,Sprint of small group
2016-10-16,38.0,race/world-championship/2016/result,World Championships ME - Road Race,QA,WC,257.3,15,10.0,401,1,Sprint of 12 riders
2016-10-12,17.0,race/world-championship-itt/2016/result,World Championships ME - ITT,QA,WC,40.0,10,5.0,53,0,Time Trial
2016-10-09,2.0,race/world-championship-ttt/2016/result,World Championships - TTT,QA,WC,40.0,70,0.0,Filler,Filler,Filler
2016-09-25,79.0,race/renewi-tour/2016/stage-7,Eneco Tour | Stage 7,BE,2.UWT,197.8,0,0.0,1694,62,Sprint of small group
2016-09-24,148.0,race/renewi-tour/2016/stage-6,Eneco Tour | Stage 6,BE,2.UWT,185.2,0,0.0,1408,35,Sprint of 85 riders
2016-09-23,1.0,race/renewi-tour/2016/stage-5,Eneco Tour | Stage 5 (TTT),BE,2.UWT,20.9,20,12.2,171,5,Time Trial
2016-09-22,150.0,race/renewi-tour/2016/stage-4,Eneco Tour | Stage 4,BE,2.UWT,201.4,0,0.0,1397,35,Sprint of large group
2016-09-21,98.0,race/renewi-tour/2016/stage-3,Eneco Tour | Stage 3,BE,2.UWT,182.3,0,0.0,344,0,Sprint of large group
2016-09-20,19.0,race/renewi-tour/2016/stage-2,Eneco Tour | Stage 2 (ITT),BE,2.UWT,9.6,0,0.0,0,0,Time Trial
2016-09-19,62.0,race/renewi-tour/2016/stage-1,Eneco Tour | Stage 1,BE,2.UWT,184.7,0,0.0,145,0,Sprint of large group
2016-05-29,40.0,race/giro-d-italia/2016/stage-21,Giro d'Italia | Stage 21,IT,2.UWT,163.0,0,0.0,879,32,Sprint of large group
2016-05-28,102.0,race/giro-d-italia/2016/stage-20,Giro d'Italia | Stage 20,IT,2.UWT,134.0,0,0.0,4500,344,14.1 km solo
2016-05-27,87.0,race/giro-d-italia/2016/stage-19,Giro d'Italia | Stage 19,IT,2.UWT,162.0,0,0.0,3905,315,5.1 km solo
2016-05-26,14.0,race/giro-d-italia/2016/stage-18,Giro d'Italia | Stage 18,IT,2.UWT,244.0,2,0.0,1637,139,Sprint of small group
2016-05-25,18.0,race/giro-d-italia/2016/stage-17,Giro d'Italia | Stage 17,IT,2.UWT,196.0,0,0.0,1567,35,0.4 km solo
2016-05-24,65.0,race/giro-d-italia/2016/stage-16,Giro d'Italia | Stage 16,IT,2.UWT,132.0,0,0.0,2737,236,Sprint à deux
2016-05-22,71.0,race/giro-d-italia/2016/stage-15,Giro d'Italia | Stage 15 (ITT),IT,2.UWT,10.8,0,0.0,785,152,Time Trial
