date,rank,stage_url,stage_name,nationality,class,distance,pcs_points,uci_points,vertical meters,profile score,won how
2019-09-29,18.0,race/world-championship/2019/result,World Championships ME - Road Race,GB,WC,260.7,34,30.0,3220,82,Sprint of small group
2019-09-15,25.0,race/vuelta-a-espana/2019/stage-21,La Vuelta ciclista a España | Stage 21,ES,2.UWT,106.6,0,0.0,763,8,Sprint of large group
2019-09-14,1.0,race/vuelta-a-espana/2019/stage-20,La Vuelta ciclista a España | Stage 20,ES,2.UWT,190.4,80,100.0,4559,242,39 km solo
2019-09-13,8.0,race/vuelta-a-espana/2019/stage-19,La Vuelta ciclista a España | Stage 19,ES,2.UWT,165.2,10,0.0,1771,48,24 km solo
2019-09-12,9.0,race/vuelta-a-espana/2019/stage-18,La Vuelta ciclista a España | Stage 18,ES,2.UWT,178.2,8,0.0,3689,162,53 km solo
2019-09-11,31.0,race/vuelta-a-espana/2019/stage-17,La Vuelta ciclista a España | Stage 17,ES,2.UWT,219.6,0,0.0,2395,57,Sprint of small group
2019-09-09,14.0,race/vuelta-a-espana/2019/stage-16,La Vuelta ciclista a España | Stage 16,ES,2.UWT,144.4,2,0.0,4114,326,4 km solo
2019-09-08,12.0,race/vuelta-a-espana/2019/stage-15,La Vuelta ciclista a España | Stage 15,ES,2.UWT,154.4,4,0.0,4114,368,6.6 km solo
2019-09-07,82.0,race/vuelta-a-espana/2019/stage-14,La Vuelta ciclista a España | Stage 14,ES,2.UWT,188.0,0,0.0,2432,63,Sprint of large group
2019-09-06,1.0,race/vuelta-a-espana/2019/stage-13,La Vuelta ciclista a España | Stage 13,ES,2.UWT,166.4,80,100.0,4179,287,Sprint à deux
2019-09-05,23.0,race/vuelta-a-espana/2019/stage-12,La Vuelta ciclista a España | Stage 12,ES,2.UWT,171.4,0,0.0,2072,160,9 km solo
2019-09-04,47.0,race/vuelta-a-espana/2019/stage-11,La Vuelta ciclista a España | Stage 11,ES,2.UWT,180.0,0,0.0,3168,137,25 km solo
2019-09-03,11.0,race/vuelta-a-espana/2019/stage-10,La Vuelta ciclista a España | Stage 10 (ITT),ES,2.UWT,36.2,5,0.0,525,49,Time Trial
2019-09-01,1.0,race/vuelta-a-espana/2019/stage-9,La Vuelta ciclista a España | Stage 9,ES,2.UWT,94.4,80,100.0,3300,394,3 km solo
2019-08-31,32.0,race/vuelta-a-espana/2019/stage-8,La Vuelta ciclista a España | Stage 8,ES,2.UWT,166.9,0,0.0,2291,95,Sprint of 13 riders
2019-08-30,7.0,race/vuelta-a-espana/2019/stage-7,La Vuelta ciclista a España | Stage 7,ES,2.UWT,183.2,12,0.0,2842,242,Sprint à deux
2019-08-29,11.0,race/vuelta-a-espana/2019/stage-6,La Vuelta ciclista a España | Stage 6,ES,2.UWT,198.9,5,0.0,3294,151,0.4 km solo
2019-08-28,7.0,race/vuelta-a-espana/2019/stage-5,La Vuelta ciclista a España | Stage 5,ES,2.UWT,170.7,12,0.0,3764,270,0.5 km solo
2019-08-27,20.0,race/vuelta-a-espana/2019/stage-4,La Vuelta ciclista a España | Stage 4,ES,2.UWT,175.5,0,0.0,1233,27,Sprint of large group
2019-08-26,16.0,race/vuelta-a-espana/2019/stage-3,La Vuelta ciclista a España | Stage 3,ES,2.UWT,188.0,0,0.0,1730,65,Sprint of large group
2019-08-25,8.0,race/vuelta-a-espana/2019/stage-2,La Vuelta ciclista a España | Stage 2,ES,2.UWT,199.6,10,0.0,3238,113,3 km solo
2019-08-24,21.0,race/vuelta-a-espana/2019/stage-1,La Vuelta ciclista a España | Stage 1 (TTT),ES,2.UWT,13.4,0,0.0,107,2,Time Trial
2019-08-03,,race/san-sebastian/2019/result,Clásica Ciclista San Sebastián,ES,1.UWT,227.3,0,0.0,3980,188,8.8 km solo
2019-05-18,20.0,race/tour-of-california/2019/stage-7,Amgen Tour of California | Stage 7,US,2.UWT,141.0,0,0.0,2053,76,Sprint of large group
2019-05-17,1.0,race/tour-of-california/2019/stage-6,Amgen Tour of California | Stage 6,US,2.UWT,127.5,50,40.0,3529,301,Sprint à deux
2019-05-16,9.0,race/tour-of-california/2019/stage-5,Amgen Tour of California | Stage 5,US,2.UWT,218.5,2,0.0,2704,100,Sprint of large group
2019-05-15,19.0,race/tour-of-california/2019/stage-4,Amgen Tour of California | Stage 4,US,2.UWT,212.5,0,0.0,2903,68,Sprint of large group
2019-05-14,10.0,race/tour-of-california/2019/stage-3,Amgen Tour of California | Stage 3,US,2.UWT,207.0,1,0.0,2993,129,70 km solo
2019-05-13,4.0,race/tour-of-california/2019/stage-2,Amgen Tour of California | Stage 2,US,2.UWT,194.5,13,0.0,4244,140,Sprint of 11 riders
2019-05-12,18.0,race/tour-of-california/2019/stage-1,Amgen Tour of California | Stage 1,US,2.UWT,143.0,0,0.0,168,0,Sprint of 71 riders
2019-04-28,18.0,race/liege-bastogne-liege/2019/result,Liège-Bastogne-Liège,BE,1.UWT,256.0,24,30.0,4075,158,13 km solo
2019-04-24,53.0,race/la-fleche-wallone/2019/result,La Flèche Wallonne,BE,1.UWT,195.0,5,4.0,2930,179,Sprint à deux
2019-04-21,,race/amstel-gold-race/2019/result,Amstel Gold Race,NL,1.UWT,265.7,0,0.0,3536,108,Sprint of 18 riders
2019-04-13,5.0,race/itzulia-basque-country/2019/stage-6,Itzulia Basque Country | Stage 6,ES,2.UWT,118.2,10,0.0,2850,211,Sprint of small group
2019-04-12,5.0,race/itzulia-basque-country/2019/stage-5,Itzulia Basque Country | Stage 5,ES,2.UWT,149.8,10,0.0,3231,267,32 km solo
2019-04-11,2.0,race/itzulia-basque-country/2019/stage-4,Itzulia Basque Country | Stage 4,ES,2.UWT,163.6,30,20.0,2223,122,Sprint of 23 riders
2019-04-10,78.0,race/itzulia-basque-country/2019/stage-3,Itzulia Basque Country | Stage 3,ES,2.UWT,191.4,0,0.0,2356,49,Sprint of large group
2019-04-09,9.0,race/itzulia-basque-country/2019/stage-2,Itzulia Basque Country | Stage 2,ES,2.UWT,149.5,2,0.0,1887,63,Sprint of large group
2019-04-08,18.0,race/itzulia-basque-country/2019/stage-1,Itzulia Basque Country | Stage 1 (ITT),ES,2.UWT,11.3,0,0.0,269,47,Time Trial
2019-03-09,30.0,race/strade-bianche/2019/result,Strade Bianche,IT,1.UWT,184.0,5,12.0,2993,151,Sprint à deux
2019-01-27,44.0,race/great-ocean-race/2019/result,Cadel Evans Great Ocean Road Race,AU,1.UWT,164.0,5,5.0,2018,114,Sprint of large group
2019-01-20,15.0,race/tour-down-under/2019/stage-6,Santos Tour Down Under | Stage 6,AU,2.UWT,151.5,0,0.0,1879,114,0.6 km solo
2019-01-19,16.0,race/tour-down-under/2019/stage-5,Santos Tour Down Under | Stage 5,AU,2.UWT,149.5,0,0.0,1779,33,Sprint of large group
2019-01-18,16.0,race/tour-down-under/2019/stage-4,Santos Tour Down Under | Stage 4,AU,2.UWT,129.2,0,0.0,2592,168,Sprint of large group
2019-01-17,8.0,race/tour-down-under/2019/stage-3,Santos Tour Down Under | Stage 3,AU,2.UWT,146.2,3,0.0,3573,235,Sprint of large group
2019-01-16,112.0,race/tour-down-under/2019/stage-2,Santos Tour Down Under | Stage 2,AU,2.UWT,122.1,0,0.0,1914,60,Sprint of 127 riders
2019-01-15,19.0,race/tour-down-under/2019/stage-1,Santos Tour Down Under | Stage 1,AU,2.UWT,129.1,0,0.0,1886,69,Sprint of large group
2020-10-04,3.0,race/liege-bastogne-liege/2020/result,Liège-Bastogne-Liège,BE,1.UWT,257.0,150,325.0,4353,182,Sprint of small group
2020-09-30,9.0,race/la-fleche-wallone/2020/result,La Flèche Wallonne,BE,1.UWT,202.0,46,80.0,3124,167,Sprint of small group
2020-09-27,33.0,race/world-championship/2020/result,World Championships ME - Road Race,IT,WC,258.2,15,10.0,4662,208,12 km solo
2020-09-20,41.0,race/tour-de-france/2020/stage-21,Tour de France | Stage 21,FR,2.UWT,122.0,0,0.0,816,11,Sprint of large group
2020-09-19,1.0,race/tour-de-france/2020/stage-20,Tour de France | Stage 20 (ITT),FR,2.UWT,36.2,100,120.0,962,135,Time Trial
2020-09-18,31.0,race/tour-de-france/2020/stage-19,Tour de France | Stage 19,FR,2.UWT,166.5,0,0.0,2208,77,16 km solo
2020-09-17,5.0,race/tour-de-france/2020/stage-18,Tour de France | Stage 18,FR,2.UWT,175.0,32,5.0,5166,314,Other
2020-09-16,3.0,race/tour-de-france/2020/stage-17,Tour de France | Stage 17,FR,2.UWT,170.0,50,25.0,4430,444,3.5 km solo
2020-09-15,21.0,race/tour-de-france/2020/stage-16,Tour de France | Stage 16,FR,2.UWT,164.0,0,0.0,3903,250,25 km solo
2020-09-13,1.0,race/tour-de-france/2020/stage-15,Tour de France | Stage 15,FR,2.UWT,174.5,100,120.0,3724,390,Sprint à deux
2020-09-12,12.0,race/tour-de-france/2020/stage-14,Tour de France | Stage 14,FR,2.UWT,194.0,6,0.0,2646,73,3 km solo
2020-09-11,13.0,race/tour-de-france/2020/stage-13,Tour de France | Stage 13,FR,2.UWT,191.5,4,0.0,4459,302,0.1 km solo
2020-09-10,26.0,race/tour-de-france/2020/stage-12,Tour de France | Stage 12,FR,2.UWT,218.0,0,0.0,3389,142,28 km solo
2020-09-09,34.0,race/tour-de-france/2020/stage-11,Tour de France | Stage 11,FR,2.UWT,166.5,0,0.0,1008,13,Sprint of large group
2020-09-08,25.0,race/tour-de-france/2020/stage-10,Tour de France | Stage 10,FR,2.UWT,168.5,0,0.0,531,2,Sprint of large group
2020-09-06,1.0,race/tour-de-france/2020/stage-9,Tour de France | Stage 9,FR,2.UWT,153.0,100,120.0,3500,239,Sprint of small group
2020-09-05,9.0,race/tour-de-france/2020/stage-8,Tour de France | Stage 8,FR,2.UWT,141.0,14,0.0,3821,295,35 km solo
2020-09-04,43.0,race/tour-de-france/2020/stage-7,Tour de France | Stage 7,FR,2.UWT,168.0,0,0.0,2011,47,Sprint of large group
2020-09-03,11.0,race/tour-de-france/2020/stage-6,Tour de France | Stage 6,FR,2.UWT,191.0,8,0.0,3087,227,17 km solo
2020-09-02,25.0,race/tour-de-france/2020/stage-5,Tour de France | Stage 5,FR,2.UWT,183.0,0,0.0,1388,31,Sprint of large group
2020-09-01,2.0,race/tour-de-france/2020/stage-4,Tour de France | Stage 4,FR,2.UWT,160.5,70,50.0,3200,200,Sprint of small group
2020-08-31,22.0,race/tour-de-france/2020/stage-3,Tour de France | Stage 3,FR,2.UWT,198.0,0,0.0,3003,81,Sprint of large group
