date,rank,stage_url,stage_name,nationality,class,distance,pcs_points,uci_points,vertical meters,profile score,won how
2020-09-27,42.0,race/world-championship/2020/result,World Championships ME - Road Race,IT,WC,258.2,15,10.0,4662,208,12 km solo
2021-09-26,6.0,race/world-championship/2021/result,World Championships ME - Road Race,BE,WC,268.3,110,225.0,2250,54,17.4 km solo
2021-09-05,65.0,race/vuelta-a-espana/2021/stage-21,La Vuelta ciclista a España | Stage 21 (ITT),ES,2.UWT,33.8,0,0.0,641,56,Time Trial
2021-09-04,81.0,race/vuelta-a-espana/2021/stage-20,La Vuelta ciclista a España | Stage 20,ES,2.UWT,202.2,0,0.0,4214,251,1.7 km solo
2021-09-03,21.0,race/vuelta-a-espana/2021/stage-19,La Vuelta ciclista a España | Stage 19,ES,2.UWT,191.2,0,0.0,3540,98,Sprint of small group
2021-09-02,97.0,race/vuelta-a-espana/2021/stage-18,La Vuelta ciclista a España | Stage 18,ES,2.UWT,162.6,0,0.0,4951,509,2.7 km solo
2021-09-01,75.0,race/vuelta-a-espana/2021/stage-17,La Vuelta ciclista a España | Stage 17,ES,2.UWT,185.8,0,0.0,4519,366,7.5 km solo
2021-08-31,27.0,race/vuelta-a-espana/2021/stage-16,La Vuelta ciclista a España | Stage 16,ES,2.UWT,180.0,0,0.0,2279,81,Sprint of large group
2021-08-29,53.0,race/vuelta-a-espana/2021/stage-15,La Vuelta ciclista a España | Stage 15,ES,2.UWT,197.5,0,0.0,3860,167,87.3 km solo
2021-08-28,4.0,race/vuelta-a-espana/2021/stage-14,La Vuelta ciclista a España | Stage 14,ES,2.UWT,165.7,25,12.0,3448,288,6 km solo
2021-08-27,101.0,race/vuelta-a-espana/2021/stage-13,La Vuelta ciclista a España | Stage 13,ES,2.UWT,203.7,0,0.0,1645,22,Sprint of small group
2021-08-26,155.0,race/vuelta-a-espana/2021/stage-12,La Vuelta ciclista a España | Stage 12,ES,2.UWT,175.0,0,0.0,2018,107,Sprint of large group
2021-08-25,70.0,race/vuelta-a-espana/2021/stage-11,La Vuelta ciclista a España | Stage 11,ES,2.UWT,133.6,0,0.0,2647,155,Sprint à deux
2021-08-24,160.0,race/vuelta-a-espana/2021/stage-10,La Vuelta ciclista a España | Stage 10,ES,2.UWT,189.0,0,0.0,2390,134,19 km solo
2021-08-22,104.0,race/vuelta-a-espana/2021/stage-9,La Vuelta ciclista a España | Stage 9,ES,2.UWT,188.0,0,0.0,4725,348,71.1 km solo
2021-08-21,137.0,race/vuelta-a-espana/2021/stage-8,La Vuelta ciclista a España | Stage 8,ES,2.UWT,173.7,0,0.0,923,23,Sprint of large group
2021-08-20,103.0,race/vuelta-a-espana/2021/stage-7,La Vuelta ciclista a España | Stage 7,ES,2.UWT,152.0,0,0.0,3744,272,3.2 km solo
2021-08-19,91.0,race/vuelta-a-espana/2021/stage-6,La Vuelta ciclista a España | Stage 6,ES,2.UWT,158.3,0,0.0,902,50,0.77 km solo
2021-08-18,116.0,race/vuelta-a-espana/2021/stage-5,La Vuelta ciclista a España | Stage 5,ES,2.UWT,184.4,0,0.0,640,2,Sprint of large group
2021-08-17,133.0,race/vuelta-a-espana/2021/stage-4,La Vuelta ciclista a España | Stage 4,ES,2.UWT,163.9,0,0.0,1534,23,Sprint of large group
2021-08-16,98.0,race/vuelta-a-espana/2021/stage-3,La Vuelta ciclista a España | Stage 3,ES,2.UWT,202.8,0,0.0,2787,232,2.8 km solo
2021-08-15,179.0,race/vuelta-a-espana/2021/stage-2,La Vuelta ciclista a España | Stage 2,ES,2.UWT,166.7,0,0.0,1049,10,Sprint of large group
2021-08-14,74.0,race/vuelta-a-espana/2021/stage-1,La Vuelta ciclista a España | Stage 1 (ITT),ES,2.UWT,7.1,0,0.0,87,9,Time Trial
2021-04-21,6.0,race/la-fleche-wallone/2021/result,La Flèche Wallonne,BE,1.UWT,193.6,70,140.0,2981,158,Sprint à deux
2021-04-18,2.0,race/amstel-gold-race/2021/result,Amstel Gold Race,NL,1.UWT,218.6,150,400.0,2893,81,Sprint of small group
2021-04-04,41.0,race/ronde-van-vlaanderen/2021/result,Ronde van Vlaanderen - Tour des Flandres ME,BE,1.UWT,254.3,5,10.0,2198,81,Sprint à deux
2021-03-31,43.0,race/dwars-door-vlaanderen/2021/result,Dwars door Vlaanderen - A travers la Flandre ME,BE,1.UWT,184.1,5,5.0,1446,55,58 km solo
2021-03-26,25.0,race/e3-harelbeke/2021/result,E3 Saxo Bank Classic,BE,1.UWT,203.9,10,16.0,2000,59,5 km solo
2021-03-20,15.0,race/milano-sanremo/2021/result,Milano-Sanremo,IT,1.UWT,299.0,30,35.0,2020,59,Sprint à deux
2021-03-06,5.0,race/strade-bianche/2021/result,Strade Bianche,IT,1.UWT,184.0,80,120.0,3072,159,0.5 km solo
2021-02-27,55.0,race/omloop-het-nieuwsblad/2021/result,Omloop Het Nieuwsblad ME,BE,1.UWT,200.5,5,2.0,1654,47,Sprint of large group
2022-07-24,93.0,race/tour-de-france/2022/stage-21,Tour de France | Stage 21,FR,2.UWT,115.6,0,0.0,748,13,Sprint of large group
2022-07-23,84.0,race/tour-de-france/2022/stage-20,Tour de France | Stage 20 (ITT),FR,2.UWT,40.7,0,0.0,434,39,Time Trial
2022-07-22,63.0,race/tour-de-france/2022/stage-19,Tour de France | Stage 19,FR,2.UWT,188.3,0,0.0,1316,35,0.4 km solo
2022-07-21,38.0,race/tour-de-france/2022/stage-18,Tour de France | Stage 18,FR,2.UWT,143.2,0,0.0,4036,408,3.6 km solo
2022-07-20,52.0,race/tour-de-france/2022/stage-17,Tour de France | Stage 17,FR,2.UWT,129.7,0,0.0,3364,324,Sprint à deux
2022-07-19,23.0,race/tour-de-france/2022/stage-16,Tour de France | Stage 16,FR,2.UWT,178.5,0,0.0,3418,204,39 km solo
2022-07-17,22.0,race/tour-de-france/2022/stage-15,Tour de France | Stage 15,FR,2.UWT,202.5,0,0.0,2416,64,Sprint of large group
2022-07-16,32.0,race/tour-de-france/2022/stage-14,Tour de France | Stage 14,FR,2.UWT,192.5,0,0.0,3441,170,1.9 km solo
2022-07-15,34.0,race/tour-de-france/2022/stage-13,Tour de France | Stage 13,FR,2.UWT,192.6,0,0.0,2109,78,Sprint of small group
2022-07-14,1.0,race/tour-de-france/2022/stage-12,Tour de France | Stage 12,FR,2.UWT,165.1,100,120.0,4660,389,11 km solo
2022-07-13,17.0,race/tour-de-france/2022/stage-11,Tour de France | Stage 11,FR,2.UWT,151.7,0,0.0,4070,400,3.9 km solo
2022-07-12,28.0,race/tour-de-france/2022/stage-10,Tour de France | Stage 10,FR,2.UWT,148.1,0,0.0,2733,143,Sprint of small group
2022-07-10,14.0,race/tour-de-france/2022/stage-9,Tour de France | Stage 9,FR,2.UWT,192.9,2,0.0,3743,223,60.5 km solo
2022-07-09,10.0,race/tour-de-france/2022/stage-8,Tour de France | Stage 8,FR,2.UWT,186.3,10,0.0,2556,87,Sprint of small group
2022-07-08,14.0,race/tour-de-france/2022/stage-7,Tour de France | Stage 7,FR,2.UWT,176.3,2,0.0,2526,192,Sprint à deux
2022-07-07,4.0,race/tour-de-france/2022/stage-6,Tour de France | Stage 6,FR,2.UWT,219.9,40,15.0,2477,85,Sprint of small group
2022-07-06,35.0,race/tour-de-france/2022/stage-5,Tour de France | Stage 5,FR,2.UWT,157.0,0,0.0,601,1,Sprint of small group
2022-07-05,22.0,race/tour-de-france/2022/stage-4,Tour de France | Stage 4,FR,2.UWT,171.5,0,0.0,1785,63,11.6 km solo
2022-07-03,69.0,race/tour-de-france/2022/stage-3,Tour de France | Stage 3,FR,2.UWT,182.0,0,0.0,1280,16,Sprint of large group
2022-07-02,155.0,race/tour-de-france/2022/stage-2,Tour de France | Stage 2,FR,2.UWT,202.2,0,0.0,1149,11,Sprint of large group
2022-07-01,15.0,race/tour-de-france/2022/stage-1,Tour de France | Stage 1 (ITT),FR,2.UWT,13.2,1,0.0,21,0,Time Trial
2022-06-17,,race/tour-de-suisse/2022/stage-6,Tour de Suisse | Stage 6,CH,2.UWT,177.5,0,0.0,4155,304,Sprint of small group
2022-06-16,16.0,race/tour-de-suisse/2022/stage-5,Tour de Suisse | Stage 5,CH,2.UWT,190.1,0,0.0,2610,195,Sprint of small group
2022-06-15,5.0,race/tour-de-suisse/2022/stage-4,Tour de Suisse | Stage 4,CH,2.UWT,190.8,10,0.0,2062,82,Sprint of large group
2022-06-14,4.0,race/tour-de-suisse/2022/stage-3,Tour de Suisse | Stage 3,CH,2.UWT,176.9,13,0.0,3125,119,Sprint of large group
2022-06-13,50.0,race/tour-de-suisse/2022/stage-2,Tour de Suisse | Stage 2,CH,2.UWT,198.0,0,0.0,2746,123,18.2 km solo
2022-06-12,42.0,race/tour-de-suisse/2022/stage-1,Tour de Suisse | Stage 1,CH,2.UWT,177.6,0,0.0,2746,135,Sprint of small group
2022-04-24,103.0,race/liege-bastogne-liege/2022/result,Liège-Bastogne-Liège,BE,1.UWT,257.2,5,0.0,4342,182,14.4 km solo
2022-04-20,,race/la-fleche-wallone/2022/result,La Flèche Wallonne,BE,1.UWT,202.1,0,0.0,3160,173,Sprint à deux
2022-04-10,11.0,race/amstel-gold-race/2022/result,Amstel Gold Race,NL,1.UWT,254.1,38,70.0,3460,112,Sprint à deux
2022-04-03,14.0,race/ronde-van-vlaanderen/2022/result,Ronde van Vlaanderen - Tour des Flandres ME,BE,1.UWT,272.5,34,40.0,2289,79,Sprint of small group
2022-03-30,3.0,race/dwars-door-vlaanderen/2022/result,Dwars door Vlaanderen - A travers la Flandre ME,BE,1.UWT,183.7,110,215.0,1649,50,Sprint à deux
2022-03-27,67.0,race/gent-wevelgem/2022/result,Gent-Wevelgem in Flanders Fields ME,BE,1.UWT,248.8,5,0.0,1377,35,Sprint of small group
2022-03-19,,race/milano-sanremo/2022/result,Milano-Sanremo,IT,1.UWT,293.0,0,0.0,2096,63,4.3 km solo
2022-02-26,18.0,race/omloop-het-nieuwsblad/2022/result,Omloop Het Nieuwsblad ME,BE,1.UWT,204.2,17,20.0,1666,49,13 km solo
2023-07-23,121.0,race/tour-de-france/2023/stage-21,Tour de France | Stage 21,FR,2.UWT,115.1,0,0.0,577,14,Sprint of large group
2023-07-22,18.0,race/tour-de-france/2023/stage-20,Tour de France | Stage 20,FR,2.UWT,133.5,0,0.0,3471,303,Sprint of 5 riders
2023-07-21,10.0,race/tour-de-france/2023/stage-19,Tour de France | Stage 19,FR,2.UWT,172.8,10,30.0,1934,50,Sprint of 3 riders
2023-07-20,123.0,race/tour-de-france/2023/stage-18,Tour de France | Stage 18,FR,2.UWT,184.9,0,0.0,1216,18,Sprint of small group
2023-07-19,72.0,race/tour-de-france/2023/stage-17,Tour de France | Stage 17,FR,2.UWT,165.7,0,0.0,5399,445,13.1 km solo
2023-07-18,48.0,race/tour-de-france/2023/stage-16,Tour de France | Stage 16 (ITT),FR,2.UWT,22.4,0,0.0,636,109,? - let us know!
2023-07-16,28.0,race/tour-de-france/2023/stage-15,Tour de France | Stage 15,FR,2.UWT,179.0,0,0.0,4483,335,10.8 km solo
2023-07-15,12.0,race/tour-de-france/2023/stage-14,Tour de France | Stage 14,FR,2.UWT,151.8,6,20.0,4281,308,8 km solo
2023-07-14,5.0,race/tour-de-france/2023/stage-13,Tour de France | Stage 13,FR,2.UWT,137.8,32,70.0,2413,260,11.7 km solo
2023-07-13,29.0,race/tour-de-france/2023/stage-12,Tour de France | Stage 12,FR,2.UWT,168.8,0,0.0,3120,147,30.8 km solo
2023-07-12,28.0,race/tour-de-france/2023/stage-11,Tour de France | Stage 11,FR,2.UWT,179.3,0,0.0,1873,34,Sprint of large group
2023-07-11,33.0,race/tour-de-france/2023/stage-10,Tour de France | Stage 10,FR,2.UWT,167.2,0,0.0,3151,118,Sprint of small group
2023-07-09,16.0,race/tour-de-france/2023/stage-9,Tour de France | Stage 9,FR,2.UWT,182.4,0,0.0,3441,273,0.44 km solo
2023-07-08,19.0,race/tour-de-france/2023/stage-8,Tour de France | Stage 8,FR,2.UWT,200.7,0,0.0,1996,61,Sprint of large group
2023-07-07,16.0,race/tour-de-france/2023/stage-7,Tour de France | Stage 7,FR,2.UWT,169.9,0,0.0,808,7,Sprint of large group
2023-07-06,12.0,race/tour-de-france/2023/stage-6,Tour de France | Stage 6,FR,2.UWT,144.9,6,20.0,3894,310,2.7 km solo
2023-07-05,17.0,race/tour-de-france/2023/stage-5,Tour de France | Stage 5,FR,2.UWT,162.7,0,0.0,3652,239,20.2 km solo
2023-07-04,66.0,race/tour-de-france/2023/stage-4,Tour de France | Stage 4,FR,2.UWT,181.8,0,0.0,1427,20,Sprint of large group
2023-07-03,42.0,race/tour-de-france/2023/stage-3,Tour de France | Stage 3,FR,2.UWT,193.5,0,0.0,2667,68,Sprint of large group
2023-07-02,4.0,race/tour-de-france/2023/stage-2,Tour de France | Stage 2,FR,2.UWT,208.9,40,90.0,2949,141,0.95 km solo
2023-07-01,29.0,race/tour-de-france/2023/stage-1,Tour de France | Stage 1,FR,2.UWT,182.0,0,0.0,3221,166,0.35 km solo
2023-06-18,18.0,race/tour-de-suisse/2023/stage-8,Tour de Suisse | Stage 8 (ITT),CH,2.UWT,25.7,0,0.0,363,37,? - let us know!
2023-06-17,12.0,race/tour-de-suisse/2023/stage-7,Tour de Suisse | Stage 7,CH,2.UWT,183.5,0,0.0,2453,88,17.1 km solo
2023-06-16,,race/tour-de-suisse/2023/stage-6,Tour de Suisse | Stage 6,CH,2.UWT,140.9,0,0.0,1938,148,? - let us know!
2023-06-15,18.0,race/tour-de-suisse/2023/stage-5,Tour de Suisse | Stage 5,CH,2.UWT,211.0,0,0.0,4654,289,11.8 km solo
2023-06-14,77.0,race/tour-de-suisse/2023/stage-4,Tour de Suisse | Stage 4,CH,2.UWT,152.5,0,0.0,2795,283,18 km solo
2023-06-13,14.0,race/tour-de-suisse/2023/stage-3,Tour de Suisse | Stage 3,CH,2.UWT,143.8,0,0.0,2617,237,0.5 km solo
2023-06-12,40.0,race/tour-de-suisse/2023/stage-2,Tour de Suisse | Stage 2,CH,2.UWT,173.7,0,0.0,1893,48,Sprint of large group
