date,rank,stage_url,stage_name,nationality,class,distance,pcs_points,uci_points,vertical meters,profile score,won how
2018-09-09,12.0,race/gp-montreal/2018/result,Grand Prix Cycliste de Montréal,CA,1.UWT,195.2,34,60.0,3564,169,Sprint of large group
2018-09-07,49.0,race/gp-quebec/2018/result,Grand Prix Cycliste de Québec,CA,1.UWT,201.6,5,10.0,2508,64,Sprint of large group
2018-08-26,8.0,race/bretagne-classic/2018/result,Bretagne Classic - Ouest-France,FR,1.UWT,256.9,50,100.0,2802,75,Sprint of 47 riders
2018-08-19,22.0,race/renewi-tour/2018/stage-7,BinckBank Tour | Stage 7,BE,2.UWT,215.6,0,0.0,1702,61,Sprint of small group
2018-08-18,28.0,race/renewi-tour/2018/stage-6,BinckBank Tour | Stage 6,BE,2.UWT,182.2,0,0.0,1473,28,1.2 km solo
2018-08-17,80.0,race/renewi-tour/2018/stage-5,BinckBank Tour | Stage 5,BE,2.UWT,204.4,0,0.0,1015,5,Sprint of 126 riders
2018-08-16,54.0,race/renewi-tour/2018/stage-4,BinckBank Tour | Stage 4,BE,2.UWT,165.5,0,0.0,233,0,1.1 km solo
2018-08-15,42.0,race/renewi-tour/2018/stage-3,BinckBank Tour | Stage 3,BE,2.UWT,174.9,0,0.0,227,0,0.9 km solo
2018-08-14,73.0,race/renewi-tour/2018/stage-2,BinckBank Tour | Stage 2 (ITT),BE,2.UWT,12.7,0,0.0,39,0,Time Trial
2018-08-13,59.0,race/renewi-tour/2018/stage-1,BinckBank Tour | Stage 1,BE,2.UWT,177.3,0,0.0,161,0,Sprint of large group
2018-04-22,129.0,race/liege-bastogne-liege/2018/result,Liège - Bastogne - Liège,BE,1.UWT,258.5,5,0.0,4109,178,18 km solo
2018-04-18,,race/la-fleche-wallone/2018/result,La Flèche Wallonne,BE,1.UWT,198.5,0,0.0,3257,187,0.3 km solo
2018-04-15,64.0,race/amstel-gold-race/2018/result,Amstel Gold Race,NL,1.UWT,263.0,5,0.0,3496,103,Sprint à deux
2018-04-07,22.0,race/itzulia-basque-country/2018/stage-6,Itzulia Basque Country | Stage 6,ES,2.UWT,122.2,0,0.0,2853,261,5 km solo
2018-04-06,49.0,race/itzulia-basque-country/2018/stage-5,Itzulia Basque Country | Stage 5,ES,2.UWT,164.7,0,0.0,2269,176,Sprint of 10 riders
2018-04-05,70.0,race/itzulia-basque-country/2018/stage-4,Itzulia Basque Country | Stage 4 (ITT),ES,2.UWT,19.4,0,0.0,63,3,Time Trial
2018-04-04,51.0,race/itzulia-basque-country/2018/stage-3,Itzulia Basque Country | Stage 3,ES,2.UWT,184.8,0,0.0,2988,106,Sprint of large group
2018-04-03,42.0,race/itzulia-basque-country/2018/stage-2,Itzulia Basque Country | Stage 2,ES,2.UWT,166.7,0,0.0,3232,222,Sprint of 16 riders
2018-04-02,83.0,race/itzulia-basque-country/2018/stage-1,Itzulia Basque Country | Stage 1,ES,2.UWT,162.1,0,0.0,2820,162,Sprint à deux
2018-03-03,20.0,race/strade-bianche/2018/result,Strade Bianche,IT,1.UWT,184.0,15,20.0,2990,155,12.3 km solo
2019-10-12,97.0,race/il-lombardia/2019/result,Il Lombardia,IT,1.UWT,243.0,5,0.0,4087,266,18.3 km solo
2019-09-15,48.0,race/gp-montreal/2019/result,Grand Prix Cycliste de Montréal,CA,1.UWT,219.6,5,10.0,4793,229,Sprint of 14 riders
2019-09-13,24.0,race/gp-quebec/2019/result,Grand Prix Cycliste de Québec,CA,1.UWT,201.6,11,20.0,2508,64,Sprint of large group
2019-09-01,24.0,race/bretagne-classic/2019/result,Bretagne Classic - Ouest-France,FR,1.UWT,248.1,11,16.0,3765,116,0.8 km solo
2019-08-25,32.0,race/cyclassics-hamburg/2019/result,EuroEyes Cyclassics Hamburg,DE,1.UWT,216.7,5,8.0,2502,95,Sprint of large group
2019-08-18,26.0,race/renewi-tour/2019/stage-7,BinckBank Tour | Stage 7,BE,2.UWT,173.1,0,0.0,1760,59,Sprint of small group
2019-08-17,92.0,race/renewi-tour/2019/stage-6,BinckBank Tour | Stage 6 (ITT),BE,2.UWT,8.4,0,0.0,16,0,Time Trial
2019-08-16,103.0,race/renewi-tour/2019/stage-5,BinckBank Tour | Stage 5,BE,2.UWT,191.4,0,0.0,193,1,Sprint of large group
