date,rank,stage_url,stage_name,nationality,class,distance,pcs_points,uci_points,vertical meters,profile score,won how
2011-08-28,141.0,race/bretagne-classic/2011/result,GP Ouest France - Plouay,FR,WT,248.3,5,0.0,Filler,Filler,Filler
2011-04-10,91.0,race/paris-roubaix/2011/result,Paris - Roubaix,FR,WT,258.0,5,0.0,Filler,Filler,Filler
2011-03-27,15.0,race/gent-wevelgem/2011/result,Gent - Wevelgem,BE,WT,204.5,22,0.0,Filler,Filler,Filler
2012-04-08,28.0,race/paris-roubaix/2012/result,Paris - Roubaix,FR,WT,257.5,12,0.0,1428,6,53.2 km solo
2012-03-25,34.0,race/gent-wevelgem/2012/result,Gent - Wevelgem,BE,WT,234.6,5,0.0,1550,51,Sprint of small group
2012-03-23,,race/e3-harelbeke/2012/result,E3 Prijs Vlaanderen,BE,WT,203.0,0,0.0,1876,58,Sprint of large group
2013-09-15,7.0,race/vuelta-a-espana/2013/stage-21,Vuelta a España | Stage 21,ES,WT,109.6,12,0.0,741,7,Sprint of large group
2013-09-14,132.0,race/vuelta-a-espana/2013/stage-20,Vuelta a España | Stage 20,ES,WT,142.2,0,0.0,3728,439,6 km solo
2013-09-13,114.0,race/vuelta-a-espana/2013/stage-19,Vuelta a España | Stage 19,ES,WT,181.0,0,0.0,3052,190,1 km solo
2013-09-12,136.0,race/vuelta-a-espana/2013/stage-18,Vuelta a España | Stage 18,ES,WT,186.5,0,0.0,3879,326,43 km solo
2013-09-11,109.0,race/vuelta-a-espana/2013/stage-17,Vuelta a España | Stage 17,ES,WT,189.0,0,0.0,2080,50,0.8 km solo
2013-09-09,117.0,race/vuelta-a-espana/2013/stage-16,Vuelta a España | Stage 16,ES,WT,146.8,0,0.0,3220,211,Sprint à deux
2013-09-08,132.0,race/vuelta-a-espana/2013/stage-15,Vuelta a España | Stage 15,ES,WT,224.9,0,0.0,5278,407,24 km solo
2013-09-07,91.0,race/vuelta-a-espana/2013/stage-14,Vuelta a España | Stage 14,ES,WT,155.7,0,0.0,3340,273,47 km solo
2013-09-06,113.0,race/vuelta-a-espana/2013/stage-13,Vuelta a España | Stage 13,ES,WT,169.0,0,0.0,2392,106,1.5 km solo
2013-09-05,11.0,race/vuelta-a-espana/2013/stage-12,Vuelta a España | Stage 12,ES,WT,164.2,5,0.0,1765,31,Sprint of large group
2013-09-04,161.0,race/vuelta-a-espana/2013/stage-11,Vuelta a España | Stage 11 (ITT),ES,WT,38.8,0,0.0,687,47,Time Trial
2013-09-02,174.0,race/vuelta-a-espana/2013/stage-10,Vuelta a España | Stage 10,ES,WT,178.0,0,0.0,3755,357,4.6 km solo
2013-09-01,183.0,race/vuelta-a-espana/2013/stage-9,Vuelta a España | Stage 9,ES,WT,163.7,0,0.0,2677,123,0.8 km solo
2013-08-31,165.0,race/vuelta-a-espana/2013/stage-8,Vuelta a España | Stage 8,ES,WT,166.6,0,0.0,2680,213,0.6 km solo
2013-08-30,4.0,race/vuelta-a-espana/2013/stage-7,Vuelta a España | Stage 7,ES,WT,205.9,25,2.0,1779,28,Sprint à deux
2013-08-29,11.0,race/vuelta-a-espana/2013/stage-6,Vuelta a España | Stage 6,ES,WT,175.0,5,0.0,1620,37,Sprint of large group
2013-08-28,188.0,race/vuelta-a-espana/2013/stage-5,Vuelta a España | Stage 5,ES,WT,174.3,0,0.0,3200,113,Sprint of large group
2013-08-27,129.0,race/vuelta-a-espana/2013/stage-4,Vuelta a España | Stage 4,ES,WT,189.0,0,0.0,2799,107,Sprint of 22 riders
2013-08-26,136.0,race/vuelta-a-espana/2013/stage-3,Vuelta a España | Stage 3,ES,WT,184.8,0,0.0,1878,70,1 km solo
2013-08-25,161.0,race/vuelta-a-espana/2013/stage-2,Vuelta a España | Stage 2,ES,WT,177.7,0,0.0,2317,132,Sprint of 17 riders
2013-08-24,22.0,race/vuelta-a-espana/2013/stage-1,Vuelta a España | Stage 1 (TTT),ES,WT,27.4,0,0.0,291,11,Time Trial
2013-04-07,29.0,race/paris-roubaix/2013/result,Paris - Roubaix,FR,WT,254.5,11,0.0,997,2,Sprint à deux
2013-03-24,,race/gent-wevelgem/2013/result,Gent - Wevelgem,BE,WT,190.0,0,0.0,1139,35,4 km solo
2013-03-22,92.0,race/e3-harelbeke/2013/result,E3 Prijs Vlaanderen - Harelbeke,BE,WT,211.0,5,0.0,1899,63,35 km solo
