date,rank,stage_url,stage_name,nationality,class,distance,pcs_points,uci_points,vertical meters,profile score,won how
2011-10-15,,race/il-lombardia/2011/result,Il Lombardia,IT,WT,241.0,0,0.0,4524,195,9.8 km solo
2011-03-19,,race/milano-sanremo/2011/result,Milano-Sanremo,IT,WT,298.0,0,0.0,2380,70,Sprint of small group
2012-09-29,,race/il-lombardia/2012/result,Il Lombardia,IT,WT,251.0,0,0.0,4576,204,13.5 km solo
2012-07-16,105.0,race/tour-de-pologne/2012/stage-7,Tour de Pologne | Stage 7,PL,WT,131.4,0,0.0,Filler,Filler,Filler
2012-07-15,92.0,race/tour-de-pologne/2012/stage-6,Tour de Pologne | Stage 6,PL,WT,191.8,0,0.0,Filler,Filler,Filler
2012-07-14,88.0,race/tour-de-pologne/2012/stage-5,Tour de Pologne | Stage 5,PL,WT,163.1,0,0.0,Filler,Filler,Filler
2012-07-13,92.0,race/tour-de-pologne/2012/stage-4,Tour de Pologne | Stage 4,PL,WT,124.7,0,0.0,Filler,Filler,Filler
2012-07-12,127.0,race/tour-de-pologne/2012/stage-3,Tour de Pologne | Stage 3,PL,WT,201.7,0,0.0,Filler,Filler,Filler
2012-07-11,64.0,race/tour-de-pologne/2012/stage-2,Tour de Pologne | Stage 2,PL,WT,239.4,0,0.0,Filler,Filler,Filler
2012-07-10,97.0,race/tour-de-pologne/2012/stage-1,Tour de Pologne | Stage 1,PL,WT,179.5,0,0.0,Filler,Filler,Filler
2013-03-17,111.0,race/milano-sanremo/2013/result,Milano-Sanremo,IT,WT,245.0,5,0.0,310,2,Sprint of 31 riders
2016-06-19,45.0,race/tour-de-suisse/2016/stage-9,Tour de Suisse | Stage 9,CH,2.UWT,57.0,0,0.0,2625,210,Sprint of 11 riders
2016-06-18,99.0,race/tour-de-suisse/2016/stage-8,Tour de Suisse | Stage 8 (ITT),CH,2.UWT,16.8,0,0.0,260,24,Time Trial
2016-06-17,80.0,race/tour-de-suisse/2016/stage-7,Tour de Suisse | Stage 7,CH,2.UWT,224.3,0,0.0,5041,412,4.7 km solo
2016-06-16,95.0,race/tour-de-suisse/2016/stage-6,Tour de Suisse | Stage 6,CH,2.UWT,162.8,0,0.0,3763,309,7.6 km solo
2016-06-15,140.0,race/tour-de-suisse/2016/stage-5,Tour de Suisse | Stage 5,CH,2.UWT,126.4,0,0.0,3550,307,6.6 km solo
2016-06-14,8.0,race/tour-de-suisse/2016/stage-4,Tour de Suisse | Stage 4,CH,2.UWT,193.0,3,0.0,2305,61,Sprint of large group
2016-06-13,52.0,race/tour-de-suisse/2016/stage-3,Tour de Suisse | Stage 3,CH,2.UWT,192.6,0,0.0,2129,112,Sprint of large group
2016-06-12,18.0,race/tour-de-suisse/2016/stage-2,Tour de Suisse | Stage 2,CH,2.UWT,187.6,0,0.0,2779,82,Sprint of large group
2016-06-11,145.0,race/tour-de-suisse/2016/stage-1,Tour de Suisse | Stage 1 (ITT),CH,2.UWT,6.4,0,0.0,46,1,Time Trial
2016-05-01,11.0,race/tour-de-romandie/2016/stage-5,Tour de Romandie | Stage 5,CH,2.UWT,177.4,0,0.0,2154,47,Sprint of large group
2016-04-30,80.0,race/tour-de-romandie/2016/stage-4,Tour de Romandie | Stage 4,CH,2.UWT,172.7,0,0.0,3346,295,7 km solo
2016-04-29,109.0,race/tour-de-romandie/2016/stage-3,Tour de Romandie | Stage 3 (ITT),CH,2.UWT,15.11,0,0.0,278,37,Time Trial
2016-04-28,82.0,race/tour-de-romandie/2016/stage-2,Tour de Romandie | Stage 2,CH,2.UWT,173.9,0,0.0,3196,208,Sprint à deux
2016-04-27,13.0,race/tour-de-romandie/2016/stage-1,Tour de Romandie | Stage 1,CH,2.UWT,100.5,0,0.0,2212,79,Sprint of large group
2016-04-26,78.0,race/tour-de-romandie/2016/prologue,Tour de Romandie | Prologue,CH,2.UWT,3.95,0,0.0,69,10,Time Trial
2017-08-27,,race/bretagne-classic/2017/result,Bretagne Classic - Ouest-France,FR,1.UWT,239.7,0,0.0,3176,98,Sprint of large group
2017-07-23,133.0,race/tour-de-france/2017/stage-21,Tour de France | Stage 21,FR,2.UWT,105.0,0,0.0,519,4,Sprint of large group
2017-07-22,131.0,race/tour-de-france/2017/stage-20,Tour de France | Stage 20 (ITT),FR,2.UWT,22.5,0,0.0,160,22,Time Trial
2017-07-21,124.0,race/tour-de-france/2017/stage-19,Tour de France | Stage 19,FR,2.UWT,222.5,0,0.0,2613,59,2.6 km solo
2017-07-20,133.0,race/tour-de-france/2017/stage-18,Tour de France | Stage 18,FR,2.UWT,179.5,0,0.0,4059,338,1 km solo
