date,rank,stage_url,stage_name,nationality,class,distance,pcs_points,uci_points,vertical meters,profile score,won how
2022-09-25,100.0,race/world-championship/2022/result,World Championships ME - Road Race,AU,WC,266.9,15,0.0,4167,160,25.8 km solo
2022-09-11,9.0,race/vuelta-a-espana/2022/stage-21,La Vuelta ciclista a España | Stage 21,ES,2.UWT,96.7,8,0.0,773,10,Sprint of large group
2022-09-10,78.0,race/vuelta-a-espana/2022/stage-20,La Vuelta ciclista a España | Stage 20,ES,2.UWT,181.0,0,0.0,3977,216,7.2 km solo
2022-09-09,4.0,race/vuelta-a-espana/2022/stage-19,La Vuelta ciclista a España | Stage 19,ES,2.UWT,138.3,25,12.0,2278,101,Sprint of large group
2022-09-08,49.0,race/vuelta-a-espana/2022/stage-18,La Vuelta ciclista a España | Stage 18,ES,2.UWT,192.0,0,0.0,3680,214,Sprint of small group
2022-09-07,77.0,race/vuelta-a-espana/2022/stage-17,La Vuelta ciclista a España | Stage 17,ES,2.UWT,162.3,0,0.0,2755,161,Sprint of small group
2022-09-06,109.0,race/vuelta-a-espana/2022/stage-16,La Vuelta ciclista a España | Stage 16,ES,2.UWT,189.4,0,0.0,1076,28,Sprint of small group
2022-09-04,64.0,race/vuelta-a-espana/2022/stage-15,La Vuelta ciclista a España | Stage 15,ES,2.UWT,152.6,0,0.0,4033,407,6.5 km solo
2022-09-03,63.0,race/vuelta-a-espana/2022/stage-14,La Vuelta ciclista a España | Stage 14,ES,2.UWT,160.3,0,0.0,3312,278,3.3 km solo
2022-09-02,14.0,race/vuelta-a-espana/2022/stage-13,La Vuelta ciclista a España | Stage 13,ES,2.UWT,168.4,2,0.0,1766,54,Sprint of large group
2022-09-01,91.0,race/vuelta-a-espana/2022/stage-12,La Vuelta ciclista a España | Stage 12,ES,2.UWT,192.7,0,0.0,3238,273,1.9 km solo
2022-08-31,150.0,race/vuelta-a-espana/2022/stage-11,La Vuelta ciclista a España | Stage 11,ES,2.UWT,191.2,0,0.0,1592,38,Sprint of large group
2022-08-30,126.0,race/vuelta-a-espana/2022/stage-10,La Vuelta ciclista a España | Stage 10 (ITT),ES,2.UWT,30.9,0,0.0,179,4,Time Trial
2022-08-28,97.0,race/vuelta-a-espana/2022/stage-9,La Vuelta ciclista a España | Stage 9,ES,2.UWT,171.4,0,0.0,3675,242,2.5 km solo
2022-08-27,95.0,race/vuelta-a-espana/2022/stage-8,La Vuelta ciclista a España | Stage 8,ES,2.UWT,153.4,0,0.0,3741,335,5.9 km solo
2022-08-26,72.0,race/vuelta-a-espana/2022/stage-7,La Vuelta ciclista a España | Stage 7,ES,2.UWT,190.0,0,0.0,3359,112,Sprint of small group
2022-08-25,163.0,race/vuelta-a-espana/2022/stage-6,La Vuelta ciclista a España | Stage 6,ES,2.UWT,181.2,0,0.0,4120,294,6.5 km solo
2022-08-24,130.0,race/vuelta-a-espana/2022/stage-5,La Vuelta ciclista a España | Stage 5,ES,2.UWT,187.2,0,0.0,2978,162,15.4 km solo
2022-08-23,126.0,race/vuelta-a-espana/2022/stage-4,La Vuelta ciclista a España | Stage 4,ES,2.UWT,152.5,0,0.0,2319,133,Sprint of large group
2022-08-21,84.0,race/vuelta-a-espana/2022/stage-3,La Vuelta ciclista a España | Stage 3,ES,2.UWT,193.2,0,0.0,255,0,Sprint of large group
2022-08-20,31.0,race/vuelta-a-espana/2022/stage-2,La Vuelta ciclista a España | Stage 2,ES,2.UWT,175.1,0,0.0,518,10,Sprint of large group
2022-08-19,2.0,race/vuelta-a-espana/2022/stage-1,La Vuelta ciclista a España | Stage 1 (TTT),ES,2.UWT,23.3,32,5.0,31,0,Time Trial
2022-04-17,11.0,race/paris-roubaix/2022/result,Paris-Roubaix,FR,1.UWT,257.2,46,70.0,1362,5,19.5 km solo
2022-04-10,89.0,race/amstel-gold-race/2022/result,Amstel Gold Race,NL,1.UWT,254.1,5,0.0,3460,112,Sprint à deux
2022-04-03,35.0,race/ronde-van-vlaanderen/2022/result,Ronde van Vlaanderen - Tour des Flandres ME,BE,1.UWT,272.5,5,10.0,2289,79,Sprint of small group
2022-03-30,8.0,race/dwars-door-vlaanderen/2022/result,Dwars door Vlaanderen - A travers la Flandre ME,BE,1.UWT,183.7,50,75.0,1649,50,Sprint à deux
2022-03-27,28.0,race/gent-wevelgem/2022/result,Gent-Wevelgem in Flanders Fields ME,BE,1.UWT,248.8,7,20.0,1377,35,Sprint of small group
2022-03-25,27.0,race/e3-harelbeke/2022/result,E3 Saxo Bank Classic,BE,1.UWT,203.9,8,16.0,2010,59,Other
2022-03-05,81.0,race/strade-bianche/2022/result,Strade Bianche,IT,1.UWT,184.0,5,0.0,3107,167,49.2 km solo
