date,rank,stage_url,stage_name,nationality,class,distance,pcs_points,uci_points,vertical meters,profile score,won how
2013-09-22,25.0,race/world-championship-ttt/2013/result,World Championships - TTT,IT,WC,57.2,0,0.0,Filler,Filler,Filler
2014-08-31,49.0,race/bretagne-classic/2014/result,GP Ouest France - Plouay,FR,1.UWT,229.1,5,0.0,Filler,Filler,Filler
2014-04-13,49.0,race/paris-roubaix/2014/result,Paris - Roubaix,FR,1.UWT,257.0,5,0.0,1318,6,6.3 km solo
2014-04-06,,race/ronde-van-vlaanderen/2014/result,Ronde van Vlaanderen / Tour des Flandres ME,BE,1.UWT,259.1,0,0.0,2095,75,Sprint of small group
2014-03-30,142.0,race/gent-wevelgem/2014/result,Gent-Wevelgem In Flanders Fields ME,BE,1.UWT,233.0,5,0.0,1502,36,Sprint of large group
2014-03-28,14.0,race/e3-harelbeke/2014/result,E3 Harelbeke,BE,1.UWT,211.0,26,0.0,1886,55,Sprint of 48 riders
2015-08-30,43.0,race/bretagne-classic/2015/result,GP Ouest France - Plouay,FR,1.UWT,229.1,5,0.0,Filler,Filler,Filler
2015-07-26,78.0,race/tour-de-france/2015/stage-21,Tour de France | Stage 21,FR,2.UWT,109.5,0,0.0,562,5,Sprint of large group
2015-07-25,138.0,race/tour-de-france/2015/stage-20,Tour de France | Stage 20,FR,2.UWT,110.5,0,0.0,3164,332,6.4 km solo
2015-07-24,124.0,race/tour-de-france/2015/stage-19,Tour de France | Stage 19,FR,2.UWT,138.0,0,0.0,4545,376,16.2 km solo
2015-07-23,97.0,race/tour-de-france/2015/stage-18,Tour de France | Stage 18,FR,2.UWT,186.5,0,0.0,4424,260,35 km solo
2015-07-22,124.0,race/tour-de-france/2015/stage-17,Tour de France | Stage 17,FR,2.UWT,161.0,0,0.0,4208,253,48.7 km solo
2015-07-20,88.0,race/tour-de-france/2015/stage-16,Tour de France | Stage 16,FR,2.UWT,201.0,0,0.0,2322,89,18.5 km solo
2015-07-19,158.0,race/tour-de-france/2015/stage-15,Tour de France | Stage 15,FR,2.UWT,183.0,0,0.0,1993,53,Sprint of large group
2015-07-18,102.0,race/tour-de-france/2015/stage-14,Tour de France | Stage 14,FR,2.UWT,178.5,0,0.0,2772,186,0.5 km solo
2015-07-17,124.0,race/tour-de-france/2015/stage-13,Tour de France | Stage 13,FR,2.UWT,198.5,0,0.0,2299,81,Sprint of small group
2015-07-16,98.0,race/tour-de-france/2015/stage-12,Tour de France | Stage 12,FR,2.UWT,195.0,0,0.0,4948,393,7.7 km solo
2015-07-15,145.0,race/tour-de-france/2015/stage-11,Tour de France | Stage 11,FR,2.UWT,188.0,0,0.0,4099,275,48.4 km solo
2015-07-14,129.0,race/tour-de-france/2015/stage-10,Tour de France | Stage 10,FR,2.UWT,167.0,0,0.0,2655,271,6.5 km solo
2015-07-12,21.0,race/tour-de-france/2015/stage-9,Tour de France | Stage 9 (TTT),FR,2.UWT,28.0,0,0.0,401,25,Time Trial
2015-07-11,124.0,race/tour-de-france/2015/stage-8,Tour de France | Stage 8,FR,2.UWT,181.5,0,0.0,2057,72,0.7 km solo
2015-07-10,85.0,race/tour-de-france/2015/stage-7,Tour de France | Stage 7,FR,2.UWT,190.5,0,0.0,1694,25,Sprint of large group
2015-07-09,82.0,race/tour-de-france/2015/stage-6,Tour de France | Stage 6,FR,2.UWT,191.5,0,0.0,1694,38,0.8 km solo
2015-07-08,85.0,race/tour-de-france/2015/stage-5,Tour de France | Stage 5,FR,2.UWT,189.5,0,0.0,1606,24,Sprint of large group
2015-07-07,34.0,race/tour-de-france/2015/stage-4,Tour de France | Stage 4,FR,2.UWT,223.5,0,0.0,1552,15,3.4 km solo
2015-07-06,157.0,race/tour-de-france/2015/stage-3,Tour de France | Stage 3,FR,2.UWT,159.5,0,0.0,1435,100,Sprint of small group
2015-07-05,154.0,race/tour-de-france/2015/stage-2,Tour de France | Stage 2,FR,2.UWT,166.0,0,0.0,241,0,Sprint of large group
2015-07-04,115.0,race/tour-de-france/2015/stage-1,Tour de France | Stage 1 (ITT),FR,2.UWT,13.8,0,0.0,28,0,Time Trial
2015-06-14,106.0,race/dauphine/2015/stage-8,Critérium du Dauphiné | Stage 8,FR,2.UWT,156.5,0,0.0,2979,216,2.4 km solo
2015-06-13,131.0,race/dauphine/2015/stage-7,Critérium du Dauphiné | Stage 7,FR,2.UWT,155.0,0,0.0,4282,323,1.7 km solo
2015-06-12,110.0,race/dauphine/2015/stage-6,Critérium du Dauphiné | Stage 6,FR,2.UWT,183.0,0,0.0,3562,183,Sprint à deux
2015-06-11,142.0,race/dauphine/2015/stage-5,Critérium du Dauphiné | Stage 5,FR,2.UWT,161.0,0,0.0,4225,255,22.3 km solo
2015-06-10,136.0,race/dauphine/2015/stage-4,Critérium du Dauphiné | Stage 4,FR,2.UWT,228.0,0,0.0,2369,56,Sprint of large group
2015-06-09,21.0,race/dauphine/2015/stage-3,Critérium du Dauphiné | Stage 3 (TTT),FR,2.UWT,24.5,0,0.0,373,16,Time Trial
2015-06-08,131.0,race/dauphine/2015/stage-2,Critérium du Dauphiné | Stage 2,FR,2.UWT,173.0,0,0.0,2226,53,Sprint of large group
2015-06-07,157.0,race/dauphine/2015/stage-1,Critérium du Dauphiné | Stage 1,FR,2.UWT,132.0,0,0.0,1519,68,2.3 km solo
2015-04-12,17.0,race/paris-roubaix/2015/result,Paris - Roubaix,FR,1.UWT,253.5,26,0.0,1033,2,Sprint of small group
2015-04-05,90.0,race/ronde-van-vlaanderen/2015/result,Ronde van Vlaanderen / Tour des Flandres ME,BE,1.UWT,264.9,5,0.0,2174,68,Sprint à deux
2015-03-29,19.0,race/gent-wevelgem/2015/result,Gent - Wevelgem ME,BE,1.UWT,240.0,16,0.0,1506,37,6.2 km solo
2015-03-22,75.0,race/milano-sanremo/2015/result,Milano-Sanremo,IT,1.UWT,293.0,5,0.0,2354,88,Sprint of large group
2015-03-15,95.0,race/paris-nice/2015/stage-7,Paris - Nice | Stage 7 (ITT),FR,2.UWT,9.6,0,0.0,518,73,Time Trial
2015-03-14,86.0,race/paris-nice/2015/stage-6,Paris - Nice | Stage 6,FR,2.UWT,181.5,0,0.0,3591,161,30 km solo
2015-03-13,68.0,race/paris-nice/2015/stage-5,Paris - Nice | Stage 5,FR,2.UWT,192.0,0,0.0,1789,54,Sprint of large group
2015-03-12,131.0,race/paris-nice/2015/stage-4,Paris - Nice | Stage 4,FR,2.UWT,204.0,0,0.0,3295,197,Sprint à deux
2015-03-11,60.0,race/paris-nice/2015/stage-3,Paris - Nice | Stage 3,FR,2.UWT,179.0,0,0.0,2085,52,Sprint of large group
2015-03-10,113.0,race/paris-nice/2015/stage-2,Paris - Nice | Stage 2,FR,2.UWT,172.0,0,0.0,1074,10,Sprint of large group
2015-03-09,85.0,race/paris-nice/2015/stage-1,Paris - Nice | Stage 1,FR,2.UWT,192.0,0,0.0,748,4,Sprint of large group
2015-03-08,36.0,race/paris-nice/2015/prologue,Paris - Nice | Prologue,FR,2.UWT,6.7,0,0.0,61,7,Time Trial
2016-09-01,,race/vuelta-a-espana/2016/stage-12,Vuelta a España | Stage 12,ES,2.UWT,193.2,0,0.0,2996,143,Sprint of 42 riders
2016-08-31,161.0,race/vuelta-a-espana/2016/stage-11,Vuelta a España | Stage 11,ES,2.UWT,168.6,0,0.0,2351,160,Sprint à deux
2016-08-29,156.0,race/vuelta-a-espana/2016/stage-10,Vuelta a España | Stage 10,ES,2.UWT,188.7,0,0.0,3899,319,3.5 km solo
2016-08-28,167.0,race/vuelta-a-espana/2016/stage-9,Vuelta a España | Stage 9,ES,2.UWT,164.5,0,0.0,2780,193,0.7 km solo
2016-08-27,186.0,race/vuelta-a-espana/2016/stage-8,Vuelta a España | Stage 8,ES,2.UWT,181.5,0,0.0,1279,119,0.2 km solo
2016-08-26,12.0,race/vuelta-a-espana/2016/stage-7,Vuelta a España | Stage 7,ES,2.UWT,158.5,4,0.0,2616,104,Sprint of large group
2016-08-25,159.0,race/vuelta-a-espana/2016/stage-6,Vuelta a España | Stage 6,ES,2.UWT,163.2,0,0.0,2824,159,3.7 km solo
2016-08-24,60.0,race/vuelta-a-espana/2016/stage-5,Vuelta a España | Stage 5,ES,2.UWT,171.3,0,0.0,2467,73,Sprint of large group
2016-08-23,183.0,race/vuelta-a-espana/2016/stage-4,Vuelta a España | Stage 4,ES,2.UWT,163.5,0,0.0,3196,180,9 km solo
2016-08-22,164.0,race/vuelta-a-espana/2016/stage-3,Vuelta a España | Stage 3,ES,2.UWT,176.4,0,0.0,2983,177,1.2 km solo
2016-08-21,20.0,race/vuelta-a-espana/2016/stage-2,Vuelta a España | Stage 2,ES,2.UWT,160.8,0,0.0,2168,69,Sprint of large group
2016-08-20,17.0,race/vuelta-a-espana/2016/stage-1,Vuelta a España | Stage 1 (TTT),ES,2.UWT,27.8,0,0.0,362,14,Time Trial
2016-04-10,26.0,race/paris-roubaix/2016/result,Paris - Roubaix,FR,1.UWT,257.5,14,20.0,1296,3,Sprint of small group
2016-03-27,,race/gent-wevelgem/2016/result,Gent - Wevelgem in Flanders Fields ME,BE,1.UWT,242.0,0,0.0,1342,31,Sprint of 16 riders
2017-08-27,,race/bretagne-classic/2017/result,Bretagne Classic - Ouest-France,FR,1.UWT,239.7,0,0.0,3176,98,Sprint of large group
2017-08-20,150.0,race/cyclassics-hamburg/2017/result,Cyclassics Hamburg,DE,1.UWT,220.9,5,0.0,1236,31,Sprint of large group
2017-07-23,151.0,race/tour-de-france/2017/stage-21,Tour de France | Stage 21,FR,2.UWT,105.0,0,0.0,519,4,Sprint of large group
2017-07-22,103.0,race/tour-de-france/2017/stage-20,Tour de France | Stage 20 (ITT),FR,2.UWT,22.5,0,0.0,160,22,Time Trial
2017-07-21,121.0,race/tour-de-france/2017/stage-19,Tour de France | Stage 19,FR,2.UWT,222.5,0,0.0,2613,59,2.6 km solo
2017-07-20,136.0,race/tour-de-france/2017/stage-18,Tour de France | Stage 18,FR,2.UWT,179.5,0,0.0,4059,338,1 km solo
2017-07-19,121.0,race/tour-de-france/2017/stage-17,Tour de France | Stage 17,FR,2.UWT,183.0,0,0.0,5064,300,34.4 km solo
2017-07-18,157.0,race/tour-de-france/2017/stage-16,Tour de France | Stage 16,FR,2.UWT,165.0,0,0.0,2033,47,Sprint of large group
2017-07-16,107.0,race/tour-de-france/2017/stage-15,Tour de France | Stage 15,FR,2.UWT,189.5,0,0.0,3164,154,30 km solo
2017-07-15,152.0,race/tour-de-france/2017/stage-14,Tour de France | Stage 14,FR,2.UWT,181.5,0,0.0,1786,85,Sprint of large group
2017-07-14,175.0,race/tour-de-france/2017/stage-13,Tour de France | Stage 13,FR,2.UWT,101.0,0,0.0,2856,243,Sprint of 10 riders
2017-07-13,158.0,race/tour-de-france/2017/stage-12,Tour de France | Stage 12,FR,2.UWT,214.5,0,0.0,4903,375,Sprint of small group
2017-07-12,143.0,race/tour-de-france/2017/stage-11,Tour de France | Stage 11,FR,2.UWT,203.5,0,0.0,1163,15,Sprint of large group
2017-07-11,137.0,race/tour-de-france/2017/stage-10,Tour de France | Stage 10,FR,2.UWT,178.0,0,0.0,1407,25,Sprint of large group
2017-07-09,148.0,race/tour-de-france/2017/stage-9,Tour de France | Stage 9,FR,2.UWT,181.5,0,0.0,4696,275,Sprint of small group
2017-07-08,173.0,race/tour-de-france/2017/stage-8,Tour de France | Stage 8,FR,2.UWT,187.5,0,0.0,3591,229,17.9 km solo
2017-07-07,37.0,race/tour-de-france/2017/stage-7,Tour de France | Stage 7,FR,2.UWT,213.5,0,0.0,1578,20,Sprint of large group
2017-07-06,165.0,race/tour-de-france/2017/stage-6,Tour de France | Stage 6,FR,2.UWT,216.0,0,0.0,1735,29,Sprint of large group
2017-07-05,155.0,race/tour-de-france/2017/stage-5,Tour de France | Stage 5,FR,2.UWT,160.5,0,0.0,2348,151,2.4 km solo
2017-07-04,162.0,race/tour-de-france/2017/stage-4,Tour de France | Stage 4,FR,2.UWT,207.5,0,0.0,1404,24,Sprint of large group
2017-07-03,147.0,race/tour-de-france/2017/stage-3,Tour de France | Stage 3,FR,2.UWT,212.5,0,0.0,2706,77,Sprint of large group
2017-07-02,75.0,race/tour-de-france/2017/stage-2,Tour de France | Stage 2,FR,2.UWT,203.5,0,0.0,1278,25,Sprint of large group
2017-07-01,146.0,race/tour-de-france/2017/stage-1,Tour de France | Stage 1 (ITT),FR,2.UWT,14.0,0,0.0,61,1,Time Trial
2017-04-09,12.0,race/paris-roubaix/2017/result,Paris-Roubaix,FR,1.UWT,257.0,42,60.0,1299,5,Sprint of 16 riders
2017-04-02,40.0,race/ronde-van-vlaanderen/2017/result,Ronde van Vlaanderen / Tour des Flandres ME,BE,1.UWT,260.0,5,10.0,2118,71,56 km solo
2017-03-26,100.0,race/gent-wevelgem/2017/result,Gent-Wevelgem in Flanders Fields ME,BE,1.UWT,249.0,5,0.0,1546,43,Sprint à deux
2017-03-22,10.0,race/dwars-door-vlaanderen/2017/result,Dwars door Vlaanderen / A travers la Flandre ME,BE,1.UWT,203.4,42,50.0,1432,43,7.4 km solo
2017-03-18,173.0,race/milano-sanremo/2017/result,Milano-Sanremo,IT,1.UWT,291.0,5,0.0,2166,65,Sprint of 50 riders
2017-03-12,98.0,race/paris-nice/2017/stage-8,Paris - Nice | Stage 8,FR,2.UWT,115.5,0,0.0,2292,150,Sprint à deux
