date,rank,stage_url,stage_name,nationality,class,distance,pcs_points,uci_points,vertical meters,profile score,won how
2014-09-21,7.0,race/world-championship-ttt/2014/result,World Championships - TTT,ES,WC,57.12,0,0.0,Filler,Filler,Filler
2014-09-14,9.0,race/vuelta-a-espana/2014/stage-21,Vuelta a España | Stage 21 (ITT),ES,2.UWT,9.7,8,0.0,121,9,Time Trial
2014-09-13,155.0,race/vuelta-a-espana/2014/stage-20,Vuelta a España | Stage 20,ES,2.UWT,185.7,0,0.0,4447,395,0.5 km solo
2014-09-12,8.0,race/vuelta-a-espana/2014/stage-19,Vuelta a España | Stage 19,ES,2.UWT,180.5,10,0.0,2319,122,5 km solo
2014-09-11,138.0,race/vuelta-a-espana/2014/stage-18,Vuelta a España | Stage 18,ES,2.UWT,157.0,0,0.0,2384,172,Sprint à deux
2014-09-10,4.0,race/vuelta-a-espana/2014/stage-17,Vuelta a España | Stage 17,ES,2.UWT,190.7,25,2.0,2761,94,Sprint of 42 riders
2014-09-08,52.0,race/vuelta-a-espana/2014/stage-16,Vuelta a España | Stage 16,ES,2.UWT,160.5,0,0.0,4908,434,1 km solo
2014-09-07,92.0,race/vuelta-a-espana/2014/stage-15,Vuelta a España | Stage 15,ES,2.UWT,152.2,0,0.0,2976,287,5.3 km solo
2014-09-06,131.0,race/vuelta-a-espana/2014/stage-14,Vuelta a España | Stage 14,ES,2.UWT,200.8,0,0.0,4198,228,1.8 km solo
2014-09-05,136.0,race/vuelta-a-espana/2014/stage-13,Vuelta a España | Stage 13,ES,2.UWT,188.7,0,0.0,3236,207,2 km solo
2014-09-04,8.0,race/vuelta-a-espana/2014/stage-12,Vuelta a España | Stage 12,ES,2.UWT,166.4,10,0.0,1070,11,Sprint of large group
2014-09-03,180.0,race/vuelta-a-espana/2014/stage-11,Vuelta a España | Stage 11,ES,2.UWT,153.4,0,0.0,2432,211,1 km solo
2014-09-02,96.0,race/vuelta-a-espana/2014/stage-10,Vuelta a España | Stage 10 (ITT),ES,2.UWT,36.7,0,0.0,444,34,Time Trial
2014-08-31,125.0,race/vuelta-a-espana/2014/stage-9,Vuelta a España | Stage 9,ES,2.UWT,185.0,0,0.0,3080,203,6.5 km solo
2014-08-30,10.0,race/vuelta-a-espana/2014/stage-8,Vuelta a España | Stage 8,ES,2.UWT,207.0,6,0.0,1663,14,Sprint of 55 riders
2014-08-29,66.0,race/vuelta-a-espana/2014/stage-7,Vuelta a España | Stage 7,ES,2.UWT,169.0,0,0.0,2744,126,13 km solo
2014-08-28,83.0,race/vuelta-a-espana/2014/stage-6,Vuelta a España | Stage 6,ES,2.UWT,167.1,0,0.0,2977,175,Sprint of small group
2014-08-27,4.0,race/vuelta-a-espana/2014/stage-5,Vuelta a España | Stage 5,ES,2.UWT,180.0,25,2.0,2149,72,Sprint of 58 riders
2014-08-26,149.0,race/vuelta-a-espana/2014/stage-4,Vuelta a España | Stage 4,ES,2.UWT,164.7,0,0.0,1474,81,Sprint of 60 riders
2014-08-25,59.0,race/vuelta-a-espana/2014/stage-3,Vuelta a España | Stage 3,ES,2.UWT,197.8,0,0.0,2917,107,Sprint of 17 riders
2014-08-24,4.0,race/vuelta-a-espana/2014/stage-2,Vuelta a España | Stage 2,ES,2.UWT,174.4,25,2.0,1308,17,Sprint of large group
2014-08-23,4.0,race/vuelta-a-espana/2014/stage-1,Vuelta a España | Stage 1 (TTT),ES,2.UWT,12.6,8,0.0,96,0,Time Trial
2014-08-02,87.0,race/san-sebastian/2014/result,Clasica Ciclista San Sebastian,ES,1.UWT,219.2,5,0.0,3796,169,4 km solo
2014-04-13,55.0,race/paris-roubaix/2014/result,Paris - Roubaix,FR,1.UWT,257.0,5,0.0,1318,6,6.3 km solo
2014-04-06,61.0,race/ronde-van-vlaanderen/2014/result,Ronde van Vlaanderen / Tour des Flandres ME,BE,1.UWT,259.1,5,0.0,2095,75,Sprint of small group
2014-03-28,,race/e3-harelbeke/2014/result,E3 Harelbeke,BE,1.UWT,211.0,0,0.0,1886,55,Sprint of 48 riders
2015-08-30,,race/vuelta-a-espana/2015/stage-9,Vuelta a España | Stage 9,ES,2.UWT,168.3,0,0.0,2044,139,Sprint à deux
2015-08-29,1.0,race/vuelta-a-espana/2015/stage-8,Vuelta a España | Stage 8,ES,2.UWT,182.5,80,16.0,1386,83,Sprint of 49 riders
