date,rank,stage_url,stage_name,nationality,class,distance,pcs_points,uci_points,vertical meters,profile score,won how
2021-10-03,89.0,race/paris-roubaix/2021/result,Paris-Roubaix,FR,1.UWT,257.7,5,0.0,1360,5,Sprint of small group
2021-09-05,105.0,race/vuelta-a-espana/2021/stage-21,La Vuelta ciclista a España | Stage 21 (ITT),ES,2.UWT,33.8,0,0.0,641,56,Time Trial
2021-09-04,131.0,race/vuelta-a-espana/2021/stage-20,La Vuelta ciclista a España | Stage 20,ES,2.UWT,202.2,0,0.0,4214,251,1.7 km solo
2021-09-03,143.0,race/vuelta-a-espana/2021/stage-19,La Vuelta ciclista a España | Stage 19,ES,2.UWT,191.2,0,0.0,3540,98,Sprint of small group
2021-09-02,138.0,race/vuelta-a-espana/2021/stage-18,La Vuelta ciclista a España | Stage 18,ES,2.UWT,162.6,0,0.0,4951,509,2.7 km solo
2021-09-01,146.0,race/vuelta-a-espana/2021/stage-17,La Vuelta ciclista a España | Stage 17,ES,2.UWT,185.8,0,0.0,4519,366,7.5 km solo
2021-08-31,2.0,race/vuelta-a-espana/2021/stage-16,La Vuelta ciclista a España | Stage 16,ES,2.UWT,180.0,50,40.0,2279,81,Sprint of large group
2021-08-29,136.0,race/vuelta-a-espana/2021/stage-15,La Vuelta ciclista a España | Stage 15,ES,2.UWT,197.5,0,0.0,3860,167,87.3 km solo
2021-08-28,163.0,race/vuelta-a-espana/2021/stage-14,La Vuelta ciclista a España | Stage 14,ES,2.UWT,165.7,0,0.0,3448,288,6 km solo
2021-08-27,17.0,race/vuelta-a-espana/2021/stage-13,La Vuelta ciclista a España | Stage 13,ES,2.UWT,203.7,0,0.0,1645,22,Sprint of small group
2021-08-26,139.0,race/vuelta-a-espana/2021/stage-12,La Vuelta ciclista a España | Stage 12,ES,2.UWT,175.0,0,0.0,2018,107,Sprint of large group
2021-08-25,152.0,race/vuelta-a-espana/2021/stage-11,La Vuelta ciclista a España | Stage 11,ES,2.UWT,133.6,0,0.0,2647,155,Sprint à deux
2021-08-24,136.0,race/vuelta-a-espana/2021/stage-10,La Vuelta ciclista a España | Stage 10,ES,2.UWT,189.0,0,0.0,2390,134,19 km solo
2021-08-22,155.0,race/vuelta-a-espana/2021/stage-9,La Vuelta ciclista a España | Stage 9,ES,2.UWT,188.0,0,0.0,4725,348,71.1 km solo
2021-08-21,4.0,race/vuelta-a-espana/2021/stage-8,La Vuelta ciclista a España | Stage 8,ES,2.UWT,173.7,25,12.0,923,23,Sprint of large group
2021-08-20,170.0,race/vuelta-a-espana/2021/stage-7,La Vuelta ciclista a España | Stage 7,ES,2.UWT,152.0,0,0.0,3744,272,3.2 km solo
2021-08-19,96.0,race/vuelta-a-espana/2021/stage-6,La Vuelta ciclista a España | Stage 6,ES,2.UWT,158.3,0,0.0,902,50,0.77 km solo
2021-08-18,7.0,race/vuelta-a-espana/2021/stage-5,La Vuelta ciclista a España | Stage 5,ES,2.UWT,184.4,12,0.0,640,2,Sprint of large group
2021-08-17,7.0,race/vuelta-a-espana/2021/stage-4,La Vuelta ciclista a España | Stage 4,ES,2.UWT,163.9,12,0.0,1534,23,Sprint of large group
2021-08-16,182.0,race/vuelta-a-espana/2021/stage-3,La Vuelta ciclista a España | Stage 3,ES,2.UWT,202.8,0,0.0,2787,232,2.8 km solo
2021-08-15,181.0,race/vuelta-a-espana/2021/stage-2,La Vuelta ciclista a España | Stage 2,ES,2.UWT,166.7,0,0.0,1049,10,Sprint of large group
2021-08-14,90.0,race/vuelta-a-espana/2021/stage-1,La Vuelta ciclista a España | Stage 1 (ITT),ES,2.UWT,7.1,0,0.0,87,9,Time Trial
2021-06-13,103.0,race/tour-de-suisse/2021/stage-8,Tour de Suisse | Stage 8,CH,2.UWT,159.5,0,0.0,3489,217,Sprint à deux
2021-06-12,90.0,race/tour-de-suisse/2021/stage-7,Tour de Suisse | Stage 7 (ITT),CH,2.UWT,23.2,0,0.0,654,85,Time Trial
2021-06-11,133.0,race/tour-de-suisse/2021/stage-6,Tour de Suisse | Stage 6,CH,2.UWT,130.1,0,0.0,2719,176,Sprint of small group
2021-06-10,147.0,race/tour-de-suisse/2021/stage-5,Tour de Suisse | Stage 5,CH,2.UWT,175.2,0,0.0,2501,212,Sprint à deux
2021-06-09,132.0,race/tour-de-suisse/2021/stage-4,Tour de Suisse | Stage 4,CH,2.UWT,171.0,0,0.0,1940,61,Sprint of small group
2021-06-08,134.0,race/tour-de-suisse/2021/stage-3,Tour de Suisse | Stage 3,CH,2.UWT,182.1,0,0.0,2492,100,Sprint of large group
2021-06-07,159.0,race/tour-de-suisse/2021/stage-2,Tour de Suisse | Stage 2,CH,2.UWT,178.0,0,0.0,2392,129,Sprint of small group
2021-06-06,94.0,race/tour-de-suisse/2021/stage-1,Tour de Suisse | Stage 1 (ITT),CH,2.UWT,10.9,0,0.0,36,0,Time Trial
2021-05-02,56.0,race/tour-de-romandie/2021/stage-5,Tour de Romandie | Stage 5 (ITT),CH,2.UWT,16.19,0,0.0,338,48,Time Trial
2021-05-01,116.0,race/tour-de-romandie/2021/stage-4,Tour de Romandie | Stage 4,CH,2.UWT,161.3,0,0.0,4269,415,Sprint à deux
2021-04-30,82.0,race/tour-de-romandie/2021/stage-3,Tour de Romandie | Stage 3,CH,2.UWT,168.7,0,0.0,1974,111,10.3 km solo
2021-04-29,131.0,race/tour-de-romandie/2021/stage-2,Tour de Romandie | Stage 2,CH,2.UWT,165.7,0,0.0,3305,180,Sprint of large group
2021-04-28,123.0,race/tour-de-romandie/2021/stage-1,Tour de Romandie | Stage 1,CH,2.UWT,168.1,0,0.0,1981,94,Sprint of large group
2021-04-27,41.0,race/tour-de-romandie/2021/prologue,Tour de Romandie | Prologue,CH,2.UWT,4.05,0,0.0,82,12,Time Trial
2021-04-21,,race/la-fleche-wallone/2021/result,La Flèche Wallonne,BE,1.UWT,193.6,0,0.0,2981,158,Sprint à deux
2021-03-31,,race/dwars-door-vlaanderen/2021/result,Dwars door Vlaanderen - A travers la Flandre ME,BE,1.UWT,184.1,0,0.0,1446,55,58 km solo
2021-03-28,,race/volta-a-catalunya/2021/stage-7,Volta Ciclista a Catalunya | Stage 7,ES,2.UWT,133.0,0,0.0,2402,194,5.2 km solo
2021-03-27,47.0,race/volta-a-catalunya/2021/stage-6,Volta Ciclista a Catalunya | Stage 6,ES,2.UWT,193.8,0,0.0,2671,68,Sprint of large group
2021-03-26,141.0,race/volta-a-catalunya/2021/stage-5,Volta Ciclista a Catalunya | Stage 5,ES,2.UWT,201.1,0,0.0,2952,115,12 km solo
2021-03-25,153.0,race/volta-a-catalunya/2021/stage-4,Volta Ciclista a Catalunya | Stage 4,ES,2.UWT,166.5,0,0.0,3980,312,7 km solo
2021-03-24,162.0,race/volta-a-catalunya/2021/stage-3,Volta Ciclista a Catalunya | Stage 3,ES,2.UWT,203.1,0,0.0,3755,229,1.5 km solo
2021-03-23,140.0,race/volta-a-catalunya/2021/stage-2,Volta Ciclista a Catalunya | Stage 2 (ITT),ES,2.UWT,18.5,0,0.0,198,12,Time Trial
2021-03-22,140.0,race/volta-a-catalunya/2021/stage-1,Volta Ciclista a Catalunya | Stage 1,ES,2.UWT,178.4,0,0.0,2819,97,Sprint of small group
2021-03-14,109.0,race/paris-nice/2021/stage-8,Paris - Nice | Stage 8,FR,2.UWT,92.7,0,0.0,2007,167,Sprint of small group
2021-03-13,125.0,race/paris-nice/2021/stage-7,Paris - Nice | Stage 7,FR,2.UWT,119.2,0,0.0,3127,251,Sprint of small group
