date,rank,stage_url,stage_name,nationality,class,distance,pcs_points,uci_points,vertical meters,profile score,won how
2011-08-28,115.0,race/bretagne-classic/2011/result,GP Ouest France - Plouay,FR,WT,248.3,5,0.0,Filler,Filler,Filler
2012-08-26,99.0,race/bretagne-classic/2012/result,GP Ouest France - Plouay,FR,WT,248.3,5,0.0,Filler,Filler,Filler
2012-04-08,,race/paris-roubaix/2012/result,Paris - Roubaix,FR,WT,257.5,0,0.0,1428,6,53.2 km solo
2013-09-15,73.0,race/gp-montreal/2013/result,Grand Prix Cycliste de Montréal,CA,WT,205.7,5,0.0,Filler,Filler,Filler
2013-09-13,13.0,race/gp-quebec/2013/result,Grand Prix Cycliste de Québec,CA,WT,201.6,30,0.0,Filler,Filler,Filler
2013-09-01,92.0,race/bretagne-classic/2013/result,GP Ouest France - Plouay,FR,WT,248.3,5,0.0,Filler,Filler,Filler
2013-07-27,,race/san-sebastian/2013/result,Clasica Ciclista San Sebastian,ES,WT,232.0,0,0.0,3514,146,16.2 km solo
2013-05-26,154.0,race/giro-d-italia/2013/stage-21,Giro d'Italia | Stage 21,IT,WT,197.0,0,0.0,671,5,Sprint of large group
2013-05-25,134.0,race/giro-d-italia/2013/stage-20,Giro d'Italia | Stage 20,IT,WT,210.0,0,0.0,3663,272,2.4 km solo
2013-05-23,113.0,race/giro-d-italia/2013/stage-18,Giro d'Italia | Stage 18 (ITT),IT,WT,20.6,0,0.0,1086,151,Time Trial
2013-05-22,113.0,race/giro-d-italia/2013/stage-17,Giro d'Italia | Stage 17,IT,WT,214.0,0,0.0,887,65,17.2 km solo
2013-05-21,114.0,race/giro-d-italia/2013/stage-16,Giro d'Italia | Stage 16,IT,WT,238.0,0,0.0,2803,102,Sprint of small group
2013-05-19,160.0,race/giro-d-italia/2013/stage-15,Giro d'Italia | Stage 15,IT,WT,149.0,0,0.0,4069,348,23.8 km solo
2013-05-18,101.0,race/giro-d-italia/2013/stage-14,Giro d'Italia | Stage 14,IT,WT,181.0,0,0.0,2952,256,Sprint à deux
2013-05-17,153.0,race/giro-d-italia/2013/stage-13,Giro d'Italia | Stage 13,IT,WT,254.0,0,0.0,1897,88,Sprint of large group
2013-05-16,126.0,race/giro-d-italia/2013/stage-12,Giro d'Italia | Stage 12,IT,WT,134.0,0,0.0,1064,27,Sprint of large group
2013-05-15,162.0,race/giro-d-italia/2013/stage-11,Giro d'Italia | Stage 11,IT,WT,182.0,0,0.0,2824,150,5.1 km solo
2013-05-14,182.0,race/giro-d-italia/2013/stage-10,Giro d'Italia | Stage 10,IT,WT,167.0,0,0.0,3678,318,7.5 km solo
2013-05-12,152.0,race/giro-d-italia/2013/stage-9,Giro d'Italia | Stage 9,IT,WT,170.0,0,0.0,3032,154,64.5 km solo
2013-05-11,177.0,race/giro-d-italia/2013/stage-8,Giro d'Italia | Stage 8 (ITT),IT,WT,54.8,0,0.0,887,62,Time Trial
2013-05-10,176.0,race/giro-d-italia/2013/stage-7,Giro d'Italia | Stage 7,IT,WT,177.0,0,0.0,3115,178,20 km solo
2013-05-09,191.0,race/giro-d-italia/2013/stage-6,Giro d'Italia | Stage 6,IT,WT,169.0,0,0.0,550,0,Sprint of large group
2013-05-08,179.0,race/giro-d-italia/2013/stage-5,Giro d'Italia | Stage 5,IT,WT,203.0,0,0.0,1490,71,Sprint of large group
2013-05-07,187.0,race/giro-d-italia/2013/stage-4,Giro d'Italia | Stage 4,IT,WT,246.0,0,0.0,3519,191,Sprint of large group
2013-05-06,199.0,race/giro-d-italia/2013/stage-3,Giro d'Italia | Stage 3,IT,WT,222.0,0,0.0,3908,172,6.6 km solo
2013-05-05,19.0,race/giro-d-italia/2013/stage-2,Giro d'Italia | Stage 2 (TTT),IT,WT,17.4,0,0.0,307,22,Time Trial
2013-05-04,191.0,race/giro-d-italia/2013/stage-1,Giro d'Italia | Stage 1,IT,WT,130.0,0,0.0,1114,15,Sprint of 127 riders
2013-04-21,,race/liege-bastogne-liege/2013/result,Liège - Bastogne - Liège,BE,WT,257.5,0,0.0,3755,140,Sprint à deux
2013-04-17,65.0,race/la-fleche-wallone/2013/result,La Flèche Wallonne,BE,WT,205.0,5,0.0,2130,111,0.1 km solo
2013-03-24,,race/volta-a-catalunya/2013/stage-7,Volta Ciclista a Catalunya | Stage 7,ES,WT,122.2,0,0.0,1708,101,Sprint of 58 riders
2013-03-23,81.0,race/volta-a-catalunya/2013/stage-6,Volta Ciclista a Catalunya | Stage 6,ES,WT,178.7,0,0.0,2312,79,Sprint of large group
2013-03-22,38.0,race/volta-a-catalunya/2013/stage-5,Volta Ciclista a Catalunya | Stage 5,ES,WT,156.5,0,0.0,1344,30,Sprint of large group
2013-03-21,80.0,race/volta-a-catalunya/2013/stage-4,Volta Ciclista a Catalunya | Stage 4,ES,WT,217.7,0,0.0,4777,337,7.9 km solo
2013-03-20,105.0,race/volta-a-catalunya/2013/stage-3,Volta Ciclista a Catalunya | Stage 3,ES,WT,180.1,0,0.0,3486,255,0.4 km solo
2013-03-19,8.0,race/volta-a-catalunya/2013/stage-2,Volta Ciclista a Catalunya | Stage 2,ES,WT,160.7,3,0.0,1473,25,Sprint of large group
2013-03-18,57.0,race/volta-a-catalunya/2013/stage-1,Volta Ciclista a Catalunya | Stage 1,ES,WT,159.3,0,0.0,2101,63,Sprint of 127 riders
2014-09-21,11.0,race/world-championship-ttt/2014/result,World Championships - TTT,ES,WC,57.12,0,0.0,Filler,Filler,Filler
2014-09-14,25.0,race/gp-montreal/2014/result,Grand Prix Cycliste de Montréal,CA,1.UWT,205.7,10,0.0,Filler,Filler,Filler
2014-09-12,79.0,race/gp-quebec/2014/result,Grand Prix Cycliste de Québec,CA,1.UWT,199.1,5,0.0,Filler,Filler,Filler
2014-08-31,101.0,race/bretagne-classic/2014/result,GP Ouest France - Plouay,FR,1.UWT,229.1,5,0.0,Filler,Filler,Filler
2014-08-17,,race/renewi-tour/2014/stage-7,Eneco Tour | Stage 7,NL,2.UWT,183.4,0,0.0,2143,70,35 km solo
2014-08-16,74.0,race/renewi-tour/2014/stage-6,Eneco Tour | Stage 6,NL,2.UWT,173.3,0,0.0,2855,185,10.3 km solo
2014-08-15,123.0,race/renewi-tour/2014/stage-5,Eneco Tour | Stage 5,NL,2.UWT,160.3,0,0.0,1830,73,0.4 km solo
2014-08-14,109.0,race/renewi-tour/2014/stage-4,Eneco Tour | Stage 4,NL,2.UWT,183.3,0,0.0,417,1,Sprint of large group
2014-08-13,147.0,race/renewi-tour/2014/stage-3,Eneco Tour | Stage 3 (ITT),NL,2.UWT,9.6,0,0.0,31,0,Time Trial
2014-08-12,151.0,race/renewi-tour/2014/stage-2,Eneco Tour | Stage 2,NL,2.UWT,177.4,0,0.0,231,0,Sprint of large group
2014-08-11,122.0,race/renewi-tour/2014/stage-1,Eneco Tour | Stage 1,NL,2.UWT,181.9,0,0.0,139,0,Sprint of large group
