date,rank,stage_url,stage_name,nationality,class,distance,pcs_points,uci_points,vertical meters,profile score,won how
2017-08-13,79.0,race/renewi-tour/2017/stage-7,BinckBank Tour | Stage 7,BE,2.UWT,193.5,0,0.0,1064,43,3 km solo
2017-08-12,38.0,race/renewi-tour/2017/stage-6,BinckBank Tour | Stage 6,BE,2.UWT,196.9,0,0.0,3027,91,Sprint à deux
2017-08-11,68.0,race/renewi-tour/2017/stage-5,BinckBank Tour | Stage 5,BE,2.UWT,164.9,0,0.0,1371,30,1.5 km solo
2017-08-10,64.0,race/renewi-tour/2017/stage-4,BinckBank Tour | Stage 4,BE,2.UWT,160.7,0,0.0,831,5,Sprint of large group
2017-08-09,28.0,race/renewi-tour/2017/stage-3,BinckBank Tour | Stage 3,BE,2.UWT,186.0,0,0.0,342,0,Sprint of large group
2017-08-08,88.0,race/renewi-tour/2017/stage-2,BinckBank Tour | Stage 2 (ITT),BE,2.UWT,9.0,0,0.0,5,0,Time Trial
2017-08-07,81.0,race/renewi-tour/2017/stage-1,BinckBank Tour | Stage 1,BE,2.UWT,179.7,0,0.0,280,0,Sprint of large group
2017-06-18,139.0,race/tour-de-suisse/2017/stage-9,Tour de Suisse | Stage 9 (ITT),CH,2.UWT,28.6,0,0.0,416,42,Time Trial
2017-06-17,45.0,race/tour-de-suisse/2017/stage-8,Tour de Suisse | Stage 8,CH,2.UWT,100.0,0,0.0,1250,75,Sprint of large group
2017-06-16,132.0,race/tour-de-suisse/2017/stage-7,Tour de Suisse | Stage 7,CH,2.UWT,166.3,0,0.0,2954,374,8.5 km solo
2017-06-15,132.0,race/tour-de-suisse/2017/stage-6,Tour de Suisse | Stage 6,CH,2.UWT,166.7,0,0.0,4195,281,5.3 km solo
2017-06-14,160.0,race/tour-de-suisse/2017/stage-5,Tour de Suisse | Stage 5,CH,2.UWT,222.0,0,0.0,3399,123,Sprint of large group
2017-06-13,164.0,race/tour-de-suisse/2017/stage-4,Tour de Suisse | Stage 4,CH,2.UWT,143.2,0,0.0,2896,249,8.9 km solo
2017-06-12,159.0,race/tour-de-suisse/2017/stage-3,Tour de Suisse | Stage 3,CH,2.UWT,159.3,0,0.0,1618,42,Sprint of large group
2017-06-11,157.0,race/tour-de-suisse/2017/stage-2,Tour de Suisse | Stage 2,CH,2.UWT,172.7,0,0.0,2611,103,Sprint of large group
2017-06-10,156.0,race/tour-de-suisse/2017/stage-1,Tour de Suisse | Stage 1 (ITT),CH,2.UWT,6.0,0,0.0,49,1,Time Trial
2017-04-16,,race/amstel-gold-race/2017/result,Amstel Gold Race,NL,1.UWT,261.0,0,0.0,3328,92,Sprint à deux
2017-04-09,,race/paris-roubaix/2017/result,Paris-Roubaix,FR,1.UWT,257.0,0,0.0,1299,5,Sprint of 16 riders
2017-04-02,,race/ronde-van-vlaanderen/2017/result,Ronde van Vlaanderen / Tour des Flandres ME,BE,1.UWT,260.0,0,0.0,2118,71,56 km solo
2017-03-26,,race/gent-wevelgem/2017/result,Gent-Wevelgem in Flanders Fields ME,BE,1.UWT,249.0,0,0.0,1546,43,Sprint à deux
2017-03-24,38.0,race/e3-harelbeke/2017/result,Record Bank E3 Harelbeke,BE,1.UWT,206.1,5,8.0,1863,51,Sprint of 16 riders
2017-03-22,109.0,race/dwars-door-vlaanderen/2017/result,Dwars door Vlaanderen / A travers la Flandre ME,BE,1.UWT,203.4,5,0.0,1432,43,7.4 km solo
2017-02-25,33.0,race/omloop-het-nieuwsblad/2017/result,Omloop Het Nieuwsblad ME,BE,1.UWT,198.3,5,5.0,1778,33,Sprint of 11 riders
2017-01-29,79.0,race/great-ocean-race/2017/result,Cadel Evans Great Ocean Road Race,AU,1.UWT,173.9,5,0.0,1625,78,Sprint of 23 riders
2018-08-19,24.0,race/renewi-tour/2018/stage-7,BinckBank Tour | Stage 7,BE,2.UWT,215.6,0,0.0,1702,61,Sprint of small group
2018-08-18,16.0,race/renewi-tour/2018/stage-6,BinckBank Tour | Stage 6,BE,2.UWT,182.2,0,0.0,1473,28,1.2 km solo
2018-08-17,28.0,race/renewi-tour/2018/stage-5,BinckBank Tour | Stage 5,BE,2.UWT,204.4,0,0.0,1015,5,Sprint of 126 riders
2018-08-16,30.0,race/renewi-tour/2018/stage-4,BinckBank Tour | Stage 4,BE,2.UWT,165.5,0,0.0,233,0,1.1 km solo
2018-08-15,1.0,race/renewi-tour/2018/stage-3,BinckBank Tour | Stage 3,BE,2.UWT,174.9,50,50.0,227,0,0.9 km solo
2018-08-14,122.0,race/renewi-tour/2018/stage-2,BinckBank Tour | Stage 2 (ITT),BE,2.UWT,12.7,0,0.0,39,0,Time Trial
2018-08-13,40.0,race/renewi-tour/2018/stage-1,BinckBank Tour | Stage 1,BE,2.UWT,177.3,0,0.0,161,0,Sprint of large group
2019-10-22,106.0,race/tour-of-guangxi/2019/stage-6,Gree-Tour of Guangxi | Stage 6,CN,2.UWT,168.3,0,0.0,1275,43,Sprint of large group
2019-10-21,103.0,race/tour-of-guangxi/2019/stage-5,Gree-Tour of Guangxi | Stage 5,CN,2.UWT,212.2,0,0.0,2133,78,Sprint of large group
2019-10-20,74.0,race/tour-of-guangxi/2019/stage-4,Gree-Tour of Guangxi | Stage 4,CN,2.UWT,161.4,0,0.0,1589,61,Sprint à deux
2019-10-19,112.0,race/tour-of-guangxi/2019/stage-3,Gree-Tour of Guangxi | Stage 3,CN,2.UWT,143.0,0,0.0,2190,89,Sprint of large group
2019-10-18,112.0,race/tour-of-guangxi/2019/stage-2,Gree-Tour of Guangxi | Stage 2,CN,2.UWT,152.3,0,0.0,601,1,Sprint of large group
2019-10-17,64.0,race/tour-of-guangxi/2019/stage-1,Gree-Tour of Guangxi | Stage 1,CN,2.UWT,135.6,0,0.0,537,17,Sprint of large group
2019-08-09,93.0,race/tour-de-pologne/2019/stage-7,Tour de Pologne | Stage 7,PL,2.UWT,153.3,0,0.0,3181,193,58.4 km solo
2019-08-08,109.0,race/tour-de-pologne/2019/stage-6,Tour de Pologne | Stage 6,PL,2.UWT,160.0,0,0.0,3358,245,Sprint of small group
2019-08-07,124.0,race/tour-de-pologne/2019/stage-5,Tour de Pologne | Stage 5,PL,2.UWT,153.8,0,0.0,2141,90,Sprint of large group
2019-08-05,131.0,race/tour-de-pologne/2019/stage-3,Tour de Pologne | Stage 3,PL,2.UWT,150.5,0,0.0,822,2,Sprint of large group
2019-08-04,128.0,race/tour-de-pologne/2019/stage-2,Tour de Pologne | Stage 2,PL,2.UWT,152.7,0,0.0,894,5,Sprint of large group
2019-08-03,99.0,race/tour-de-pologne/2019/stage-1,Tour de Pologne | Stage 1,PL,2.UWT,132.3,0,0.0,1236,22,Sprint of large group
2019-06-23,105.0,race/tour-de-suisse/2019/stage-9,Tour de Suisse | Stage 9,CH,2.UWT,101.5,0,0.0,3071,218,99.8 km solo
2019-06-22,65.0,race/tour-de-suisse/2019/stage-8,Tour de Suisse | Stage 8 (ITT),CH,2.UWT,19.2,0,0.0,95,0,Time Trial
2019-06-21,52.0,race/tour-de-suisse/2019/stage-7,Tour de Suisse | Stage 7,CH,2.UWT,216.6,0,0.0,4336,270,2.6 km solo
2019-06-20,103.0,race/tour-de-suisse/2019/stage-6,Tour de Suisse | Stage 6,CH,2.UWT,120.2,0,0.0,1901,201,3 km solo
2019-06-19,15.0,race/tour-de-suisse/2019/stage-5,Tour de Suisse | Stage 5,CH,2.UWT,177.0,0,0.0,2705,83,Sprint of large group
2019-06-18,98.0,race/tour-de-suisse/2019/stage-4,Tour de Suisse | Stage 4,CH,2.UWT,163.9,0,0.0,1953,92,Sprint of large group
2019-06-17,125.0,race/tour-de-suisse/2019/stage-3,Tour de Suisse | Stage 3,CH,2.UWT,162.3,0,0.0,1733,42,Sprint of large group
2019-06-16,144.0,race/tour-de-suisse/2019/stage-2,Tour de Suisse | Stage 2,CH,2.UWT,159.6,0,0.0,2598,162,11.3 km solo
2019-06-15,113.0,race/tour-de-suisse/2019/stage-1,Tour de Suisse | Stage 1 (ITT),CH,2.UWT,9.5,0,0.0,52,1,Time Trial
2019-04-14,,race/paris-roubaix/2019/result,Paris-Roubaix,FR,1.UWT,257.0,0,0.0,1334,5,Sprint à deux
2019-04-07,59.0,race/ronde-van-vlaanderen/2019/result,Ronde van Vlaanderen - Tour des Flandres ME,BE,1.UWT,267.0,5,3.0,2164,72,17 km solo
2019-04-03,83.0,race/dwars-door-vlaanderen/2019/result,Dwars door Vlaanderen - A travers la Flandre ME,BE,1.UWT,182.6,5,0.0,1213,47,Sprint of 21 riders
2019-03-31,,race/gent-wevelgem/2019/result,Gent-Wevelgem in Flanders Fields ME,BE,1.UWT,249.5,0,0.0,1511,37,Sprint of large group
2019-03-29,97.0,race/e3-harelbeke/2019/result,E3 BinckBank Classic,BE,1.UWT,204.0,5,0.0,2619,79,Sprint of 44 riders
2019-03-27,88.0,race/oxyclean-classic-brugge-de-panne/2019/result,Driedaagse Brugge-De Panne ME,BE,1.UWT,200.3,5,0.0,647,5,Sprint of large group
2019-03-23,87.0,race/milano-sanremo/2019/result,Milano-Sanremo,IT,1.UWT,291.0,5,0.0,2060,60,Sprint of 41 riders
2019-03-09,67.0,race/strade-bianche/2019/result,Strade Bianche,IT,1.UWT,184.0,5,0.0,2993,151,Sprint à deux
2019-03-02,86.0,race/omloop-het-nieuwsblad/2019/result,Omloop Het Nieuwsblad ME,BE,1.UWT,200.0,5,0.0,1653,47,2.5 km solo
2020-10-21,22.0,race/oxyclean-classic-brugge-de-panne/2020/result,AG Driedaagse Brugge-De Panne ME,BE,1.UWT,188.6,13,12.0,249,0,4 km solo
2020-10-18,,race/ronde-van-vlaanderen/2020/result,Ronde van Vlaanderen - Tour des Flandres ME,BE,1.UWT,243.3,0,0.0,2014,79,Sprint à deux
2020-10-11,54.0,race/gent-wevelgem/2020/result,Gent-Wevelgem in Flanders Fields ME,BE,1.UWT,232.5,5,5.0,1360,33,Sprint of small group
2020-10-03,70.0,race/renewi-tour/2020/stage-5,BinckBank Tour | Stage 5,BE,2.UWT,183.6,0,0.0,2104,80,50 km solo
2020-10-02,134.0,race/renewi-tour/2020/stage-4,BinckBank Tour | Stage 4 (ITT),BE,2.UWT,8.14,0,0.0,178,11,Time Trial
2020-10-01,70.0,race/renewi-tour/2020/stage-3,BinckBank Tour | Stage 3,BE,2.UWT,157.0,0,0.0,276,0,Sprint of large group
2020-09-29,139.0,race/renewi-tour/2020/stage-1,BinckBank Tour | Stage 1,BE,2.UWT,132.1,0,0.0,286,0,Sprint of large group
2020-08-09,104.0,race/tour-de-pologne/2020/stage-5,Tour de Pologne | Stage 5,PL,2.UWT,188.0,0,0.0,2196,56,Sprint of large group
2020-08-08,97.0,race/tour-de-pologne/2020/stage-4,Tour de Pologne | Stage 4,PL,2.UWT,152.9,0,0.0,3026,176,52 km solo
2020-08-07,59.0,race/tour-de-pologne/2020/stage-3,Tour de Pologne | Stage 3,PL,2.UWT,203.1,0,0.0,3311,122,Sprint of large group
2020-08-06,40.0,race/tour-de-pologne/2020/stage-2,Tour de Pologne | Stage 2,PL,2.UWT,151.5,0,0.0,752,6,Sprint of large group
2020-08-05,121.0,race/tour-de-pologne/2020/stage-1,Tour de Pologne | Stage 1,PL,2.UWT,195.8,0,0.0,1706,24,Sprint of large group
2020-02-29,,race/omloop-het-nieuwsblad/2020/result,Omloop Het Nieuwsblad ME,BE,1.UWT,200.0,0,0.0,1663,49,Sprint à deux
2020-01-26,109.0,race/tour-down-under/2020/stage-6,Santos Tour Down Under | Stage 6,AU,2.UWT,151.5,0,0.0,1879,108,0.1 km solo
2020-01-25,116.0,race/tour-down-under/2020/stage-5,Santos Tour Down Under | Stage 5,AU,2.UWT,149.1,0,0.0,2050,71,Sprint of large group
2020-01-24,80.0,race/tour-down-under/2020/stage-4,Santos Tour Down Under | Stage 4,AU,2.UWT,152.8,0,0.0,2001,45,Sprint of large group
2020-01-23,104.0,race/tour-down-under/2020/stage-3,Santos Tour Down Under | Stage 3,AU,2.UWT,131.0,0,0.0,2881,164,0.6 km solo
2020-01-22,120.0,race/tour-down-under/2020/stage-2,Santos Tour Down Under | Stage 2,AU,2.UWT,135.8,0,0.0,2486,145,Sprint of 91 riders
2020-01-21,28.0,race/tour-down-under/2020/stage-1,Santos Tour Down Under | Stage 1,AU,2.UWT,150.0,0,0.0,1245,26,Sprint of large group
2021-10-03,40.0,race/paris-roubaix/2021/result,Paris-Roubaix,FR,1.UWT,257.7,5,10.0,1360,5,Sprint of small group
2021-09-03,,race/renewi-tour/2021/stage-5,Benelux Tour | Stage 5,BE,2.UWT,192.0,0,0.0,1823,45,Sprint of large group
2021-09-02,133.0,race/renewi-tour/2021/stage-4,Benelux Tour | Stage 4,BE,2.UWT,166.1,0,0.0,480,2,Sprint of large group
2021-09-01,1.0,race/renewi-tour/2021/stage-3,Benelux Tour | Stage 3,BE,2.UWT,168.3,50,50.0,256,1,Sprint of small group
2021-08-31,141.0,race/renewi-tour/2021/stage-2,Benelux Tour | Stage 2 (ITT),BE,2.UWT,11.1,0,0.0,3,0,Time Trial
2021-08-30,48.0,race/renewi-tour/2021/stage-1,Benelux Tour | Stage 1,BE,2.UWT,169.6,0,0.0,87,0,Sprint of small group
2021-08-15,123.0,race/tour-de-pologne/2021/stage-7,Tour de Pologne | Stage 7,PL,2.UWT,144.9,0,0.0,889,8,Sprint of small group
2021-08-14,128.0,race/tour-de-pologne/2021/stage-6,Tour de Pologne | Stage 6 (ITT),PL,2.UWT,19.1,0,0.0,126,3,Time Trial
2021-08-13,134.0,race/tour-de-pologne/2021/stage-5,Tour de Pologne | Stage 5,PL,2.UWT,172.8,0,0.0,2530,112,Sprint of small group
2021-08-12,137.0,race/tour-de-pologne/2021/stage-4,Tour de Pologne | Stage 4,PL,2.UWT,159.9,0,0.0,2567,113,Sprint of large group
2021-08-11,124.0,race/tour-de-pologne/2021/stage-3,Tour de Pologne | Stage 3,PL,2.UWT,226.4,0,0.0,2625,56,Sprint of large group
2021-08-10,63.0,race/tour-de-pologne/2021/stage-2,Tour de Pologne | Stage 2,PL,2.UWT,200.8,0,0.0,1591,102,Sprint of small group
2021-08-09,124.0,race/tour-de-pologne/2021/stage-1,Tour de Pologne | Stage 1,PL,2.UWT,216.4,0,0.0,1522,11,Sprint of large group
2021-05-30,135.0,race/giro-d-italia/2021/stage-21,Giro d'Italia | Stage 21 (ITT),IT,2.UWT,30.3,0,0.0,24,0,Time Trial
