date,rank,stage_url,stage_name,nationality,class,distance,pcs_points,uci_points,vertical meters,profile score,won how
2017-08-13,23.0,race/renewi-tour/2017/stage-7,BinckBank Tour | Stage 7,BE,2.UWT,193.5,0,0.0,1064,43,3 km solo
2017-08-12,69.0,race/renewi-tour/2017/stage-6,BinckBank Tour | Stage 6,BE,2.UWT,196.9,0,0.0,3027,91,Sprint à deux
2017-08-11,63.0,race/renewi-tour/2017/stage-5,BinckBank Tour | Stage 5,BE,2.UWT,164.9,0,0.0,1371,30,1.5 km solo
2017-08-10,27.0,race/renewi-tour/2017/stage-4,BinckBank Tour | Stage 4,BE,2.UWT,160.7,0,0.0,831,5,Sprint of large group
2017-08-09,80.0,race/renewi-tour/2017/stage-3,BinckBank Tour | Stage 3,BE,2.UWT,186.0,0,0.0,342,0,Sprint of large group
2017-08-08,14.0,race/renewi-tour/2017/stage-2,BinckBank Tour | Stage 2 (ITT),BE,2.UWT,9.0,0,0.0,5,0,Time Trial
2017-08-07,122.0,race/renewi-tour/2017/stage-1,BinckBank Tour | Stage 1,BE,2.UWT,179.7,0,0.0,280,0,Sprint of large group
2018-04-08,13.0,race/paris-roubaix/2018/result,Paris-Roubaix,FR,1.UWT,257.0,38,50.0,1309,4,Sprint à deux
2018-04-01,9.0,race/ronde-van-vlaanderen/2018/result,Ronde van Vlaanderen - Tour des Flandres ME,BE,1.UWT,264.7,60,100.0,2166,78,19 km solo
2018-03-28,83.0,race/dwars-door-vlaanderen/2018/result,Dwars door Vlaanderen - A travers la Flandre ME,BE,1.UWT,180.0,5,0.0,1313,55,0.8 km solo
2018-03-25,10.0,race/gent-wevelgem/2018/result,Gent-Wevelgem in Flanders Fields ME,BE,1.UWT,251.1,42,85.0,1532,46,Sprint of 19 riders
2018-03-03,3.0,race/strade-bianche/2018/result,Strade Bianche,IT,1.UWT,184.0,110,215.0,2990,155,12.3 km solo
2018-02-24,32.0,race/omloop-het-nieuwsblad/2018/result,Omloop Het Nieuwsblad ME,BE,1.UWT,196.2,5,5.0,1652,58,2.2 km solo
2019-07-19,,race/tour-de-france/2019/stage-13,Tour de France | Stage 13 (ITT),FR,2.UWT,27.2,0,0.0,391,33,Time Trial
2019-07-18,164.0,race/tour-de-france/2019/stage-12,Tour de France | Stage 12,FR,2.UWT,209.5,0,0.0,3088,177,Sprint of 14 riders
2019-07-17,83.0,race/tour-de-france/2019/stage-11,Tour de France | Stage 11,FR,2.UWT,167.0,0,0.0,1827,43,Sprint of large group
2019-07-15,1.0,race/tour-de-france/2019/stage-10,Tour de France | Stage 10,FR,2.UWT,217.5,100,120.0,3031,85,Sprint of large group
2019-07-14,99.0,race/tour-de-france/2019/stage-9,Tour de France | Stage 9,FR,2.UWT,170.5,0,0.0,2717,114,Sprint à deux
2019-07-13,73.0,race/tour-de-france/2019/stage-8,Tour de France | Stage 8,FR,2.UWT,200.0,0,0.0,3844,189,14.1 km solo
2019-07-12,114.0,race/tour-de-france/2019/stage-7,Tour de France | Stage 7,FR,2.UWT,230.0,0,0.0,2367,36,Sprint of large group
2019-07-11,59.0,race/tour-de-france/2019/stage-6,Tour de France | Stage 6,FR,2.UWT,160.5,0,0.0,3944,329,0.1 km solo
2019-07-10,2.0,race/tour-de-france/2019/stage-5,Tour de France | Stage 5,FR,2.UWT,175.5,70,50.0,2325,132,Sprint of large group
2019-07-09,35.0,race/tour-de-france/2019/stage-4,Tour de France | Stage 4,FR,2.UWT,213.5,0,0.0,1555,32,Sprint of large group
2019-07-08,9.0,race/tour-de-france/2019/stage-3,Tour de France | Stage 3,FR,2.UWT,215.0,14,0.0,2299,97,16 km solo
2019-07-07,1.0,race/tour-de-france/2019/stage-2,Tour de France | Stage 2 (TTT),FR,2.UWT,27.6,50,15.0,267,7,Time Trial
2019-07-06,16.0,race/tour-de-france/2019/stage-1,Tour de France | Stage 1,FR,2.UWT,194.5,0,0.0,1582,20,Sprint of large group
2019-06-16,88.0,race/dauphine/2019/stage-8,Critérium du Dauphiné | Stage 8,FR,2.UWT,113.5,0,0.0,2993,209,Sprint à deux
2019-06-15,69.0,race/dauphine/2019/stage-7,Critérium du Dauphiné | Stage 7,FR,2.UWT,133.5,0,0.0,4343,413,Sprint of small group
2019-06-14,65.0,race/dauphine/2019/stage-6,Critérium du Dauphiné | Stage 6,FR,2.UWT,229.0,0,0.0,3715,162,Sprint à deux
2019-06-13,1.0,race/dauphine/2019/stage-5,Critérium du Dauphiné | Stage 5,FR,2.UWT,201.0,50,60.0,2098,36,Sprint of large group
2019-06-12,1.0,race/dauphine/2019/stage-4,Critérium du Dauphiné | Stage 4 (ITT),FR,2.UWT,26.1,50,60.0,341,28,Time Trial
